legacy_va,legacy_name,legacy_namespace,target_rva,target_va,target_name,similarity,significance
0x50b442,AIBuildListGeneratePriorityLevel_NUMBER_TO_BUILD,Global,0x291390,0x691390,FUN_00691390,0.5856,30.62
0x50b3a7,AIBuildListGeneratePriorityLevel_NUMBER_TO_HAVE,Global,0x2912b0,0x6912b0,FUN_006912b0,0.6060,40.32
0x50b60f,AIBuildListGeneratePriorityLevel_RATIO_TO_BUILD,Global,0x291660,0x691660,FUN_00691660,0.6071,68.82
0x50b60f,AIBuildListGeneratePriorityLevel_RATIO_TO_BUILD,Global,0x291450,0x691450,FUN_00691450,0.5206,56.91
0x50b4c4,AIBuildListGeneratePriorityLevel_RATIO_TO_HAVE,Global,0x291450,0x691450,FUN_00691450,0.6385,82.51
0x50b4c4,AIBuildListGeneratePriorityLevel_RATIO_TO_HAVE,Global,0x291660,0x691660,FUN_00691660,0.5197,57.85
0x50c8c2,AIBuild_BuildListRebuild,Global,0x290e80,0x690e80,FUN_00690e80,0.5735,25.97
0x50b990,AIBuild_CanMineFitExactlyHere,Global,0x291d60,0x691d60,FUN_00691d60,0.9743,31.65
0x50b317,AIBuild_CanThisUpgradeToThat,Global,0x290f50,0x690f50,FUN_00690f50,0.8222,31.97
0x50bc69,AIBuild_CanUnitBuildHere,Global,0x292150,0x692150,FUN_00692150,0.8366,43.58
0x50b357,AIBuild_CanUpgradeTo,Global,0x291230,0x691230,FUN_00691230,0.8355,34.80
0x50abfe,AIBuild_ConstructionBegin,Global,0x290570,0x690570,FUN_00690570,0.6819,22.64
0x50abfe,AIBuild_ConstructionBegin,Global,0x2905d0,0x6905d0,FUN_006905d0,0.6819,22.64
0x50acff,AIBuild_ConstructionDelete,Global,0x2906b0,0x6906b0,FUN_006906b0,0.9653,30.63
0x50acff,AIBuild_ConstructionDelete,Global,0x290630,0x690630,FUN_00690630,0.6398,19.93
0x50ac28,AIBuild_ConstructionEnd,Global,0x290570,0x690570,FUN_00690570,0.5241,19.81
0x50ac28,AIBuild_ConstructionEnd,Global,0x2905d0,0x6905d0,FUN_006905d0,0.5241,19.81
0x50ac99,AIBuild_ConstructionNew,Global,0x290630,0x690630,FUN_00690630,0.6771,26.18
0x50ac99,AIBuild_ConstructionNew,Global,0x2906b0,0x6906b0,FUN_006906b0,0.6365,20.85
0x50cfe1,AIBuild_ConstructionProgramDelete,Global,0x293230,0x693230,FUN_00693230,0.5371,16.49
0x50ce51,AIBuild_CreditAdd,Global,0x292ba0,0x692ba0,FUN_00692ba0,0.8110,32.96
0x50c19f,AIBuild_CreditAddNonProportional,Global,0x292ce0,0x692ce0,FUN_00692ce0,0.6315,31.99
0x50becb,AIBuild_FindFacilityLocation,Global,0x2924a0,0x6924a0,FUN_006924a0,0.6008,38.12
0x50b7c5,AIBuild_IsAreaFreeOfBuildings,Global,0x291ae0,0x691ae0,FUN_00691ae0,0.5922,31.49
0x50b7c5,AIBuild_IsAreaFreeOfBuildings,Global,0x291b80,0x691b80,FUN_00691b80,0.5130,27.00
0x50b83e,AIBuild_IsAreaLevel,Global,0x291b80,0x691b80,FUN_00691b80,0.6069,36.11
0x50b83e,AIBuild_IsAreaLevel,Global,0x291ae0,0x691ae0,FUN_00691ae0,0.5127,26.88
0x50c7e9,AIBuild_PriorityLevelNodeIs,Global,0x2934e0,0x6934e0,FUN_006934e0,0.5242,17.80
0x50afb5,AIBuild_ReservedAreaIsAreaReserved,Global,0x290950,0x690950,FUN_00690950,0.6841,48.96
0x50aeae,AIBuild_ReservedAreaNew,Global,0x27a800,0x67a800,FUN_0067a800,0.5669,12.74
0x50aeae,AIBuild_ReservedAreaNew,Global,0x2b3480,0x6b3480,FUN_006b3480,0.5044,11.66
0x50bbae,AIBuild_ResourceClosestBuildable,Global,0x292030,0x692030,FUN_00692030,0.8061,79.55
0x50b1e9,AIBuild_ResourceListDump,Global,0x290c90,0x690c90,FUN_00690c90,0.7284,22.05
0x50b106,AIBuild_ResourceListNew,Global,0x290b10,0x690b10,FUN_00690b10,1.0000,21.41
0x50b106,AIBuild_ResourceListNew,Global,0x331030,0x731030,FUN_00731030,0.5322,7.32
0x50c2dd,AIBuild_TeamClose,Global,0x2930e0,0x6930e0,FUN_006930e0,0.6769,11.01
0x50cebc,AIBuild_TeamInit,Global,0x292fe0,0x692fe0,FUN_00692fe0,0.5562,25.58
0x50adf4,AIBuild_UnassignedCCGet,Global,0x3beed0,0x7beed0,FUN_007beed0,0.5144,10.32
0x50dc9c,AIP_Delete,Global,0x2947c0,0x6947c0,FUN_006947c0,0.7702,16.99
0x50d0f4,AIP_Load_Account,Global,0x293520,0x693520,FUN_00693520,0.5040,52.44
0x50d37a,AIP_Load_UCP,Global,0x293900,0x693900,FUN_00693900,0.5862,40.19
0x51689d,AISchedule_AddScrap,Global,0x2a3730,0x6a3730,FUN_006a3730,0.7084,19.84
0x5168eb,AISchedule_LoadAIP,Global,0x2a37a0,0x6a37a0,FUN_006a37a0,0.5622,15.44
0x5196a6,AISchedule_PostLoad,Global,0x2a31e0,0x6a31e0,FUN_006a31e0,0.7135,38.51
0x519764,AISchedule_PostRun,Global,0x367e30,0x767e30,FUN_00767e30,0.7291,12.50
0x519764,AISchedule_PostRun,Global,0x88260,0x488260,FUN_00488260,0.7031,11.18
0x519764,AISchedule_PostRun,Global,0x2f5a10,0x6f5a10,FUN_006f5a10,0.6002,9.94
0x519764,AISchedule_PostRun,Global,0x33cdf0,0x73cdf0,FUN_0073cdf0,0.5651,8.73
0x519764,AISchedule_PostRun,Global,0x18110,0x418110,FUN_00418110,0.5594,8.73
0x51691d,AISchedule_SwitchAIP,Global,0x290150,0x690150,FUN_00690150,1.0000,18.98
0x51691d,AISchedule_SwitchAIP,Global,0x2a3840,0x6a3840,FUN_006a3840,1.0000,18.98
0x51691d,AISchedule_SwitchAIP,Global,0x2a62b0,0x6a62b0,FUN_006a62b0,0.8802,16.91
0x51691d,AISchedule_SwitchAIP,Global,0x2a6270,0x6a6270,FUN_006a6270,0.8802,16.91
0x51691d,AISchedule_SwitchAIP,Global,0x290120,0x690120,FUN_00690120,0.5569,11.21
0x5086ed,AI_AIPClose,Global,0x2903c0,0x6903c0,FUN_006903c0,0.5312,18.87
0x5086bc,AI_AIPInit,Global,0x290270,0x690270,FUN_00690270,1.0000,18.91
