legacy_name,legacy_namespace,legacy_entry_va,legacy_entry_rva,legacy_signature,redux_current_name,redux_entry_va,redux_entry_rva,redux_signature,score,next_score,margin,confidence,methods,redux_static_prologue,legacy_body_size,redux_body_size,shared_strings,shared_constants,string_score,constant_score,identifier_score,shingle_score,body_size_score,text_size_score,legacy_decomp,redux_decomp,bsim_agreement,combined_confidence,bsim_redux_rva,bsim_redux_va,bsim_target_name,bsim_similarity,bsim_significance,bsim_rank2_rva,bsim_rank2_similarity,bsim_target_fanin
luaV_execute,Global,0x005bb3ae,0x001bb3ae,"void __cdecl luaV_execute(lua_State * param_1, int param_2)",FUN_00832183,0x00832183,0x00432183,undefined FUN_00832183(void),0.6797,0.0000,0.6797,medium,shared_strings;same_string_set;shared_constants;similar_body_size,,3381,3784,\'for\' initial value must be a number | \'for\' limit must be a number | \'for\' step must be a number | get length of,0x11 | 0x12 | 0x13 | 0x14 | 0x15 | 0x16 | 0x17 | 0x18 | 0x19 | 0x1a | 0x1b | 0x1c,1.0000,0.8810,0.2664,0.1273,0.8935,0.9988,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\005b\005bb3ae_luaV_execute.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_00832183-00832183.c,exact,very_high,0x432183,0x832183,FUN_00832183,0.6170,585.68,,,0
Execute,Misn13Mission,0x00436963,0x00036963,void __thiscall Execute(Misn13Mission * this),FUN_005424c0,0x005424c0,0x001424c0,undefined FUN_005424c0(void),0.4903,0.0000,0.4903,low,shared_strings;same_string_set;shared_constants,,6191,10869,Drop Zone | artil_path1 | artil_point1 | artil_point2 | artil_point3 | artil_point4 | choke_point1 | misn13.aip,0x12c | 0x14 | 0x190 | 0x28 | 0x32 | 0x384 | 0x3c | 0x5 | 0x5f | 0x64 | 0x78 | 0x9,1.0000,0.1371,0.0943,0.0340,0.5696,0.9296,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\0043\00436963_Misn13Mission_Execute.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_005424c0-005424c0.c,exact,very_high,0x1424c0,0x5424c0,FUN_005424c0,0.6772,534.47,,,0
Execute,Misn10Mission,0x0042f887,0x0002f887,void __thiscall Execute(Misn10Mission * this),FUN_00535270,0x00535270,0x00135270,undefined FUN_00535270(void),0.4924,0.0000,0.4924,low,shared_strings;same_string_set;shared_constants,,8260,15522,Alien Relic | CCA Base | Drop Zone | Relic Site | artil1_path | artil2_path | attack_path_central | attack_path_north,0x13 | 0x14 | 0x15 | 0x16 | 0x17 | 0x1e | 0x28 | 0x32 | 0x64 | 0x96 | 0xa | 0xc8,1.0000,0.1300,0.1180,0.0400,0.5321,0.9645,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\0042\0042f887_Misn10Mission_Execute.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_00535270-00535270.c,exact,very_high,0x135270,0x535270,FUN_00535270,0.6763,427.49,,,0
Execute,Misns3Mission,0x00442ff2,0x00042ff2,void __thiscall Execute(Misns3Mission * this),FUN_00559e00,0x00559e00,0x00159e00,undefined FUN_00559e00(void),0.5270,0.0000,0.5270,medium,shared_strings;same_string_set;shared_constants,,4075,6431,Black Dog Outpost | Home Base | avfigh | avrecy | avrecy1_recycler | avtank | basenav | bdpath1,0x118 | 0x17c | 0x19a | 0x258 | 0x32 | 0x64 | 0x78 | 0xb4 | 0xc8,1.0000,0.1268,0.3475,0.0559,0.6336,0.9745,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\0044\00442ff2_Misns3Mission_Execute.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_00559e00-00559e00.c,exact,very_high,0x159e00,0x559e00,FUN_00559e00,0.6629,332.26,,,0
llex,Global,0x005be041,0x001be041,"int __cdecl llex(LexState * param_1, SemInfo * param_2)",FUN_008389c5,0x008389c5,0x004389c5,undefined FUN_008389c5(void),0.7029,0.0000,0.7029,medium,shared_strings;same_string_set;shared_constants;similar_body_size,,1245,1267,invalid long string delimiter,0x116 | 0x118 | 0x119 | 0x11a | 0x11b | 0x11c | 0x11d | 0x11e | 0x11f | 0x22 | 0x27 | 0x2d,1.0000,0.8400,0.3766,0.1695,0.9826,0.9488,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\005b\005be041_llex.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_008389c5-008389c5.c,exact,very_high,0x4389c5,0x8389c5,FUN_008389c5,0.9228,303.72,,,0
Execute,Tran05Mission,0x00465639,0x00065639,void __thiscall Execute(Tran05Mission * this),FUN_005eaf60,0x005eaf60,0x001eaf60,undefined FUN_005eaf60(void),0.5350,0.0000,0.5350,medium,shared_strings;same_string_set;shared_constants,,1685,2644,abcomm1_i76building | apbase-1_camerapod | apscrap-1_camerapod | avland0_wingman | avrecy-1_recycler | avscav | fake_player | fixcam,0x12c | 0x19 | 0x1e | 0x2d | 0x320 | 0x4b | 0x4b0 | 0x5 | 0xa | 0xc | 0xc8 | 0xfa,1.0000,0.2727,0.2400,0.0395,0.6373,0.9959,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\0046\00465639_Tran05Mission_Execute.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_005eaf60-005eaf60.c,exact,very_high,0x1eaf60,0x5eaf60,FUN_005eaf60,0.6347,237.17,,,0
Execute,Misns5Mission,0x00444aef,0x00044aef,void __thiscall Execute(Misns5Mission * this),FUN_0055d0f0,0x0055d0f0,0x0015d0f0,undefined FUN_0055d0f0(void),0.5468,0.0000,0.5468,medium,shared_strings;same_string_set;shared_constants,,1543,2384,avapc | avartl | avfigh | avrecy | avscav | avwalk | bvhraz | bvltnk,0x11 | 0x1388 | 0x1e | 0x32 | 0x46 | 0x64 | 0x78 | 0x9c4 | 0xa | 0xb4,1.0000,0.2381,0.2857,0.0735,0.6472,0.9922,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\0044\00444aef_Misns5Mission_Execute.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_0055d0f0-0055d0f0.c,exact,very_high,0x15d0f0,0x55d0f0,FUN_0055d0f0,0.6268,197.64,,,0
read_string,Global,0x005bde09,0x001bde09,"void __cdecl read_string(LexState * param_1, int param_2, SemInfo * param_3)",FUN_008393b8,0x008393b8,0x004393b8,undefined FUN_008393b8(void),0.7057,0.0000,0.7057,medium,shared_strings;same_string_set;shared_constants;similar_body_size,,568,584,escape sequence too large | unfinished string,0x11e | 0x11f | 0x30 | 0x5c | 0x61 | 0x62 | 0x66 | 0x6e | 0x7 | 0x72 | 0x74 | 0x76,1.0000,0.8421,0.3433,0.1902,0.9726,0.9329,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\005b\005bde09_read_string.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_008393b8-008393b8.c,exact,very_high,0x4393b8,0x8393b8,FUN_008393b8,0.8882,194.30,0x439110,0.5207,0
luaV_concat,Global,0x005bb176,0x001bb176,"void __cdecl luaV_concat(lua_State * param_1, int param_2, int param_3)",FUN_00831f3a,0x00831f3a,0x00431f3a,undefined FUN_00831f3a(void),0.5962,0.0000,0.5962,medium,shared_strings;same_string_set;shared_constants;similar_body_size,,378,422,string length overflow,0xc,1.0000,0.2500,0.1333,0.1703,0.8957,0.9959,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\005b\005bb176_luaV_concat.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_00831f3a-00831f3a.c,exact,very_high,0x431f3a,0x831f3a,FUN_00831f3a,0.9970,184.26,,,1
LoadConstants,Global,0x005c55eb,0x001c55eb,"void __cdecl LoadConstants(LoadState * param_1, Proto * param_2)",FUN_0083b7e1,0x0083b7e1,0x0043b7e1,undefined FUN_0083b7e1(void),0.6963,0.0000,0.6963,medium,shared_strings;same_string_set;shared_constants;similar_body_size,,338,395,bad constant,0x28 | 0x34,1.0000,1.0000,0.1818,0.1979,0.8557,0.8124,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\005c\005c55eb_LoadConstants.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_0083b7e1-0083b7e1.c,exact,very_high,0x43b7e1,0x83b7e1,FUN_0083b7e1,0.9954,173.98,0x43b96c,0.6422,1
read_long_string,Global,0x005bdc5c,0x001bdc5c,"void __cdecl read_long_string(LexState * param_1, SemInfo * param_2, int param_3)",FUN_00839110,0x00839110,0x00439110,undefined FUN_00839110(void),0.6680,0.0000,0.6680,medium,shared_strings;same_string_set;shared_constants;similar_body_size,,429,447,nesting of [[...]] is deprecated | unfinished long comment | unfinished long string,0x11f | 0x5b | 0x5d | 0xa | 0xd,1.0000,0.7143,0.2857,0.1587,0.9597,0.9006,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\005b\005bdc5c_read_long_string.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_00839110-00839110.c,exact,very_high,0x439110,0x839110,FUN_00839110,0.9070,164.51,0x4393b8,0.5222,0
get_analog_sink,Global,0x004ba032,0x000ba032,ANALOG_SINK * __cdecl get_analog_sink(FIELD_DESC * param_1),FUN_0061e5d0,0x0061e5d0,0x0021e5d0,undefined FUN_0061e5d0(void),0.6399,0.0000,0.6399,medium,shared_strings;same_string_set;shared_constants,,596,1210,Too many analog sinks: line %d | _delta | _minus | _plus | _reset,0x10000 | 0x15 | 0x24 | 0x34 | 0x5 | 0x6 | 0x7,1.0000,0.8750,0.2647,0.1655,0.4926,0.8427,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\004b\004ba032_get_analog_sink.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_0061e5d0-0061e5d0.c,exact,very_high,0x21e5d0,0x61e5d0,FUN_0061e5d0,0.7256,163.96,,,0
