api_name,legacy_name,legacy_va,redux_va,source
RepeatAudioMessage,RepeatAudioMessage,0x416bf0,0x4ff880,regtable+1.5
AudioMessage,AudioMessage,0x416bf8,0x4ff890,regtable+1.5
IsAudioMessageDone,IsAudioMessageDone,0x416c1c,0x4ff8d0,regtable+1.5
StopAudioMessage,StopAudioMessage,0x416c41,0x4ff910,regtable+1.5
IsAudioMessagePlaying,IsAudioMessagePlaying,0x416c58,0x4ff940,regtable+1.5
StartSound,StartSound,0x41b743,0x4ff960,regtable+1.5
StopSound,StopSound,0x41b80c,0x4ffa90,regtable+1.5
GetHandle,GetHandle,0x416c70,0x4ffb30,regtable+1.5
BuildObject,BuildObject,0x416c94,0x4ffb70,regtable+1.5
RemoveObject,RemoveObject,0x416d45,0x4ffca0,regtable+1.5
IsOdf,IsOdf,0x416ed4,0x4fff70,regtable+1.5
GetOdf,GetOdf,0x41b869,0x4fffd0,regtable+1.5
GetBase,GetBase,0x41b8f8,0x5000f0,regtable+1.5
GetLabel,GetLabel,0x41b930,0x500150,regtable+1.5
SetLabel,,,0x5001a0,regtable_reduxonly
GetClassSig,GetClassSig,0x41b997,0x5001f0,regtable+1.5
GetClassLabel,GetClassLabel,0x41b9f1,0x500280,regtable+1.5
GetClassId,GetClassId,0x41ba25,0x5002e0,regtable+1.5
GetNation,GetNation,0x41ba59,0x500340,regtable+1.5
IsValid,IsValid,0x416f08,0x5003a0,regtable+1.5
IsAlive,IsAlive,0x416f36,0x5003e0,regtable+1.5
IsAliveAndPilot,IsAliveAndPilot,0x416f64,0x500420,regtable+1.5
IsCraft,IsCraft,0x416f92,0x500460,regtable+1.5
IsBuilding,IsBuilding,0x416fb7,0x5004a0,regtable+1.5
IsPerson,IsPerson,0x416fdc,0x5004e0,regtable+1.5
IsDamaged,IsDamaged,0x417001,0x500520,regtable+1.5
IsRecycledByTeam,,,0x5077f0,regtable_reduxonly
GetTeamNum,GetTeamNum,0x4170a2,0x500640,regtable+1.5
SetTeamNum,SetTeamNum,0x4170c4,0x500680,regtable+1.5
GetPerceivedTeam,GetPerceivedTeam,0x4170eb,0x5006c0,regtable+1.5
SetPerceivedTeam,SetPerceivedTeam,0x41710d,0x500700,regtable+1.5
SetUserTarget,SetUserTarget,0x417134,0x500740,regtable+1.5
GetUserTarget,GetUserTarget,0x41714b,0x500770,regtable+1.5
SetTarget,SetTarget,0x417160,0x5007a0,regtable+1.5
GetTarget,GetTarget,0x417187,0x5007e0,regtable+1.5
SetOwner,SetOwner,0x4171a9,0x500820,regtable+1.5
GetOwner,GetOwner,0x4171d0,0x500860,regtable+1.5
SetPilotClass,SetPilotClass,0x4171f2,0x5008a0,regtable+1.5
GetPilotClass,GetPilotClass,0x41ba93,0x5008e0,regtable+1.5
SetPosition,SetPosition,0x41bee5,0x501710,regtable+1.5
GetPosition,GetPosition,0x417548,0x501620,regtable+1.5
GetFront,GetFront,0x417620,0x501800,regtable+1.5
SetTransform,SetTransform,0x41751b,0x5015d0,regtable+1.5
GetTransform,GetTransform,0x4174d6,0x501550,regtable+1.5
GetVelocity,GetVelocity,0x41765e,0x501880,regtable+1.5
SetVelocity,SetVelocity,0x41769c,0x501900,regtable+1.5
GetOmega,GetOmega,0x4176c9,0x501950,regtable+1.5
SetOmega,SetOmega,0x417707,0x5019d0,regtable+1.5
