redux_va,applied_name,namespace,api_name,source_tag,legacy_va,status
0x4ff880,RepeatAudioMessage,LuaAPI,RepeatAudioMessage,regtable+1.5,0x416bf0,applied
0x4ff890,AudioMessage,LuaAPI,AudioMessage,regtable+1.5,0x416bf8,applied
0x4ff8d0,IsAudioMessageDone,LuaAPI,IsAudioMessageDone,regtable+1.5,0x416c1c,applied
0x4ff910,StopAudioMessage,LuaAPI,StopAudioMessage,regtable+1.5,0x416c41,applied
0x4ff940,IsAudioMessagePlaying,LuaAPI,IsAudioMessagePlaying,regtable+1.5,0x416c58,applied
0x4ff960,StartSound,LuaAPI,StartSound,regtable+1.5,0x41b743,applied
0x4ffa90,StopSound,LuaAPI,StopSound,regtable+1.5,0x41b80c,applied
0x4ffb30,GetHandle,LuaAPI,GetHandle,regtable+1.5,0x416c70,applied
0x4ffb70,BuildObject,LuaAPI,BuildObject,regtable+1.5,0x416c94,applied
0x4ffca0,RemoveObject,LuaAPI,RemoveObject,regtable+1.5,0x416d45,applied
0x4ffcd0,GetPlayerHandle,LuaAPI,GetPlayerHandle,regtable+1.5,0x416d5c,applied
0x4ffd30,GetTeamSlot,LuaAPI,GetTeamSlot,regtable+1.5,0x416d95,applied
0x4ffdb0,GetRecyclerHandle,LuaAPI,GetRecyclerHandle,regtable+1.5,0x416dde,applied
0x4ffe20,GetFactoryHandle,LuaAPI,GetFactoryHandle,regtable+1.5,0x416e1a,applied
0x4ffe90,GetArmoryHandle,LuaAPI,GetArmoryHandle,regtable+1.5,0x416e58,applied
0x4fff00,GetConstructorHandle,LuaAPI,GetConstructorHandle,regtable+1.5,0x416e96,applied
0x4fff70,IsOdf,LuaAPI,IsOdf,regtable+1.5,0x416ed4,applied
0x4fffd0,GetOdf,LuaAPI,GetOdf,regtable+1.5,0x41b869,applied
0x500060,GetWeaponClass,LuaAPI,GetWeaponClass,regtable+1.5,0x41b8a1,applied
0x5000f0,GetBase,LuaAPI,GetBase,regtable+1.5,0x41b8f8,applied
0x500150,GetLabel,LuaAPI,GetLabel,regtable+1.5,0x41b930,applied
0x5001a0,SetLabel,LuaAPI,SetLabel,regtable_reduxonly,,applied
0x5001f0,GetClassSig,LuaAPI,GetClassSig,regtable+1.5,0x41b997,applied
0x500280,GetClassLabel,LuaAPI,GetClassLabel,regtable+1.5,0x41b9f1,applied
0x5002e0,GetClassId,LuaAPI,GetClassId,regtable+1.5,0x41ba25,applied
0x500340,GetNation,LuaAPI,GetNation,regtable+1.5,0x41ba59,applied
0x5003a0,IsValid,LuaAPI,IsValid,regtable+1.5,0x416f08,applied
0x5003e0,IsAlive,LuaAPI,IsAlive,regtable+1.5,0x416f36,applied
0x500420,IsAliveAndPilot,LuaAPI,IsAliveAndPilot,regtable+1.5,0x416f64,applied
0x500460,IsCraft,LuaAPI,IsCraft,regtable+1.5,0x416f92,applied
0x5004a0,IsBuilding,LuaAPI,IsBuilding,regtable+1.5,0x416fb7,applied
0x5004e0,IsPerson,LuaAPI,IsPerson,regtable+1.5,0x416fdc,applied
0x500520,IsDamaged,LuaAPI,IsDamaged,regtable+1.5,0x417001,applied
0x500590,SetLocal,LuaAPI,SetLocal,regtable+1.5,0x417041,applied
0x5005c0,IsLocal,LuaAPI,IsLocal,regtable+1.5,0x417058,applied
0x500600,IsRemote,LuaAPI,IsRemote,regtable+1.5,0x41707d,applied
0x500640,GetTeamNum,LuaAPI,GetTeamNum,regtable+1.5,0x4170a2,applied
0x500680,SetTeamNum,LuaAPI,SetTeamNum,regtable+1.5,0x4170c4,applied
0x5006c0,GetPerceivedTeam,LuaAPI,GetPerceivedTeam,regtable+1.5,0x4170eb,applied
0x500700,SetPerceivedTeam,LuaAPI,SetPerceivedTeam,regtable+1.5,0x41710d,applied
0x500740,SetUserTarget,LuaAPI,SetUserTarget,regtable+1.5,0x417134,applied
0x500770,GetUserTarget,LuaAPI,GetUserTarget,regtable+1.5,0x41714b,applied
0x5007a0,SetTarget,LuaAPI,SetTarget,regtable+1.5,0x417160,applied
0x5007e0,GetTarget,LuaAPI,GetTarget,regtable+1.5,0x417187,applied
0x500820,SetOwner,LuaAPI,SetOwner,regtable+1.5,0x4171a9,applied
0x500860,GetOwner,LuaAPI,GetOwner,regtable+1.5,0x4171d0,applied
0x5008a0,SetPilotClass,LuaAPI,SetPilotClass,regtable+1.5,0x4171f2,applied
