api_name,string_addr,table_entry,func_ptr,func_rva,func_name,func_defined
Load,,,,,,MISSING
Save,,,,,,MISSING
Start,,,,,,MISSING
GameKey,,,,,,MISSING
Update,,,,,,MISSING
CreateObject,,,,,,MISSING
AddObject,,,,,,MISSING
DeleteObject,,,,,,MISSING
CreatePlayer,,,,,,MISSING
AddPlayer,,,,,,MISSING
DeletePlayer,,,,,,MISSING
Receive,,,,,,MISSING
Command,,,,,,MISSING
RepeatAudioMessage,0x5d19b4,0x5d1e58,0x416bf0,0x16bf0,RepeatAudioMessage,true
AudioMessage,0x5d19a4,0x5d1e60,0x416bf8,0x16bf8,AudioMessage,true
WAVE,,,,,,MISSING
IsAudioMessageDone,0x5d1990,0x5d1e68,0x416c1c,0x16c1c,IsAudioMessageDone,true
StopAudioMessage,0x5d197c,0x5d1e70,0x416c41,0x16c41,StopAudioMessage,true
IsAudioMessagePlaying,0x5d1964,0x5d1e78,0x416c58,0x16c58,IsAudioMessagePlaying,true
StartSound,0x5d1958,0x5d1e80,0x41b743,0x1b743,StartSound,true
StopSound,0x5d194c,0x5d1e88,0x41b80c,0x1b80c,StopSound,true
GetHandle,0x5d1940,0x5d1e90,0x416c70,0x16c70,GetHandle,true
BuildObject,0x5d1934,0x5d1e98,0x416c94,0x16c94,BuildObject,true
RemoveObject,0x5d1924,0x5d1ea0,0x416d45,0x16d45,RemoveObject,true
IsOdf,0x5d18b0,0x5d1ed8,0x416ed4,0x16ed4,IsOdf,true
GetOdf,0x5d18a8,0x5d1ee0,0x41b869,0x1b869,GetOdf,true
GetBase,0x5d1890,0x5d1ef0,0x41b8f8,0x1b8f8,GetBase,true
GetLabel,0x5d1884,0x5d1ef8,0x41b930,0x1b930,GetLabel,true
SetLabel,,,,,,MISSING
GetClassSig,0x5d186c,0x5d1f08,0x41b997,0x1b997,GetClassSig,true
GetClassLabel,0x5d185c,0x5d1f10,0x41b9f1,0x1b9f1,GetClassLabel,true
GetClassId,0x5d1850,0x5d1f18,0x41ba25,0x1ba25,GetClassId,true
GetNation,0x5d1844,0x5d1f20,0x41ba59,0x1ba59,GetNation,true
IsValid,0x5d183c,0x5d1f28,0x416f08,0x16f08,IsValid,true
IsAlive,0x5d1834,0x5d1f30,0x416f36,0x16f36,IsAlive,true
IsAliveAndPilot,0x5d1824,0x5d1f38,0x416f64,0x16f64,IsAliveAndPilot,true
IsCraft,0x5d181c,0x5d1f40,0x416f92,0x16f92,IsCraft,true
IsBuilding,0x5d1810,0x5d1f48,0x416fb7,0x16fb7,IsBuilding,true
IsPerson,0x5d1804,0x5d1f50,0x416fdc,0x16fdc,IsPerson,true
IsDamaged,0x5d17f8,0x5d1f58,0x417001,0x17001,IsDamaged,true
IsRecycledByTeam,,,,,,MISSING
GetTeamNum,0x5d17cc,0x5d1f78,0x4170a2,0x170a2,GetTeamNum,true
SetTeamNum,0x5d17c0,0x5d1f80,0x4170c4,0x170c4,SetTeamNum,true
GetPerceivedTeam,0x5d1798,0x5d1f90,0x4170eb,0x170eb,GetPerceivedTeam,true
SetPerceivedTeam,0x5d17ac,0x5d1f88,0x41710d,0x1710d,SetPerceivedTeam,true
