redux_va,applied_name,namespace,combined_confidence,similarity,significance,legacy_va,status
0x416970,DecodeToBuffer,CStreamingOggSound,very_high,0.5308,35.23,0x4b14f5,applied
0x4357d0,ProcessMouseRawInput,Global,high,0.9850,141.97,0x4bdc8b,applied
0x437a70,StopMusic,Global,very_high,0.6510,20.72,0x4712cd,applied
0x437be0,TestSFX,Global,very_high,0.7915,17.77,0x4714c6,applied
0x438550,Control,AudioMessageMgr,very_high,0.6056,39.72,0x4807df,applied
0x43d6c0,RestoreBuffer,CSound,high,1.0000,67.33,0x4904ed,applied
0x43e810,Ogg_seek_func,Global,very_high,0.7287,24.19,0x49fe24,applied
0x43f5c0,Pause,OggManager,very_high,0.5323,21.22,0x4a0417,applied
0x43f690,Resume,OggManager,very_high,0.5291,22.15,0x4a0491,applied
0x43f780,Release,OggManager,very_high,0.5276,24.75,0x4a051c,applied
0x442d30,DeleteCollisionEntity,Global,very_high,0.7058,49.74,0x474951,applied
0x45c160,in,AiCmdInfo,very_high,0.6510,36.24,0x401467,applied
0x45daf0,End,AiMission,very_high,0.8593,41.76,0x401b11,applied
0x4697c0,BuildingUnblock,Global,high,0.9796,41.76,0x4051d7,applied
0x46cc80,ALLIE_Init,Global,very_high,0.7020,11.06,0x4dc534,applied
0x4741a0,DrawStateA,ArmoryProcess,very_high,0.9038,38.34,0x40c964,applied
0x47be40,BeamGunClass,BeamGunClass,very_high,0.7500,13.68,0x52abe8,applied
0x47db90,BounceBombClass,BounceBombClass,very_high,0.6864,13.50,0x52b51f,applied
0x47ec90,Init,Building,very_high,0.5809,26.52,0x482d21,applied
0x481220,BulletClass,BulletClass,very_high,0.7710,17.28,0x52c289,applied
0x481b10,MCUseItem,Global,very_high,0.6976,25.00,0x484865,applied
0x4908a0,ChargeGunClass,ChargeGunClass,very_high,0.8312,19.36,0x52cc25,applied
0x4979a0,Init,SelectionDisplay,very_high,0.8570,27.30,0x4c15d0,applied
0x49c390,PostLoad,ConstructionDisplay,very_high,1.0000,23.95,0x4c38a1,applied
0x4a7440,Save,ControlPanel,very_high,0.8781,24.76,0x4c3e3c,applied
0x4af0a0,CraftClass,CraftClass,very_high,0.8132,24.83,0x4899b0,applied
0x4afff0,crc32check,Global,very_high,0.5908,73.81,0x546c02,applied
0x4b0a00,DayWreckerClass,DayWreckerClass,very_high,0.7543,16.45,0x52d3a9,applied
0x4b6fa0,PrintValue,DisplayInterface,very_high,0.5874,12.30,0x4c7670,applied
0x4c18a0,PostLoad,EditTerrain,very_high,0.5066,23.85,0x4ccb86,applied
0x4c83e0,UpdateStatusLine,EditTerrain,very_high,0.6560,28.19,0x4ca442,applied
0x4cad80,ExplosionClass,ExplosionClass,very_high,0.6283,19.61,0x52f363,applied
0x4ccd80,out,Global,very_high,0.5590,26.35,0x547a77,applied
0x4cd0e0,out,Global,very_high,0.5031,18.21,0x547c10,applied
0x4cd360,out,Global,very_high,0.5031,18.21,0x547e0b,applied
0x4e3290,GeoCache_AddRep,Global,very_high,0.5450,51.23,0x49bfc9,applied
0x4e4b00,Save,GotoGeyser,very_high,0.5924,15.93,0x41326d,applied
0x4e7f60,GrenadeClass,GrenadeClass,very_high,0.7603,18.74,0x52ff43,applied
0x4e92f0,HealthPowerupClass,HealthPowerupClass,very_high,0.7843,15.55,0x49c21a,applied
0x4f55b0,Execute,Inst01Event,very_high,0.7813,83.24,0x41597a,applied
0x4f6640,Matches,Inst03MissionClass,very_high,0.6553,26.38,0x415c98,applied
0x4f8a90,LauncherClass,LauncherClass,very_high,0.6766,20.88,0x530e63,applied
0x4ff640,LuaLoader,Global,very_high,0.6044,24.54,0x416a69,applied
0x504ad0,BuildAt,Global,high,1.0000,51.61,0x418bd3,applied
0x507b80,VECTOR_3D_NewIndex,Global,high,1.0000,54.83,0x419d85,applied
