label,relpath,format,header,width,height,mips
BZCC,bz2r_res\baked\Common\FlagsStandards\Textures\foflag01.dds,BC1_UNORM_SRGB,DX10,512,512,10
BZCC,bz2r_res\baked\Common\FlagsStandards\Textures\foflag01_e.dds,BC1_UNORM_SRGB,DX10,512,512,10
BZCC,bz2r_res\baked\Common\FlagsStandards\Textures\foflag01_s.dds,BC1_UNORM_SRGB,DX10,512,512,10
BZCC,bz2r_res\baked\Common\Misc\bovoya00.dds,BC1_UNORM_SRGB,DX10,256,256,9
BZCC,bz2r_res\baked\Common\Misc\bovoyac0.dds,BC1_UNORM_SRGB,DX10,256,256,9
BZCC,bz2r_res\baked\Common\Misc\road.dds,BC1_UNORM_SRGB,DX10,256,256,9
BZCC,bz2r_res\baked\Common\Textures\apcamr01.dds,BC1_UNORM_SRGB,DX10,1024,1024,11
BZCC,bz2r_res\baked\Common\Textures\apcamr01_e.dds,BC1_UNORM_SRGB,DX10,1024,1024,11
BZCC,bz2r_res\baked\Common\Textures\apcamr01_s.dds,BC1_UNORM_SRGB,DX10,1024,1024,11
BZCC,bz2r_res\baked\Common\Textures\black.dds,BC1_UNORM_SRGB,DX10,4,4,3
BZCC,bz2r_res\baked\Common\Textures\bzone.dds,BC1_UNORM_SRGB,DX10,128,128,8
BZCC,bz2r_res\baked\Common\Textures\cbdata01_s.dds,BC1_UNORM_SRGB,DX10,1024,1024,11
BZCC,bz2r_res\baked\Common\Textures\glare.dds,BC1_UNORM_SRGB,DX10,64,64,7
BZCC,bz2r_res\baked\Common\Textures\trans.dds,BC1_UNORM_SRGB,DX10,4,4,3
BZCC,bz2r_res\baked\Common\Textures\white.dds,BC1_UNORM_SRGB,DX10,4,4,3
BZCC,bz2r_res\baked\Effects\Textures\absorb.dds,BC1_UNORM_SRGB,DX10,512,512,10
BZCC,bz2r_res\baked\Effects\Textures\arctrail.dds,BC1_UNORM_SRGB,DX10,1024,1024,11
BZCC,bz2r_res\baked\Effects\Textures\blast.dds,BC1_UNORM_SRGB,DX10,128,128,8
BZCC,bz2r_res\baked\Effects\Textures\blastenergy.dds,BC1_UNORM_SRGB,DX10,512,512,10
BZCC,bz2r_res\baked\Effects\Textures\bolt.dds,BC1_UNORM_SRGB,DX10,256,256,9
BZCC,bz2r_res\baked\Effects\Textures\bulhit.dds,BC1_UNORM_SRGB,DX10,256,256,9
BZCC,bz2r_res\baked\Effects\Textures\crackle.dds,BC1_UNORM_SRGB,DX10,256,256,9
BZCC,bz2r_res\baked\Effects\Textures\deflect.dds,BC1_UNORM_SRGB,DX10,512,512,10
BZCC,bz2r_res\baked\Effects\Textures\dirt.dds,BC1_UNORM_SRGB,DX10,256,256,9
BZCC,bz2r_res\baked\Effects\Textures\elec.dds,BC1_UNORM_SRGB,DX10,512,512,10
BZCC,bz2r_res\baked\Effects\Textures\elecsphere.dds,BC1_UNORM_SRGB,DX10,512,512,10
BZCC,bz2r_res\baked\Effects\Textures\fire.dds,BC1_UNORM_SRGB,DX10,256,256,9
BZCC,bz2r_res\baked\Effects\Textures\firetrail1.dds,BC1_UNORM_SRGB,DX10,256,256,9
BZCC,bz2r_res\baked\Effects\Textures\firetrail2.dds,BC1_UNORM_SRGB,DX10,256,256,9
