label,relpath,format,header,width,height,mips
CR,Assets\chunkMeshes\generic\iechunks_e.dds,BC1_UNORM(DXT1),FourCC,512,512,1
CR,Assets\chunkMeshes\generic\iechunks_n.dds,BC1_UNORM(DXT1),FourCC,512,512,1
CR,Assets\chunkMeshes\generic\iechunks_s.dds,BC1_UNORM(DXT1),FourCC,512,512,1
CR,Local\Workshop\content\chunkMeshes\generic\iechunks_e.dds,BC1_UNORM(DXT1),FourCC,512,512,1
CR,Local\Workshop\content\chunkMeshes\generic\iechunks_n.dds,BC1_UNORM(DXT1),FourCC,512,512,1
CR,Local\Workshop\content\chunkMeshes\generic\iechunks_s.dds,BC1_UNORM(DXT1),FourCC,512,512,1
CR,Textures\cr_ibl_neutral_irradiance.dds,BC1_UNORM(DXT1),FourCC,32,32,1
CR,Textures\cr_ibl_neutral_prefilter.dds,BC1_UNORM(DXT1),FourCC,128,128,8
CR,Assets\chunkMeshes\generic\iechunks.dds,BC3_UNORM(DXT5),FourCC,512,512,1
CR,Local\Workshop\content\chunkMeshes\generic\iechunks.dds,BC3_UNORM(DXT5),FourCC,512,512,1
CR,Assets\Textures\abstor_d.dds,UNCOMPRESSED_24BPP,RGB,1254,1254,1
CR,Assets\Textures\avapc_cockpit_D.dds,UNCOMPRESSED_24BPP,RGB,1254,1254,1
CR,Assets\Textures\avfigh_D.dds,UNCOMPRESSED_24BPP,RGB,1254,1254,11
CR,Assets\Textures\avsav2_d.dds,UNCOMPRESSED_24BPP,RGB,1254,1254,1
CR,Assets\Textures\avsav_d.dds,UNCOMPRESSED_24BPP,RGB,1024,1024,1
CR,Assets\Textures\bbcom2_n.dds,UNCOMPRESSED_24BPP,RGB,1024,1024,1
CR,Assets\Textures\bvrdev_d.dds,UNCOMPRESSED_24BPP,RGB,1254,1254,1
CR,Local\Workshop\content\abstor_d.dds,UNCOMPRESSED_24BPP,RGB,1254,1254,1
CR,Local\Workshop\content\avapc_cockpit_D.dds,UNCOMPRESSED_24BPP,RGB,1254,1254,1
CR,Local\Workshop\content\avfigh_D.dds,UNCOMPRESSED_24BPP,RGB,1254,1254,11
CR,Local\Workshop\content\avsav2_d.dds,UNCOMPRESSED_24BPP,RGB,1254,1254,1
CR,Local\Workshop\content\avsav_d.dds,UNCOMPRESSED_24BPP,RGB,1024,1024,1
CR,Local\Workshop\content\bbcom2_n.dds,UNCOMPRESSED_24BPP,RGB,1024,1024,1
CR,Local\Workshop\content\bvrdev_d.dds,UNCOMPRESSED_24BPP,RGB,1254,1254,1
CR,Textures\avheadlight00_d.dds,UNCOMPRESSED_24BPP,RGB,1254,1254,1
CR,Textures\bbhqcp_d.dds,UNCOMPRESSED_24BPP,RGB,1774,887,1
CR,Textures\svheadlight00_d.dds,UNCOMPRESSED_24BPP,RGB,1254,1254,1
CR,Textures\ubtart00.dds,UNCOMPRESSED_24BPP,RGB,1254,1254,1
CR,Textures\cr_ibl_brdf_lut.dds,UNCOMPRESSED_32BPP_A,RGB,64,64,0
