legacy_entry_va	bsim_redux_va	legacy_name	legacy_namespace	combined_confidence	bsim_similarity	bsim_significance	bsim_agreement
0x004b14f5	0x416970	DecodeToBuffer	CStreamingOggSound	very_high	0.5308	35.23	exact
0x004bdc8b	0x4357d0	ProcessMouseRawInput	Global	high	0.9850	141.97	bsim_only
0x004712cd	0x437a70	StopMusic	Global	very_high	0.6510	20.72	exact
0x004714c6	0x437be0	TestSFX	Global	very_high	0.7915	17.77	exact
0x004807df	0x438550	Control	AudioMessageMgr	very_high	0.6056	39.72	exact
0x004904ed	0x43d6c0	RestoreBuffer	CSound	high	1.0000	67.33	bsim_only
0x0049fe24	0x43e810	Ogg_seek_func	Global	very_high	0.7287	24.19	exact
0x004a0417	0x43f5c0	Pause	OggManager	very_high	0.5323	21.22	exact
0x004a0491	0x43f690	Resume	OggManager	very_high	0.5291	22.15	exact
0x004a051c	0x43f780	Release	OggManager	very_high	0.5276	24.75	exact
0x00474951	0x442d30	DeleteCollisionEntity	Global	very_high	0.7058	49.74	exact
0x00401467	0x45c160	in	AiCmdInfo	very_high	0.6510	36.24	exact
0x00401b11	0x45daf0	End	AiMission	very_high	0.8593	41.76	exact
0x004051d7	0x4697c0	BuildingUnblock	Global	high	0.9796	41.76	bsim_only
0x004dc534	0x46cc80	ALLIE_Init	Global	very_high	0.7020	11.06	exact
0x0040c964	0x4741a0	DrawStateA	ArmoryProcess	very_high	0.9038	38.34	exact
0x0052abe8	0x47be40	BeamGunClass	BeamGunClass	very_high	0.7500	13.68	exact
0x0052b51f	0x47db90	BounceBombClass	BounceBombClass	very_high	0.6864	13.50	exact
0x00482d21	0x47ec90	Init	Building	very_high	0.5809	26.52	exact
0x0052c289	0x481220	BulletClass	BulletClass	very_high	0.7710	17.28	exact
0x00484865	0x481b10	MCUseItem	Global	very_high	0.6976	25.00	exact
0x0052cc25	0x4908a0	ChargeGunClass	ChargeGunClass	very_high	0.8312	19.36	exact
0x004c15d0	0x4979a0	Init	SelectionDisplay	very_high	0.8570	27.30	exact
0x004c38a1	0x49c390	PostLoad	ConstructionDisplay	very_high	1.0000	23.95	exact
0x004c3e3c	0x4a7440	Save	ControlPanel	very_high	0.8781	24.76	exact
0x004899b0	0x4af0a0	CraftClass	CraftClass	very_high	0.8132	24.83	exact
0x00546c02	0x4afff0	crc32check	Global	very_high	0.5908	73.81	exact
0x0052d3a9	0x4b0a00	DayWreckerClass	DayWreckerClass	very_high	0.7543	16.45	exact
0x004c7670	0x4b6fa0	PrintValue	DisplayInterface	very_high	0.5874	12.30	exact
0x004ccb86	0x4c18a0	PostLoad	EditTerrain	very_high	0.5066	23.85	exact
0x004ca442	0x4c83e0	UpdateStatusLine	EditTerrain	very_high	0.6560	28.19	exact
0x0052f363	0x4cad80	ExplosionClass	ExplosionClass	very_high	0.6283	19.61	exact
0x00547a77	0x4ccd80	out	Global	very_high	0.5590	26.35	exact
0x00547c10	0x4cd0e0	out	Global	very_high	0.5031	18.21	exact
0x00547e0b	0x4cd360	out	Global	very_high	0.5031	18.21	exact
0x0049bfc9	0x4e3290	GeoCache_AddRep	Global	very_high	0.5450	51.23	exact
0x0041326d	0x4e4b00	Save	GotoGeyser	very_high	0.5924	15.93	exact
0x0052ff43	0x4e7f60	GrenadeClass	GrenadeClass	very_high	0.7603	18.74	exact
