legacy_va,legacy_name,legacy_namespace,redux_rva,redux_va,similarity,significance,rank2_rva,rank2_similarity
0x00426a7e,Execute,Misn06Mission,0x124070,0x524070,0.6509,688.01,,
0x004494e8,Execute,Misns8Mission,0x165f80,0x565f80,0.6671,660.66,,
0x00420d80,Execute,Misn04Mission,0x119ab0,0x519ab0,0.6585,564.94,,
0x0043eeef,Execute,Misns1Mission,0x152a20,0x552a20,0.7309,486.56,,
0x00440799,Execute,Misns2Mission,0x155a20,0x555a20,0.6811,478.72,,
0x004461f7,Execute,Misns7Mission,0x15fca0,0x55fca0,0.5573,473.92,,
0x0043d7e6,Execute,Misn18Mission,0x14fe40,0x54fe40,0.6913,444.32,,
0x0042de61,Execute,Misn09Mission,0x1321d0,0x5321d0,0.6302,406.25,,
0x0043b193,Execute,Misn17Mission,0x14b010,0x54b010,0.6167,360.05,,
0x0041e8a4,Execute,Misn03Mission,0x1156d0,0x5156d0,0.5611,333.22,,
0x005b9f77,symbexec,Global,0x42e24d,0x82e24d,0.7103,330.09,,
0x0042c051,Execute,Misn08Mission,0x12e340,0x52e340,0.5422,282.82,,
0x0051480a,Mutils_MakeFileName,Global,0x29e880,0x69e880,0.8449,223.33,,
0x004bc5dd,giddi_describe_device,Global,0x221b90,0x621b90,0.6945,209.74,,
0x005b8181,luaO_chunkid,Global,0x42e741,0x82e741,0.9777,206.22,0x29c830,0.5136
0x005b8a1b,luaD_precall,Global,0x42f2d3,0x82f2d3,0.9410,200.75,,
0x00524eb9,GetKeyString,Global,0x387660,0x787660,0.9394,180.49,,
0x004bca1b,giddi_open,Global,0x2223a0,0x6223a0,0.7219,178.40,,
0x00404d1e,CellIsSlope,Global,0x68450,0x468450,0.8911,172.57,0x68890,0.5242
0x005bca33,rehash,Global,0x4312f6,0x8312f6,0.8477,170.50,,
0x005b8f76,traversetable,Global,0x43085a,0x83085a,0.7944,166.11,,
0x005b855f,adjust_varargs,Global,0x42ed3d,0x82ed3d,0.9720,165.92,,
0x00439939,Execute,Misn15Mission,0x147f20,0x547f20,0.5026,160.18,,
0x005c7540,_alldiv,Global,0x444250,0x844250,1.0000,158.41,0x4443d0,0.6968
