redux_va	apply_name	namespace	api_name	legacy_va	source_tag
0x4ff880	RepeatAudioMessage	LuaAPI	RepeatAudioMessage	0x416bf0	regtable+1.5
0x4ff890	AudioMessage	LuaAPI	AudioMessage	0x416bf8	regtable+1.5
0x4ff8d0	IsAudioMessageDone	LuaAPI	IsAudioMessageDone	0x416c1c	regtable+1.5
0x4ff910	StopAudioMessage	LuaAPI	StopAudioMessage	0x416c41	regtable+1.5
0x4ff940	IsAudioMessagePlaying	LuaAPI	IsAudioMessagePlaying	0x416c58	regtable+1.5
0x4ff960	StartSound	LuaAPI	StartSound	0x41b743	regtable+1.5
0x4ffa90	StopSound	LuaAPI	StopSound	0x41b80c	regtable+1.5
0x4ffb30	GetHandle	LuaAPI	GetHandle	0x416c70	regtable+1.5
0x4ffb70	BuildObject	LuaAPI	BuildObject	0x416c94	regtable+1.5
0x4ffca0	RemoveObject	LuaAPI	RemoveObject	0x416d45	regtable+1.5
0x4ffcd0	GetPlayerHandle	LuaAPI	GetPlayerHandle	0x416d5c	regtable+1.5
0x4ffd30	GetTeamSlot	LuaAPI	GetTeamSlot	0x416d95	regtable+1.5
0x4ffdb0	GetRecyclerHandle	LuaAPI	GetRecyclerHandle	0x416dde	regtable+1.5
0x4ffe20	GetFactoryHandle	LuaAPI	GetFactoryHandle	0x416e1a	regtable+1.5
0x4ffe90	GetArmoryHandle	LuaAPI	GetArmoryHandle	0x416e58	regtable+1.5
0x4fff00	GetConstructorHandle	LuaAPI	GetConstructorHandle	0x416e96	regtable+1.5
0x4fff70	IsOdf	LuaAPI	IsOdf	0x416ed4	regtable+1.5
0x4fffd0	GetOdf	LuaAPI	GetOdf	0x41b869	regtable+1.5
0x500060	GetWeaponClass	LuaAPI	GetWeaponClass	0x41b8a1	regtable+1.5
0x5000f0	GetBase	LuaAPI	GetBase	0x41b8f8	regtable+1.5
0x500150	GetLabel	LuaAPI	GetLabel	0x41b930	regtable+1.5
0x5001a0	SetLabel	LuaAPI	SetLabel		regtable_reduxonly
0x5001f0	GetClassSig	LuaAPI	GetClassSig	0x41b997	regtable+1.5
0x500280	GetClassLabel	LuaAPI	GetClassLabel	0x41b9f1	regtable+1.5
0x5002e0	GetClassId	LuaAPI	GetClassId	0x41ba25	regtable+1.5
0x500340	GetNation	LuaAPI	GetNation	0x41ba59	regtable+1.5
0x5003a0	IsValid	LuaAPI	IsValid	0x416f08	regtable+1.5
0x5003e0	IsAlive	LuaAPI	IsAlive	0x416f36	regtable+1.5
0x500420	IsAliveAndPilot	LuaAPI	IsAliveAndPilot	0x416f64	regtable+1.5
0x500460	IsCraft	LuaAPI	IsCraft	0x416f92	regtable+1.5
0x5004a0	IsBuilding	LuaAPI	IsBuilding	0x416fb7	regtable+1.5
0x5004e0	IsPerson	LuaAPI	IsPerson	0x416fdc	regtable+1.5
0x500520	IsDamaged	LuaAPI	IsDamaged	0x417001	regtable+1.5
0x500590	SetLocal	LuaAPI	SetLocal	0x417041	regtable+1.5
