api_name,string_addr,table_entry,func_ptr,func_rva,func_name,func_defined
Load,,,,,,MISSING
Save,,,,,,MISSING
Start,,,,,,MISSING
GameKey,,,,,,MISSING
Update,,,,,,MISSING
CreateObject,,,,,,MISSING
AddObject,,,,,,MISSING
DeleteObject,,,,,,MISSING
CreatePlayer,,,,,,MISSING
AddPlayer,,,,,,MISSING
DeletePlayer,,,,,,MISSING
Receive,,,,,,MISSING
Command,,,,,,MISSING
RepeatAudioMessage,0x87c350,0x871bc8,0x4ff880,0xff880,FUN_004ff880,true
AudioMessage,0x87c364,0x871bd0,0x4ff890,0xff890,FUN_004ff890,true
WAVE,,,,,,MISSING
IsAudioMessageDone,0x87c374,0x871bd8,0x4ff8d0,0xff8d0,FUN_004ff8d0,true
StopAudioMessage,0x87c388,0x871be0,0x4ff910,0xff910,FUN_004ff910,true
IsAudioMessagePlaying,0x87c39c,0x871be8,0x4ff940,0xff940,FUN_004ff940,true
StartSound,0x87c3b4,0x871bf0,0x4ff960,0xff960,FUN_004ff960,true
StopSound,0x87c238,0x871bf8,0x4ffa90,0xffa90,FUN_004ffa90,true
GetHandle,0x87c244,0x871c00,0x4ffb30,0xffb30,FUN_004ffb30,true
BuildObject,0x87c250,0x871c08,0x4ffb70,0xffb70,FUN_004ffb70,true
RemoveObject,0x87c25c,0x871c10,0x4ffca0,0xffca0,FUN_004ffca0,true
IsOdf,0x87c444,0x871c48,0x4fff70,0xfff70,FUN_004fff70,true
GetOdf,0x87c44c,0x871c50,0x4fffd0,0xfffd0,FUN_004fffd0,true
GetBase,0x87c464,0x871c60,0x5000f0,0x1000f0,FUN_005000f0,true
GetLabel,0x87c46c,0x871c68,0x500150,0x100150,FUN_00500150,true
SetLabel,0x87c478,0x871c70,0x5001a0,0x1001a0,FUN_005001a0,true
GetClassSig,0x87c3c0,0x871c78,0x5001f0,0x1001f0,FUN_005001f0,true
GetClassLabel,0x87c3cc,0x871c80,0x500280,0x100280,FUN_00500280,true
GetClassId,0x87c3dc,0x871c88,0x5002e0,0x1002e0,FUN_005002e0,true
GetNation,0x87c3e8,0x871c90,0x500340,0x100340,FUN_00500340,true
IsValid,0x87c3f4,0x871c98,0x5003a0,0x1003a0,FUN_005003a0,true
IsAlive,0x87c3fc,0x871ca0,0x5003e0,0x1003e0,FUN_005003e0,true
IsAliveAndPilot,0x87c404,0x871ca8,0x500420,0x100420,FUN_00500420,true
IsCraft,0x87c414,0x871cb0,0x500460,0x100460,FUN_00500460,true
IsBuilding,0x87c4fc,0x871cb8,0x5004a0,0x1004a0,FUN_005004a0,true
IsPerson,0x87c508,0x871cc0,0x5004e0,0x1004e0,FUN_005004e0,true
IsDamaged,0x87c514,0x871cc8,0x500520,0x100520,FUN_00500520,true
IsRecycledByTeam,0x87cf28,0x872348,0x5077f0,0x1077f0,FUN_005077f0,true
GetTeamNum,0x87c540,0x871ce8,0x500640,0x100640,FUN_00500640,true
SetTeamNum,0x87c54c,0x871cf0,0x500680,0x100680,FUN_00500680,true
GetPerceivedTeam,0x87c498,0x871d00,0x5006c0,0x1006c0,FUN_005006c0,true
