entry	name	reason
004ee84f	Alpha_Blend_Perspective_Texture_polygon	Exception while decompiling 004ee84f: process: timeout 
004f296f	Flat_Perspective_Texture_Map_polygon	Exception while decompiling 004f296f: process: timeout 
004f317c	Flat_Tile_Perspective_Texture_Map_polygon	Exception while decompiling 004f317c: process: timeout 
004f5020	Gouraud_Perspective_Texture_Map_polygon	Exception while decompiling 004f5020: process: timeout 
004f5a3a	Gouraud_Tile_Perspective_Texture_Map_polygon	Exception while decompiling 004f5a3a: process: timeout 
004f6405	Gouraud_VUTile_Perspective_Texture_Map_polygon	Exception while decompiling 004f6405: process: timeout 
004f6dd1	Gouraud_Tile_Transparent_Perspective_Texture_Map_polygon	Exception while decompiling 004f6dd1: process: timeout 
004f7d33	Gouraud_Transparent_Perspective_Texture_Map_polygon	Exception while decompiling 004f7d33: process: timeout 
004faaa7	Solid_Perspective_Texture_Map_polygon	Exception while decompiling 004faaa7: process: timeout 
004fd31f	Terrain128Poly	Exception while decompiling 004fd31f: process: timeout 
004fdbd9	Terrain_64Poly	Exception while decompiling 004fdbd9: process: timeout 
004fe493	Terrain_32Poly	Exception while decompiling 004fe493: process: timeout 
004fed59	Terrain256Poly	Exception while decompiling 004fed59: process: timeout 
004ff666	Terrain128PolyDouble	Exception while decompiling 004ff666: process: timeout 
004fff35	Terrain_64PolyDouble	Exception while decompiling 004fff35: process: timeout 
00500804	Terrain_32PolyDouble	Exception while decompiling 00500804: process: timeout 
005010d3	Terrain256PolyDouble	Exception while decompiling 005010d3: process: timeout 
00501f7a	Tile_Perspective_Texture_Map_polygon	Exception while decompiling 00501f7a: process: timeout 
00502d49	Tile_Transparent_Perspective_Texture_Map_polygon	Exception while decompiling 00502d49: process: timeout 
00503b19	Transparent_Perspective_Texture_Map_polygon	Exception while decompiling 00503b19: process: timeout 
0050606e	Translucent_Perspective_Texture_Map_polygon	Exception while decompiling 0050606e: process: timeout 
005068a0	Translucent2_Perspective_Texture_Map_polygon	Exception while decompiling 005068a0: process: timeout 
0055da02	NetGameDlgProc	Exception while decompiling 0055da02: process: timeout 
005655c6	ShellDlgProc	Exception while decompiling 005655c6: process: timeout 
005862e9	DXGetErrorStringA	Exception while decompiling 005862e9: process: timeout 
