entry	name	parent_namespace	signature	source	body_size	status
00401000	lzo1x_decompress_asm	Global	undefined lzo1x_decompress_asm()	IMPORTED	5609	ok
00401200	lzo1y_decompress_asm	Global	undefined lzo1y_decompress_asm()	IMPORTED	5609	ok
00401400	AI_Init	Global	void AI_Init(void)	IMPORTED	446	ok
0040140e	AI_PostLoad	Global	void AI_PostLoad(void)	IMPORTED	83	ok
0040141a	AI_CreateMission	Global	void AI_CreateMission(void)	IMPORTED	103	ok
0040142b	AI_Update	Global	void AI_Update(void)	IMPORTED	53	ok
0040142c	AI_Cleanup	Global	void AI_Cleanup(void)	IMPORTED	361	ok
0040145b	StrToID	Global	long64 StrToID(char * param_1)	IMPORTED	81	ok
00401467	AiCmdInfo::in	AiCmdInfo	bool in(AiCmdInfo * this, _iobuf * param_1)	IMPORTED	441	ok
004014dc	AiCmdInfo::out	AiCmdInfo	bool out(AiCmdInfo * this, _iobuf * param_1)	IMPORTED	464	ok
00401564	GameObject::GetUser	GameObject	GameObject * GetUser(void)	IMPORTED	82	ok
0040156a	GameObject::GetAIProcess	GameObject	AiProcess * GetAIProcess(GameObject * this)	IMPORTED	106	ok
00401571	AiMission::Done	AiMission	bool Done(AiMission * this)	IMPORTED	84	ok
00401575	AiMission::Fail	AiMission	void Fail(AiMission * this, float param_1, char * param_2)	IMPORTED	136	ok
0040158b	AiMission::Succeed	AiMission	void Succeed(AiMission * this, float param_1, char * param_2)	IMPORTED	140	ok
004015a1	SuccessAll	Global	void SuccessAll(int param_1)	IMPORTED	173	ok
004015be	FailAll	Global	void FailAll(int param_1)	IMPORTED	169	ok
004015db	FailMission	Global	void FailMission(float param_1, char * param_2)	IMPORTED	127	ok
004015f5	SucceedMission	Global	void SucceedMission(float param_1, char * param_2)	IMPORTED	131	ok
0040160f	Manage_AI	Global	void Manage_AI(VIDEO_DEVICE * param_1)	IMPORTED	646	ok
00401678	sqrtf	Global	float sqrtf(float param_1)	IMPORTED	73	ok
0040167f	VecLen	Global	float VecLen(VECTOR_3D param_1)	IMPORTED	140	ok
0040169c	Clamp	Global	float Clamp(float param_1, float param_2, float param_3)	IMPORTED	203	ok
004016c8	std::_Aux_cont::_Aux_cont	std::_Aux_cont	_Aux_cont * _Aux_cont(_Aux_cont * this, _Container_base_aux * param_1)	IMPORTED	157	ok
004016d3	std::_Aux_cont::_Getcont	std::_Aux_cont	_Container_base_aux * _Getcont(_Aux_cont * this)	IMPORTED	118	ok
004016d6	std::_Container_base_aux::_Container_base_aux	std::_Container_base_aux	_Container_base_aux * _Container_base_aux(_Container_base_aux * this)	IMPORTED	136	ok
004016d9	std::_Container_base_aux::~_Container_base_aux	std::_Container_base_aux	void ~_Container_base_aux(_Container_base_aux * this)	IMPORTED	114	ok
004016da	std::_Iterator_base_aux::_Iterator_base_aux	std::_Iterator_base_aux	_Iterator_base_aux * _Iterator_base_aux(_Iterator_base_aux * this)	IMPORTED	168	ok
004016e0	std::_Iterator_base_aux::_Set_container	std::_Iterator_base_aux	void _Set_container(_Iterator_base_aux * this, _Container_base_aux * param_1)	IMPORTED	176	ok
004016eb	std::_Iterator_base_aux::_Getmycont	std::_Iterator_base_aux	_Container_base_aux * _Getmycont(_Iterator_base_aux * this)	IMPORTED	234	ok
004016f7	std::_Iterator_base_aux::_Same_container	std::_Iterator_base_aux	bool _Same_container(_Iterator_base_aux * this, _Iterator_base_aux * param_1)	IMPORTED	187	ok
00401707	std::_Iterator_base_aux::_Has_container	std::_Iterator_base_aux	bool _Has_container(_Iterator_base_aux * this)	IMPORTED	139	ok
0040170f	stdext::exception::exception	stdext::exception	exception * exception(exception * this, char * param_1, int param_2)	IMPORTED	187	ok
00401721	stdext::exception::~exception	stdext::exception	void ~exception(exception * this)	IMPORTED	125	ok
00401728	stdext::exception::what	stdext::exception	char * what(exception * this)	IMPORTED	207	ok
00401735	stdext::exception::_Raise	stdext::exception	void _Raise(exception * this)	IMPORTED	307	ok
00401757	stdext::exception::_Doraise	stdext::exception	void _Doraise(exception * this)	IMPORTED	85	ok
