hg2_x,world_x,legacy_1_5,ours_unsmoothed,redux_shipped,redux_smoothed
0,0.0,0,0,0,0
1,5.0,,0,0,0
2,10.0,0,0,0,0
3,15.0,,0,0,0
4,20.0,0,0,0,0
5,25.0,,0,0,0
6,30.0,0,0,0,0
7,35.0,,0,0,0
8,40.0,0,0,0,0
9,45.0,,0,0,0
10,50.0,0,0,0,0
11,55.0,,0,0,0
12,60.0,0,0,0,0
13,65.0,,0,0,0
14,70.0,0,0,0,0
15,75.0,,0,0,0
16,80.0,0,0,0,0
17,85.0,,0,0,0
18,90.0,0,0,0,0
19,95.0,,0,0,0
20,100.0,0,0,0,0
21,105.0,,0,0,0
22,110.0,0,0,0,0
23,115.0,,0,0,0
24,120.0,0,0,0,0
25,125.0,,0,0,0
26,130.0,0,0,0,0
27,135.0,,0,0,0
28,140.0,0,0,0,0
29,145.0,,0,0,0
30,150.0,0,0,0,0
31,155.0,,0,0,0
32,160.0,0,0,0,0
33,165.0,,0,0,0
34,170.0,0,0,0,0
35,175.0,,0,0,0
36,180.0,0,0,0,0
37,185.0,,0,0,0
38,190.0,0,0,0,0
39,195.0,,0,0,0
40,200.0,0,0,0,0
41,205.0,,0,0,0
42,210.0,0,0,0,0
43,215.0,,0,0,0
44,220.0,0,0,0,0
45,225.0,,0,0,0
46,230.0,0,0,0,0
47,235.0,,0,0,0
48,240.0,0,0,0,0
49,245.0,,0,0,0
50,250.0,0,0,0,0
51,255.0,,0,0,0
52,260.0,0,0,0,0
53,265.0,,0,0,0
54,270.0,0,0,0,0
55,275.0,,0,0,0
56,280.0,0,0,0,0
57,285.0,,0,0,0
58,290.0,0,0,0,0
59,295.0,,0,0,0
60,300.0,0,0,0,0
61,305.0,,0,0,0
62,310.0,0,0,0,20
63,315.0,,59,59,59
64,320.0,118,118,118,98
65,325.0,,118,118,118
66,330.0,118,118,118,118
67,335.0,,118,118,118
68,340.0,118,118,118,137
69,345.0,,174,174,174
70,350.0,231,231,231,212
71,355.0,,231,231,231
72,360.0,231,231,231,231
73,365.0,,231,231,231
74,370.0,231,231,231,249
75,375.0,,285,285,285
76,380.0,339,339,339,321
77,385.0,,339,339,339
78,390.0,339,339,339,339
79,395.0,,339,339,339
80,400.0,339,339,339,362
81,405.0,,409,409,409
82,410.0,479,479,479,456
83,415.0,,479,479,479
84,420.0,479,479,479,479
85,425.0,,479,479,479
86,430.0,479,479,479,500
87,435.0,,541,541,541
88,440.0,603,603,603,582
89,445.0,,603,603,603
90,450.0,603,603,603,603
91,455.0,,603,603,603
92,460.0,603,603,603,623
93,465.0,,662,662,662
94,470.0,721,721,721,701
95,475.0,,721,721,721
96,480.0,721,721,721,721
97,485.0,,721,721,721
98,490.0,721,721,721,741
99,495.0,,782,782,782
100,500.0,843,843,843,823
101,505.0,,843,843,843
102,510.0,843,843,843,843
103,515.0,,842,842,842
104,520.0,840,840,840,861
105,525.0,,900,900,900
106,530.0,961,961,961,940
107,535.0,,958,958,958
108,540.0,955,955,955,956
109,545.0,,955,955,955
110,550.0,955,955,955,976
111,555.0,,1017,1017,1017
112,560.0,1080,1080,1080,1059
113,565.0,,1080,1080,1080
114,570.0,1080,1080,1080,1080
115,575.0,,1080,1080,1080
116,580.0,1080,1080,1080,1100
117,585.0,,1141,1141,1134
118,590.0,1202,1202,1202,1168
119,595.0,,1202,1202,1182
120,600.0,1202,1202,1202,1182
121,605.0,,1202,1202,1182
122,610.0,1202,1202,1202,1175
123,615.0,,1174,1174,1163
124,620.0,1145,1145,1145,1150
125,625.0,,1145,1145,1143
126,630.0,1145,1145,1145,1143
127,635.0,,1145,1145,1143
128,640.0,1145,1145,1145,1150
129,645.0,,1173,1173,1162
130,650.0,1202,1202,1202,1175
131,655.0,,1202,1202,1182
132,660.0,1202,1202,1202,1181
133,665.0,,1201,1201,1181
134,670.0,1200,1200,1200,1160
135,675.0,,1139,1139,1125
136,680.0,1078,1078,1078,1092
137,685.0,,1078,1078,1078
138,690.0,1078,1078,1078,1078
139,695.0,,1078,1078,1078
140,700.0,1078,1078,1078,1057
141,705.0,,1016,1016,1016
142,710.0,953,953,953,974
143,715.0,,953,953,953
144,720.0,953,953,953,953
145,725.0,,954,954,954
146,730.0,956,956,956,934
147,735.0,,893,893,893
148,740.0,829,829,829,850
149,745.0,,829,829,829
150,750.0,829,829,829,829
151,755.0,,829,829,829
152,760.0,829,829,829,809
153,765.0,,768,768,768
154,770.0,707,707,707,727
155,775.0,,707,707,707
156,780.0,707,707,707,707
157,785.0,,707,707,707
158,790.0,707,707,707,690
159,795.0,,656,656,656
160,800.0,604,604,604,621
161,805.0,,604,604,604
162,810.0,604,604,604,604
163,815.0,,605,605,605
164,820.0,606,606,606,584
165,825.0,,542,542,542
166,830.0,477,477,477,499
167,835.0,,477,477,477
168,840.0,477,477,477,476
169,845.0,,474,474,474
170,850.0,471,471,471,450
171,855.0,,404,404,404
172,860.0,336,336,336,359
173,865.0,,336,336,336
174,870.0,336,336,336,336
175,875.0,,336,336,336
176,880.0,336,336,336,319
177,885.0,,284,284,284
178,890.0,232,232,232,249
179,895.0,,232,232,232
180,900.0,232,232,232,232
181,905.0,,232,232,232
182,910.0,232,232,232,213
183,915.0,,176,176,176
184,920.0,119,119,119,138
185,925.0,,119,119,119
186,930.0,119,119,119,119
187,935.0,,118,118,118
188,940.0,117,117,117,98
189,945.0,,59,59,59
190,950.0,0,0,0,20
191,955.0,,0,0,0
192,960.0,0,0,0,0
193,965.0,,0,0,0
194,970.0,0,0,0,0
195,975.0,,0,0,0
196,980.0,0,0,0,0
197,985.0,,0,0,0
198,990.0,0,0,0,0
199,995.0,,0,0,0
200,1000.0,0,0,0,0
201,1005.0,,0,0,0
202,1010.0,0,0,0,0
203,1015.0,,0,0,0
204,1020.0,0,0,0,0
205,1025.0,,0,0,0
206,1030.0,0,0,0,0
207,1035.0,,0,0,0
208,1040.0,0,0,0,0
209,1045.0,,0,0,0
210,1050.0,0,0,0,0
211,1055.0,,0,0,0
212,1060.0,0,0,0,0
213,1065.0,,0,0,0
214,1070.0,0,0,0,0
215,1075.0,,0,0,0
216,1080.0,0,0,0,0
217,1085.0,,0,0,0
218,1090.0,0,0,0,0
219,1095.0,,0,0,0
220,1100.0,0,0,0,0
221,1105.0,,0,0,0
222,1110.0,0,0,0,0
223,1115.0,,0,0,0
224,1120.0,0,0,0,0
225,1125.0,,0,0,0
226,1130.0,0,0,0,0
227,1135.0,,0,0,0
228,1140.0,0,0,0,0
229,1145.0,,0,0,0
230,1150.0,0,0,0,0
231,1155.0,,0,0,0
232,1160.0,0,0,0,0
233,1165.0,,0,0,0
234,1170.0,0,0,0,0
235,1175.0,,0,0,0
236,1180.0,0,0,0,0
237,1185.0,,0,0,0
238,1190.0,0,0,0,0
239,1195.0,,0,0,0
240,1200.0,0,0,0,0
241,1205.0,,0,0,0
242,1210.0,0,0,0,0
243,1215.0,,0,0,0
244,1220.0,0,0,0,0
245,1225.0,,0,0,0
246,1230.0,0,0,0,0
247,1235.0,,0,0,0
248,1240.0,0,0,0,0
249,1245.0,,0,0,0
250,1250.0,0,0,0,0
251,1255.0,,0,0,0
252,1260.0,0,0,0,0
253,1265.0,,0,0,0
254,1270.0,0,0,0,0
255,1275.0,,0,0,0
