path,name,bytes,zones,dim_source,samples,min,max,levels,flagged,ambiguous,status,sha256_16,note
C:\Program Files (x86)\Battlezone\addon\custom_maps\argusdrg_Argus\argusdrg.HGT,argusdrg.HGT,294912,3x3,trn,147456,0,975,929,137189,0,parsed,52510939b0a1d34c,
C:\Program Files (x86)\Battlezone\addon\custom_maps\baseraid\baseraid.HGT,baseraid.HGT,32768,1x1,trn,16384,0,2568,1168,7713,0,parsed,6b6b7e326ce8e89a,
C:\Program Files (x86)\Battlezone\addon\custom_maps\biometal\biometal.HGT,biometal.HGT,294912,3x3,trn,147456,0,3060,2749,129871,0,parsed,ee4d8aa7de902f1b,
C:\Program Files (x86)\Battlezone\addon\custom_maps\blockade\blockade.HGT,blockade.HGT,294912,3x3,trn,147456,0,2732,2672,80956,0,parsed,fc74a805d22a1b28,
C:\Program Files (x86)\GOG Galaxy\Games\Battlezone 98 Redux\addon\CCA Fun\ccafun01.hgt,ccafun01.hgt,524288,4x4,trn,262144,33,2713,2502,155249,0,parsed,f14cfecc206c82ae,
C:\Program Files (x86)\Battlezone\addon\custom_maps\clausmpi_ClaustrophobiaMPI\clausmpi.HGT,clausmpi.HGT,131072,2x2,trn,65536,0,2295,256,38830,0,parsed,d3c09a919d61f825,
C:\Program Files (x86)\Battlezone\stockfiles\demo01.hgt,demo01.hgt,524288,4x4,trn,262144,0,3950,3100,228602,0,parsed,1b1e5d137c55df2b,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\stock\demo01.hgt,demo01.hgt,524288,4x4,trn,262144,0,3950,3100,228602,0,parsed,1b1e5d137c55df2b,
C:\Program Files (x86)\Battlezone\addon\custom_maps\Dethcrcl_DeathCircle\Dethcrcl.hgt,Dethcrcl.hgt,32768,1x1,trn,16384,1152,2295,103,15639,0,parsed,c4f24f079630929a,
C:\Program Files (x86)\Battlezone\addon\custom_maps\dhr_ma_0_ScrapCrater\dhr_ma_0.hgt,dhr_ma_0.hgt,32768,1x1,trn,16384,0,1532,15,15414,0,parsed,2421d0ade113bf6b,
C:\Program Files (x86)\Battlezone\addon\custom_maps\earth\earth.hgt,earth.hgt,131072,2x2,trn,65536,734,2160,915,49458,0,parsed,43abd379216cc48e,
C:\Program Files (x86)\Battlezone\addon\custom_maps\flynsolo_FlyingSolo\flynsolo.hgt,flynsolo.hgt,524288,4x4,trn,262144,0,1951,1422,229146,0,parsed,fdc5442e9ee008a9,
C:\Program Files (x86)\Battlezone\addon\custom_maps\foothils_Foothills\foothils.HGT,foothils.HGT,131072,2x2,trn,65536,0,1300,1115,50689,0,parsed,0e54f0cb1bf68777,
C:\Program Files (x86)\Battlezone\addon\custom_maps\fstormcl_FirestormClassic\fstormcl.hgt,fstormcl.hgt,294912,3x3,trn,147456,0,2286,675,110849,0,parsed,b56751a549d41083,
C:\Program Files (x86)\Battlezone\addon\custom_maps\golemmpi_GolemSim\golemmpi.HGT,golemmpi.HGT,294912,3x3,trn,147456,0,3060,2749,129871,0,parsed,ee4d8aa7de902f1b,
C:\Program Files (x86)\Battlezone\addon\custom_maps\grntftrm_GrandTheftRam\grntftrm.HGT,grntftrm.HGT,131072,2x2,trn,65536,0,1898,931,59103,0,parsed,8075ba214e99fb5e,
C:\Program Files (x86)\Battlezone\addon\custom_maps\The Rude Sandstorm\gtstrmpi.hgt,gtstrmpi.hgt,131072,2x2,trn,65536,119,4095,2978,51513,0,parsed,44ee000efe0b7c4c,
C:\Program Files (x86)\Battlezone\addon\custom_maps\highland_HighlandSiege\highland.HGT,highland.HGT,131072,2x2,trn,65536,0,1222,1073,30041,0,parsed,9ce4d1e355da303a,
C:\Program Files (x86)\Battlezone\addon\custom_maps\hillowar_HillsOfWar\hillowar.HGT,hillowar.HGT,294912,3x3,trn,147456,0,3009,2682,98772,0,parsed,9755d05071c10dae,
C:\Program Files (x86)\Battlezone\addon\custom_maps\hillside_Hillsides\hillside.hgt,hillside.hgt,131072,2x2,trn,65536,0,594,199,59758,0,parsed,ddd049dd9e7a87b4,
C:\Program Files (x86)\Battlezone\addon\custom_maps\HiMidLo\himidlo.hgt,himidlo.hgt,131072,2x2,trn,65536,1416,4095,541,49410,0,parsed,15955aff58092122,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\addon\bz deluxe (old 2011 bz files)\ianmsn01.HGT,ianmsn01.HGT,294912,3x3,trn,147456,0,2115,1279,137572,0,parsed,6ad78f8bc2901809,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\addon\bz deluxe (old 2011 bz files)\ianmsn02.HGT,ianmsn02.HGT,32768,1x1,trn,16384,0,1653,1385,14340,0,parsed,682dc30dc291faf3,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\addon\bz deluxe (old 2011 bz files)\ianmsn03.HGT,ianmsn03.HGT,131072,2x2,trn,65536,0,939,860,45883,0,parsed,1f9ccfbc39caeb12,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\addon\bz deluxe (old 2011 bz files)\ianmsn04.HGT,ianmsn04.HGT,131072,2x2,trn,65536,0,939,860,46038,0,parsed,3dfc783d732c7a74,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\addon\bz deluxe (old 2011 bz files)\ianmsn05.HGT,ianmsn05.HGT,524288,4x4,trn,262144,0,2093,1362,245569,0,parsed,243422eb269f4577,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\addon\bz deluxe (old 2011 bz files)\ianmsn06.HGT,ianmsn06.HGT,294912,3x3,trn,147456,0,4031,2816,146293,0,parsed,adf4389e46efb387,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\addon\bz deluxe (old 2011 bz files)\ianmsn07.HGT,ianmsn07.HGT,294912,3x3,trn,147456,0,1186,1018,139728,0,parsed,98c0dc6a8c8a2201,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\addon\bz deluxe (old 2011 bz files)\ianmsn08.hgt,ianmsn08.hgt,524288,4x4,trn,262144,0,1484,1378,230838,0,parsed,c20570dae8c516b9,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\addon\bz deluxe (old 2011 bz files)\ianmsn09.HGT,ianmsn09.HGT,32768,1x1,trn,16384,0,705,563,14521,0,parsed,b05551793ce566d4,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\addon\bz deluxe (old 2011 bz files)\ianmsn10.HGT,ianmsn10.HGT,294912,3x3,trn,147456,0,2194,1677,137840,0,parsed,ec1e21719916653d,
