map,zones,map_version,classification,src_levels,levels_shipped,levels_ours,levels_smoothed,shipped_vs_smoothed_ndiff,shipped_vs_smoothed_max,shipped_vs_smoothed_rmse,shipped_vs_ours_ndiff,shipped_vs_ours_max,shipped_vs_ours_rmse,shipped_vs_ours_halfup_max,vertices_exact,shipped_flagged_samples,src_flagged_samples,status,note
demo01,4x4,10,shipped-smoothed-cook,3100,3457,3363,3453,133838,1,0.3573,481552,646,12.917,646,1,0,228602,ok,
inst01,4x4,10,shipped-smoothed-cook,1325,1576,1564,1580,12295,1,0.1083,78309,214,7.521,214,1,0,252660,ok,
misn01,2x2,10,shipped-smoothed-cook,1319,1410,1424,1408,30922,1,0.3435,120719,290,5.4533,290,1,0,53972,ok,
misn02,3x3,10,shipped-smoothed-cook,742,842,806,850,15020,1,0.1596,62164,333,8.2552,333,1,0,140735,ok,
misn02b,3x3,11,hand-modified,731,761,771,776,21863,999,107.3174,67745,999,108.3978,999,1,580380,140817,ok,
misn03,2x2,10,shipped-smoothed-cook,860,920,925,918,41618,1,0.3984,174861,62,4.5145,62,1,0,46015,ok,
misn04,4x3,10,shipped-smoothed-cook,2196,2371,2391,2370,126768,1,0.4015,610481,414,11.9601,414,1,0,117622,ok,
misn05,3x3,10,shipped-smoothed-cook,2199,2326,2324,2321,97063,1,0.4057,364166,419,8.1637,419,1,0,121186,ok,
misn06,4x4,10,shipped-smoothed-cook,1797,1986,2012,1985,90297,1,0.2935,393443,493,17.7177,493,1,0,212145,ok,
misn07,4x4,10,shipped-smoothed-cook,1606,1721,1723,1717,116710,1,0.3336,531756,284,5.5807,284,1,0,180082,ok,
misn08,4x4,10,shipped-smoothed-cook,2132,2336,2348,2334,61281,1,0.2417,277645,147,5.5568,147,1,0,216202,ok,
misn09,4x4,10,shipped-smoothed-cook,2008,2092,2097,2088,74654,1,0.2668,343662,259,7.4545,259,1,0,203222,ok,
misn10,4x4,10,shipped-smoothed-cook,1187,1324,1326,1323,78308,1,0.2733,273813,173,5.2103,173,1,0,240981,ok,
misn11,4x4,10,shipped-smoothed-cook,1294,1524,1538,1523,108496,1,0.3217,278971,145,3.4622,145,1,0,249210,ok,
misn12,4x4,10,shipped-smoothed-cook,1353,1422,1413,1422,21462,1,0.1431,165005,460,16.794,460,1,0,230447,ok,
misn13,4x4,10,shipped-smoothed-cook,1361,1422,1414,1422,22629,1,0.1469,160964,433,16.2272,433,1,0,231762,ok,
misn14,4x4,10,shipped-smoothed-cook,895,1198,1044,1196,14591,1,0.118,63720,767,7.4365,767,1,0,255009,ok,
misn15,4x4,10,shipped-smoothed-cook,567,738,740,738,11231,1,0.1035,55907,172,2.3446,172,1,0,256146,ok,
misn15b,4x4,10,shipped-smoothed-cook,1142,1320,1318,1324,33782,1,0.1795,134663,354,9.6519,354,1,0,249526,ok,
misn16,4x4,10,shipped-smoothed-cook,809,877,893,883,18757,1,0.1337,76163,120,3.7924,120,1,0,254460,ok,
misn16b,4x4,10,shipped-smoothed-cook,769,857,835,858,15269,1,0.1207,66265,334,3.7266,334,1,0,253977,ok,
misn17,4x4,10,shipped-smoothed-cook,3099,3457,3363,3453,134185,1,0.3577,480887,646,12.9085,646,1,0,229038,ok,
misn18,2x4,10,shipped-smoothed-cook,3938,4091,4085,4087,95782,1,0.4274,417614,189,3.9456,189,1,0,91597,ok,
misns1,4x4,10,shipped-smoothed-cook,4036,4038,4040,4038,158506,1,0.3888,596593,357,5.0345,357,1,0,215035,ok,
misns2,4x4,10,shipped-smoothed-cook,2502,2595,2611,2598,193328,1,0.4294,815994,115,5.5156,115,1,0,155133,ok,
misns3,4x4,10,shipped-smoothed-cook,1664,1769,1776,1767,64541,1,0.2481,204609,180,2.1426,180,1,0,248905,ok,
misns4,4x4,10,shipped-smoothed-cook,946,1192,1199,1182,7198,1,0.0829,35894,123,3.1149,123,1,0,257451,ok,
misns5,4x4,10,shipped-smoothed-cook,756,959,955,957,5453,1,0.0721,21114,405,3.8336,405,1,0,259541,ok,
