path,name,bytes,zones,dim_source,samples,min,max,levels,flagged,ambiguous,status,output,sha256_16,note
C:\Program Files (x86)\Battlezone\stockfiles\demo01.hgt,demo01.hgt,524288,4x4,trn,262144,0,3950,3100,228602,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\demo01.hg2,6dc7d4e423ae0d37,
C:\Program Files (x86)\Battlezone\stockfiles\inst01.hgt,inst01.hgt,524288,4x4,trn-dir,262144,0,1836,1325,252660,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\inst01.hg2,3a9682e448fae776,
C:\Program Files (x86)\Battlezone\stockfiles\misn01.hgt,misn01.hgt,131072,2x2,trn-dir,65536,0,1467,1319,53972,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\misn01.hg2,35bb7729098e987a,
C:\Program Files (x86)\Battlezone\stockfiles\misn02.hgt,misn02.hgt,294912,3x3,trn-dir,147456,0,1422,742,140735,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\misn02.hg2,be2c19b4c5cd2daf,
C:\Program Files (x86)\Battlezone\stockfiles\misn02b.hgt,misn02b.hgt,294912,3x3,trn-dir,147456,0,1422,731,140817,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\misn02b.hg2,b3fbba699f7ba5d2,
C:\Program Files (x86)\Battlezone\stockfiles\misn03.hgt,misn03.hgt,131072,2x2,trn-dir,65536,0,939,860,46015,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\misn03.hg2,6f2bec6323cfb655,
C:\Program Files (x86)\Battlezone\stockfiles\misn04.hgt,misn04.hgt,393216,4x3,trn-dir,196608,0,2667,2196,117622,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\misn04.hg2,d4e4da4c775d8d60,
C:\Program Files (x86)\Battlezone\stockfiles\misn05.hgt,misn05.hgt,294912,3x3,trn-dir,147456,0,2396,2199,121186,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\misn05.hg2,79e99ada0ac5cd37,
C:\Program Files (x86)\Battlezone\stockfiles\misn06.hgt,misn06.hgt,524288,4x4,trn-dir,262144,0,2101,1797,212145,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\misn06.hg2,4bf07e497fcb043b,
C:\Program Files (x86)\Battlezone\stockfiles\misn07.hgt,misn07.hgt,524288,4x4,trn-dir,262144,9,1824,1606,180082,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\misn07.hg2,16639b38e8ca6351,
