"run_id","renderer","unit_odf","scenario","count","distance","orientation","samples","fps","frame_mean_ms","frame_p95_ms","frame_p99_ms","frame_max_ms","anim_calls_per_frame","anim_render_driven_percent","anim_external_per_frame","anim_cpu_ms_per_frame","nonblend_cpu_ms_per_frame","skin_calls_per_frame","skin_vertices_per_frame","skin_cpu_ms_per_frame","duplicate_anim_per_frame","duplicate_skin_per_frame","matrix_avg","matrix_max","render_queue_calls_per_frame","duplicate_render_queue_per_frame","unique_animated_entities","unique_skinned_entities","unique_rendered_entities","ogre_submissions_per_frame","ogre_submission_cpu_ms_per_frame","draw_calls_per_frame","indexed_draw_calls_per_frame","instanced_draw_calls_per_frame","indexed_instanced_draw_calls_per_frame","context_vtable_refreshes","no_draw_submissions_per_frame","empty_vertex_submissions_per_frame","zero_prim_submissions_per_frame","multi_draw_submissions_per_frame","unobserved_submissions_per_frame","contributor_coverage_percent","d3d9_render_state_per_frame","d3d9_blend_state_per_frame","d3d9_texture_per_frame","d3d9_texture_stage_per_frame","d3d9_sampler_per_frame","d3d9_vertex_shader_per_frame","d3d9_pixel_shader_per_frame","skin_source_queries","skin_source_repairs","skin_source_bytes","skin_source_failures","dynamic_batches","dynamic_materials","dynamic_vertices","dynamic_cpu_ms_per_frame","scene_renders_per_frame","shadow_scene_renders_per_frame","main_render_queue_per_frame","shadow_render_queue_per_frame","main_animation_calls_per_frame","shadow_animation_calls_per_frame","main_skin_calls_per_frame","shadow_skin_calls_per_frame"
"dx11_avtank_fourteam_080_400_facing","DX11","avtank","fourteam","80","400","facing","10","265.79","3.7660000000000005","4.225","4.6","4.9350000000000005","404.90999999999997","100","0","0.1196","0.0774","6","14659.3","0.04229999999999999","323.9470952070425","0","3","7","464.91999999999996","354.0397495300706","82","2","112","1290.8200000000002","0.457","4","1286.31","0","0","406.9","0.19999999999999998","0","0","0","0.29999999999999993","99.97999999999999",,,,,,,,"0","0","0","0","11","6","10580","0.017999999999999995","8.998999999999999","2.999","222.00300000000001","242.921","162.002","242.921","3","2.999"
"dx11_avtank_fourteam_fire_080_100_facing","DX11","avtank","fourteam_fire","80","100","facing","10","73.97","13.806000000000001","15.65","16.35","16.215","385.51000000000005","100","0","0.7574","0.15519999999999998","90.14","220288.2","0.6024","303.85962285736025","0","3","7","604.64","415.42646004875303","82","30","431.4","1516.29","0.6293","4","1511.6800000000003","0","0","120.6","0.26999999999999996","0","0","0","0.35","100.01",,,,,,,,"0","0","0","0","81.45","17.849999999999998","39159.3","0.29899999999999993","9.007","3.005","348.53499999999997","256.10699999999997","142.12","243.397","3.005","87.141"
"dx11_avtank_fourteam_fire_080_200_facing","DX11","avtank","fourteam_fire","80","200","facing","10","79.14","12.939000000000002","14.1","14.95","14.918000000000001","404.66999999999996","100","0","0.1286","0.08549999999999999","5.99","14647.1","0.043099999999999986","323.794515538591","0","3","7","666.53","439.04500225612657","82","2","470.2","1604.54","0.6212","4","1599.8899999999999","0","0","131.4","0.27999999999999997","0","0","0","0.35999999999999993","99.99",,,,,,,,"0","0","0","0","65.28","15.74","38243.4","0.3186","8.996","2.9970000000000003","423.764","242.747","161.921","242.747","2.997","2.9970000000000003"
"dx11_avtank_fourteam_fire_080_400_facing","DX11","avtank","fourteam_fire","80","400","facing","10","105.75","9.61","10.6","11.775","11.944000000000003","404.83","100","0","0.12940000000000002","0.08539999999999998","6","14657.3","0.04389999999999999","323.868697544881","0","3","7","822.6299999999999","503.45028397479365","82","2","560.4","1690.3200000000002","0.5949","4","1685.7","0","0","176.8","0.27","0","0","0","0.41","100.01",,,,,,,,"0","0","0","0","32","11","25159.2","0.14179999999999998","8.998999999999999","2.999","579.6610000000001","242.97000000000003","161.86700000000002","242.97000000000003","2.998","3.0010000000000003"
"dx11_avtank_fourteam_fire_080_400_facing_iso-glow","DX11","avtank","fourteam_fire","80","400","facing","10","115.87","8.793","9.575","10.675","10.691","405.28","100","0","0.12409999999999999","0.08179999999999998","6","14674.8","0.042399999999999986","324.25859816354114","0","3","7","822.4200000000001","505.29369512320363","82","2","551.4","1218.7999999999997","0.4255","4","1214.32","0","0","172.3","0.20999999999999996","0","0","0","0.25000000000000006","100",,,,,,,,"0","0","0","0","31.669999999999998","11","25128.6","0.1399","9.004","3.002","579.2069999999999","243.21300000000002","162.064","243.21300000000002","3.002","3.002"
"dx11_avtank_fourteam_fire_080_400_facing_iso-shadow","DX11","avtank","fourteam_fire","80","400","facing","10","116.10999999999999","8.793000000000001","9.7","10.725","11.023","405.07000000000005","100","0","0.1232","0.08059999999999999","6.01","14665.4","0.04259999999999999","324.0837910101253","0","3","7","822.3500000000001","505.1199761221454","82","2","557.2","960.8299999999999","0.3576","4","956.4399999999998","0","0","162.9","0.12","0","0","0","0.27","100",,,,,,,,"0","0","0","0","31.82","11","25107.9","0.1407","9","3","579.285","243.046","162.021","243.046","3.0010000000000003","3"
"dx11_avtank_fourteam_fire_080_400_facing_iso-glow-shadow","DX11","avtank","fourteam_fire","80","400","facing","10","124.21999999999998","8.238","9.175","10.15","10.283","405.3","100","0","0.12179999999999999","0.07999999999999999","6.01","14675.9","0.0418","324.24523344599834","0","3","7","822.5000000000002","504.4160391403276","82","2","546.1","489.57","0.2136","4","485.37000000000006","0","0","151.4","0.09999999999999999","0","0","0","0.09999999999999999","100.02000000000001",,,,,,,,"0","0","0","0","31.74","11","25139.5","0.13999999999999999","9.003","3.003","579.2560000000001","243.231","162.079","243.231","3.003","3.002"
"dx11_avtank_fourteam_fire_080_800_facing","DX11","avtank","fourteam_fire","80","800","facing","10","77.74","13.241999999999999","14.375","15.25","15.155000000000001","404.78000000000003","100","0","0.1266","0.08299999999999999","6","14652.7","0.04379999999999999","323.91783351143874","0","3","7","661.3","435.6319426169649","82","2","465.2","1521.43","0.5615","3.9899999999999998","1516.85","0","0","125.4","0.25999999999999995","0","0","0","0.35","99.97999999999999",,,,,,,,"0","0","0","0","26.25","12.38","33688.8","0.18900000000000003","8.996","2.998","418.488","242.80199999999996","161.989","242.80199999999996","3","2.9970000000000003"
"dx9_avtank_fourteam_080_400_facing","DX9","avtank","fourteam","80","400","facing","10","247.35999999999999","4.055000000000001","4.675","5.4","26.774000000000008","405.02","100","0","0.1364","0.07929999999999998","6","14663.3","0.05700000000000001","324.5353926661772","0","3","7","465.14444444444445","319.44389151120777","82","2","112","1291.3666666666668","0.5624444444444445","4","1287.3666666666668","0","0","0","0","0","0","0","0","100.00999999999999","94.02","16","143","38","38","48.989999999999995","48.989999999999995","0","0","0","0","11","6","10580","0.06666666666666668","9.003333333333332","3.001111111111111","222.02555555555557","243.12000000000003","162.0088888888889","243.12000000000003","3.001111111111111","3.001111111111111"
"dx9_avtank_fourteam_fire_080_400_facing","DX9","avtank","fourteam_fire","80","400","facing","10","102.67999999999999","9.892","11.25","12.375","14.166","404.7","100","0","0.15189999999999998","0.09329999999999998","6","14648.4","0.058800000000000005","323.82248670698266","0","3","7","823.45","506.3998813505297","82","2","559.6","1691","0.6910999999999999","4","1687","0","0","0","0","0","0","0","0","100","114.43999999999998","30.490000000000002","190.00000000000003","37.989999999999995","68.08000000000001","93.09","93.09","0","0","0","0","32.059999999999995","11","25094.2","0.23559999999999998","8.997","2.998","580.693","242.77399999999997","161.92199999999997","242.77399999999997","2.998","2.998"
