"run_id","renderer","unit_odf","scenario","count","distance","orientation","type","owner_sample","mesh","material","technique","scheme","lod","pass","camera","samples","rank_mean","main_per_frame","shadow_per_frame","render_calls_per_frame","ogre_submissions_per_frame","operation_vertices_per_frame","operation_indices_per_frame","draw_per_frame","indexed_draw_per_frame","drawn_vertices_per_frame","drawn_indices_per_frame","no_draw_per_frame","empty_vertex_per_frame","zero_prim_per_frame","unobserved_per_frame","cpu_ms_per_frame"
"dx11_avtank_fourteam_080_400_facing","DX11","avtank","fourteam","80","400","facing",".?AVSubEntity@Ogre@@","Ogre/MO1","avtank.mesh","Ogre/DepthShadowmap/Caster/Float","<unnamed>","Default","0","0/0","Ogre/ShadowTexture0Cam","10","1.6","0","242.91","242.91","242.91","593592.6","2304007.6","0","242.81000000000003","0","2303164","0","0","0","0.06","0.2133"
"dx11_avtank_fourteam_080_400_facing","DX11","avtank","fourteam","80","400","facing",".?AVSubEntity@Ogre@@","Ogre/MO1","avtank.mesh","Ogre/DepthShadowmap/Caster/Float","<unnamed>","Default","0","0/0","Ogre/ShadowTexture1Cam","10","1.8","0","242.91","242.91","242.91","593590.4","2303998.8","0","242.81000000000003","0","2303165.7","0.030000000000000006","0","0","0.030000000000000006","0.19280000000000003"
"dx11_avtank_fourteam_080_400_facing","DX11","avtank","fourteam","80","400","facing",".?AVSubEntity@Ogre@@","Ogre/MO1","avtank.mesh","Ogre/DepthShadowmap/Caster/Float","<unnamed>","Default","0","0/0","Ogre/ShadowTexture2Cam","10","2.6","0","242.91","242.91","242.91","593593.7","2304011.7","0","242.81000000000003","0","2303168.8","0.01","0","0","0.05","0.1892"
"dx11_avtank_fourteam_080_400_facing","DX11","avtank","fourteam","80","400","facing",".?AVSubEntity@Ogre@@","Ogre/MO3","avtank.mesh","avtank01","<unnamed>","glow","0","0/0","PlayerCam","10","6.9","81","0","81","81","9396.1","16524.1","0","81","0","16517","0","0","0","0","0.07909999999999999"
"dx11_avtank_fourteam_080_400_facing","DX11","avtank","fourteam","80","400","facing",".?AVSubEntity@Ogre@@","Ogre/MO3","avtank.mesh","avtank00","<unnamed>","glow","0","0/0","PlayerCam","10","5.9","81","0","81","81","572026.9","2241694.4","0","81","0","2240770.7","0","0","0","0","0.0797"
"dx11_avtank_fourteam_080_400_facing","DX11","avtank","fourteam","80","400","facing",".?AVSubEntity@Ogre@@","Ogre/MO3","avtank.mesh","avtank01","<unnamed>","high-pssm","0","0/0","PlayerCam","10","4.3","81","0","81","81","9396.1","16524","0","81","0","16516.8","0","0","0","0","0.2444"
"dx11_avtank_fourteam_080_400_facing","DX11","avtank","fourteam","80","400","facing",".?AVSubEntity@Ogre@@","Ogre/MO3","avtank.mesh","avheadlight00","<unnamed>","glow","0","0/0","PlayerCam","10","4.9","81","0","81","81","12393","46656.4","0","81","0","46635.8","0","0","0","0","0.08449999999999999"
"dx11_avtank_fourteam_080_400_facing","DX11","avtank","fourteam","80","400","facing",".?AVSubEntity@Ogre@@","Ogre/MO82","avtank.mesh","avtank00","<unnamed>","high-pssm","2","0/0","PlayerCam","10","8.9","80","0","80","80","564964.5","2214018","0","79.99","0","2213104.5","0","0","0","0","0.1058"
"dx11_avtank_fourteam_080_400_facing","DX11","avtank","fourteam","80","400","facing",".?AVSubEntity@Ogre@@","Ogre/MO82","avtank.mesh","avheadlight00","<unnamed>","high-pssm","2","0/0","PlayerCam","10","8.1","80","0","80","80","12240.1","46080.3","0","80","0","46060.9","0","0","0","0","0.2944"
"dx11_avtank_fourteam_080_400_facing","DX11","avtank","fourteam","80","400","facing",".?AVDynamicGeometryBatch@@","<none>","<none>","HUDcomba","0","Default","0","0/0","PlayerCam","10","10","3","0","3","3","36","54","0","3","0","54","0","0","0","0","0.007000000000000001"
