arm,repeat,run_id,scenario,count,renderer,isolate,present_mode,present_mode_purity,frames,span_s,mean_ms,median_ms,p95_ms,p99_ms,gpu_ms,dropped,path
phase2_scaling,,dx11_avtank_fourteam_020_400_facing,fourteam,20,DX11,none,Hardware: Independent Flip,1.0,6687,14.784026500000001,2.2111786301779572,2.0844,2.5194,2.8794,2.0366026170180946,0,reverse_engineering/snapshots/phase2_scaling\r1\20260823_144057\dx11_avtank_fourteam_020_400_facing\presentmon.csv
phase2_scaling,,dx11_avtank_fourteam_040_400_facing,fourteam,40,DX11,none,Hardware: Independent Flip,1.0,6559,14.9687508,2.2825532093306906,2.2311,2.5787,2.8515,2.010599252934899,0,reverse_engineering/snapshots/phase2_scaling\r1\20260823_144057\dx11_avtank_fourteam_040_400_facing\presentmon.csv
phase2_scaling,,dx11_avtank_fourteam_ai_020_400_facing,fourteam_ai,20,DX11,none,Hardware: Independent Flip,1.0,3727,14.8764292,3.9923480279044807,3.172,6.4616,7.5479,1.8407101690367589,0,reverse_engineering/snapshots/phase2_scaling\r1\20260823_144057\dx11_avtank_fourteam_ai_020_400_facing\presentmon.csv
phase2_scaling,,dx11_avtank_fourteam_ai_040_400_facing,fourteam_ai,40,DX11,none,Hardware: Independent Flip,1.0,2895,14.8458605,5.130388428324697,4.8149,7.4335,8.2776,2.000464352331606,0,reverse_engineering/snapshots/phase2_scaling\r1\20260823_144057\dx11_avtank_fourteam_ai_040_400_facing\presentmon.csv
phase2_scaling,,dx11_avtank_fourteam_fire_020_400_facing,fourteam_fire,20,DX11,none,Hardware: Independent Flip,1.0,5846,14.9163962,2.5520266164899077,2.4154,2.8979,3.4089,1.8234762572699281,0,reverse_engineering/snapshots/phase2_scaling\r1\20260823_144057\dx11_avtank_fourteam_fire_020_400_facing\presentmon.csv
phase2_scaling,,dx11_avtank_fourteam_fire_040_400_facing,fourteam_fire,40,DX11,none,Hardware: Independent Flip,1.0,4559,15.0541771,3.3029727571835927,3.2606,3.7279,3.9984,1.8119862689186226,0,reverse_engineering/snapshots/phase2_scaling\r1\20260823_144057\dx11_avtank_fourteam_fire_040_400_facing\presentmon.csv
phase2_scaling,,dx11_avtank_fourteam_020_400_facing,fourteam,20,DX11,none,Hardware: Independent Flip,1.0,6669,14.7797912,2.2165292697555854,2.0999,2.5086,2.7205,2.0506144549407708,0,reverse_engineering/snapshots/phase2_scaling\r2\20260823_144420\dx11_avtank_fourteam_020_400_facing\presentmon.csv
phase2_scaling,,dx11_avtank_fourteam_040_400_facing,fourteam,40,DX11,none,Hardware: Independent Flip,1.0,6180,14.8505231,2.4034238187702264,2.27515,2.6214,2.8535,2.0100898867313917,0,reverse_engineering/snapshots/phase2_scaling\r2\20260823_144420\dx11_avtank_fourteam_040_400_facing\presentmon.csv
phase2_scaling,,dx11_avtank_fourteam_ai_020_400_facing,fourteam_ai,20,DX11,none,Hardware: Independent Flip,1.0,3521,14.7569378,4.191991735302471,3.4114,6.7975,7.6497,1.8993842374325476,0,reverse_engineering/snapshots/phase2_scaling\r2\20260823_144420\dx11_avtank_fourteam_ai_020_400_facing\presentmon.csv
phase2_scaling,,dx11_avtank_fourteam_ai_040_400_facing,fourteam_ai,40,DX11,none,Hardware: Independent Flip,1.0,2852,14.812205,5.195325701262272,4.39835,10.2102,13.6617,1.9951526998597475,0,reverse_engineering/snapshots/phase2_scaling\r2\20260823_144420\dx11_avtank_fourteam_ai_040_400_facing\presentmon.csv
phase2_scaling,,dx11_avtank_fourteam_fire_020_400_facing,fourteam_fire,20,DX11,none,Hardware: Independent Flip,1.0,5923,14.7130962,2.4846432888738814,2.384,2.7497,3.033,1.8203562552760426,0,reverse_engineering/snapshots/phase2_scaling\r2\20260823_144420\dx11_avtank_fourteam_fire_020_400_facing\presentmon.csv
phase2_scaling,,dx11_avtank_fourteam_fire_040_400_facing,fourteam_fire,40,DX11,none,Hardware: Independent Flip,1.0,4632,15.0928913,3.2592148747841105,3.2143,3.687,4.1015,1.8208871113989638,0,reverse_engineering/snapshots/phase2_scaling\r2\20260823_144420\dx11_avtank_fourteam_fire_040_400_facing\presentmon.csv
