arm,repeat,run_id,scenario,count,renderer,isolate,present_mode,present_mode_purity,frames,span_s,mean_ms,median_ms,p95_ms,p99_ms,gpu_ms,dropped,path
phase2_scenarios,,dx11_avtank_fourteam_080_400_facing,fourteam,80,DX11,none,Hardware: Independent Flip,1.0,4308,15.0906547,3.503897957288765,3.45735,3.9698,4.5281,1.847542618384401,0,reverse_engineering/snapshots/phase2_scenarios\r1\20260823_143336\dx11_avtank_fourteam_080_400_facing\presentmon.csv
phase2_scenarios,,dx11_avtank_fourteam_ai_080_400_facing,fourteam_ai,80,DX11,none,Hardware: Independent Flip,1.0,2013,14.8566687,7.383713760556383,6.6716,9.8548,11.2054,2.1179267262791854,0,reverse_engineering/snapshots/phase2_scenarios\r1\20260823_143336\dx11_avtank_fourteam_ai_080_400_facing\presentmon.csv
phase2_scenarios,,dx11_avtank_fourteam_fire_080_400_facing,fourteam_fire,80,DX11,none,Hardware: Independent Flip,1.0,2688,14.7686354,5.496412351190476,5.37945,6.439,7.1718,2.012591480654762,0,reverse_engineering/snapshots/phase2_scenarios\r1\20260823_143336\dx11_avtank_fourteam_fire_080_400_facing\presentmon.csv
phase2_scenarios,,dx11_avtank_fourteam_move_080_400_facing,fourteam_move,80,DX11,none,Hardware: Independent Flip,1.0,3651,14.9995452,4.109716433853738,4.0612,4.633,5.2159,2.082121117502054,0,reverse_engineering/snapshots/phase2_scenarios\r1\20260823_143336\dx11_avtank_fourteam_move_080_400_facing\presentmon.csv
phase2_scenarios,,dx11_avtank_fourteam_080_400_facing,fourteam,80,DX11,none,Hardware: Independent Flip,1.0,4428,15.0817281,3.4068740514905147,3.3574,3.7363,4.1097,1.8844265356820236,0,reverse_engineering/snapshots/phase2_scenarios\r2\20260823_143553\dx11_avtank_fourteam_080_400_facing\presentmon.csv
phase2_scenarios,,dx11_avtank_fourteam_ai_080_400_facing,fourteam_ai,80,DX11,none,Hardware: Independent Flip,1.0,2054,15.1855487,7.396027409931841,6.9089,9.4046,10.6612,2.1051235150925023,0,reverse_engineering/snapshots/phase2_scenarios\r2\20260823_143553\dx11_avtank_fourteam_ai_080_400_facing\presentmon.csv
phase2_scenarios,,dx11_avtank_fourteam_fire_080_400_facing,fourteam_fire,80,DX11,none,Hardware: Independent Flip,1.0,2817,14.8382522,5.26928569400071,5.2254,5.7761,6.7847,1.9709001064962726,0,reverse_engineering/snapshots/phase2_scenarios\r2\20260823_143553\dx11_avtank_fourteam_fire_080_400_facing\presentmon.csv
phase2_scenarios,,dx11_avtank_fourteam_move_080_400_facing,fourteam_move,80,DX11,none,Hardware: Independent Flip,1.0,3813,14.985818700000001,3.931325177025964,3.8885,4.3049,4.6677,2.108699737739313,0,reverse_engineering/snapshots/phase2_scenarios\r2\20260823_143553\dx11_avtank_fourteam_move_080_400_facing\presentmon.csv
phase2_scenarios,,dx11_avtank_fourteam_080_400_facing,fourteam,80,DX11,none,Hardware: Independent Flip,1.0,4431,14.892978699999999,3.362042541187091,3.2684,3.6392,3.9617,1.8602087564883774,0,reverse_engineering/snapshots/phase2_scenarios\r3\20260823_143809\dx11_avtank_fourteam_080_400_facing\presentmon.csv
phase2_scenarios,,dx11_avtank_fourteam_ai_080_400_facing,fourteam_ai,80,DX11,none,Hardware: Independent Flip,1.0,1381,14.7696825,10.702443374366402,10.3082,13.3499,14.4175,2.305575959449674,0,reverse_engineering/snapshots/phase2_scenarios\r3\20260823_143809\dx11_avtank_fourteam_ai_080_400_facing\presentmon.csv
phase2_scenarios,,dx11_avtank_fourteam_fire_080_400_facing,fourteam_fire,80,DX11,none,Hardware: Independent Flip,1.0,2798,14.840619700000001,5.305910007147963,5.24495,5.7974,6.8134,1.995122158684775,0,reverse_engineering/snapshots/phase2_scenarios\r3\20260823_143809\dx11_avtank_fourteam_fire_080_400_facing\presentmon.csv
phase2_scenarios,,dx11_avtank_fourteam_move_080_400_facing,fourteam_move,80,DX11,none,Hardware: Independent Flip,1.0,3841,15.0685679,3.924241681853684,3.8262,4.4668,5.4762,1.9887279875032544,0,reverse_engineering/snapshots/phase2_scenarios\r3\20260823_143809\dx11_avtank_fourteam_move_080_400_facing\presentmon.csv
