arm,repeat,run_id,scenario,count,renderer,isolate,present_mode,present_mode_purity,frames,span_s,mean_ms,median_ms,p95_ms,p99_ms,drift_ms,gpu_ms,dropped,path
after,1,dx11_avtank_fourteam_080_400_facing,fourteam,80,DX11,none,Hardware: Independent Flip,1.0,4418,15.086197199999999,3.4155383657763694,3.3494,3.7609,4.3084,0.05791475706214655,1.916178700769579,0,reverse_engineering/snapshots/phase2_shim_ab3\after_r1\20260823_142111\dx11_avtank_fourteam_080_400_facing\presentmon.csv
after,1,dx11_avtank_fourteam_fire_080_400_facing,fourteam_fire,80,DX11,none,Hardware: Independent Flip,1.0,2657,14.8382689,5.586729657508468,5.3959,6.756,9.5075,0.31610563363716615,1.993867670304855,0,reverse_engineering/snapshots/phase2_shim_ab3\after_r1\20260823_142111\dx11_avtank_fourteam_fire_080_400_facing\presentmon.csv
after,2,dx11_avtank_fourteam_080_400_facing,fourteam,80,DX11,none,Hardware: Independent Flip,1.0,4295,14.9987277,3.4930106635622815,3.3791,4.0228,5.2835,0.11702876544984209,1.8986294994179278,0,reverse_engineering/snapshots/phase2_shim_ab3\after_r2\20260823_142333\dx11_avtank_fourteam_080_400_facing\presentmon.csv
after,2,dx11_avtank_fourteam_fire_080_400_facing,fourteam_fire,80,DX11,none,Hardware: Independent Flip,1.0,2669,15.061134000000001,5.6453672161858375,5.5196,6.6377,7.9619,0.42070449181078207,2.0798881603596855,0,reverse_engineering/snapshots/phase2_shim_ab3\after_r2\20260823_142333\dx11_avtank_fourteam_fire_080_400_facing\presentmon.csv
after,3,dx11_avtank_fourteam_080_400_facing,fourteam,80,DX11,none,Hardware: Independent Flip,1.0,4426,14.960080600000001,3.3810161545413466,3.3057499999999997,3.7389,4.4055,-0.007721906008668622,1.8605012426570267,0,reverse_engineering/snapshots/phase2_shim_ab3\after_r3\20260823_142554\dx11_avtank_fourteam_080_400_facing\presentmon.csv
after,3,dx11_avtank_fourteam_fire_080_400_facing,fourteam_fire,80,DX11,none,Hardware: Independent Flip,1.0,2753,14.863354300000001,5.400920014529604,5.2826,6.2706,7.4249,0.2839302355335853,1.9425655648383582,0,reverse_engineering/snapshots/phase2_shim_ab3\after_r3\20260823_142554\dx11_avtank_fourteam_fire_080_400_facing\presentmon.csv
after,4,dx11_avtank_fourteam_080_400_facing,fourteam,80,DX11,none,Hardware: Independent Flip,1.0,4453,15.1014329,3.392087648776106,3.3156,3.7567,4.4911,0.024452193458548432,1.8513369189310578,0,reverse_engineering/snapshots/phase2_shim_ab3\after_r4\20260823_142814\dx11_avtank_fourteam_080_400_facing\presentmon.csv
after,4,dx11_avtank_fourteam_fire_080_400_facing,fourteam_fire,80,DX11,none,Hardware: Independent Flip,1.0,2692,15.0777165,5.603036181277861,5.44465,6.6799,8.9935,0.23153602076652913,1.9344572436849925,0,reverse_engineering/snapshots/phase2_shim_ab3\after_r4\20260823_142814\dx11_avtank_fourteam_fire_080_400_facing\presentmon.csv
before,1,dx11_avtank_fourteam_080_400_facing,fourteam,80,DX11,none,Hardware: Independent Flip,1.0,4419,15.0436558,3.405096899751075,3.3308,3.7946,4.5155,0.0875053729326063,1.8321746548992985,0,reverse_engineering/snapshots/phase2_shim_ab3\before_r1\20260823_142001\dx11_avtank_fourteam_080_400_facing\presentmon.csv
before,1,dx11_avtank_fourteam_fire_080_400_facing,fourteam_fire,80,DX11,none,Hardware: Independent Flip,1.0,1380,14.769941600000001,10.708229782608695,10.68375,13.8572,14.817,6.211327457264957,1.9967921739130434,0,reverse_engineering/snapshots/phase2_shim_ab3\before_r1\20260823_142001\dx11_avtank_fourteam_fire_080_400_facing\presentmon.csv
before,2,dx11_avtank_fourteam_080_400_facing,fourteam,80,DX11,none,Hardware: Independent Flip,1.0,4289,14.9440774,3.4851518768943808,3.373,4.0115,5.4813,-0.09996345720720745,1.836636512007461,0,reverse_engineering/snapshots/phase2_shim_ab3\before_r2\20260823_142222\dx11_avtank_fourteam_080_400_facing\presentmon.csv
before,2,dx11_avtank_fourteam_fire_080_400_facing,fourteam_fire,80,DX11,none,Composed: Flip,0.9255852842809364,1196,14.883534299999999,12.45309933110368,12.03865,15.7242,17.8191,6.624359170267933,1.8235620401337793,303,reverse_engineering/snapshots/phase2_shim_ab3\before_r2\20260823_142222\dx11_avtank_fourteam_fire_080_400_facing\presentmon.csv
before,3,dx11_avtank_fourteam_080_400_facing,fourteam,80,DX11,none,Hardware: Independent Flip,1.0,4304,14.746063399999999,3.427005157992565,3.3277,3.8276,4.5817,-0.151406083623693,1.857656342936803,0,reverse_engineering/snapshots/phase2_shim_ab3\before_r3\20260823_142444\dx11_avtank_fourteam_080_400_facing\presentmon.csv
before,3,dx11_avtank_fourteam_fire_080_400_facing,fourteam_fire,80,DX11,none,Hardware: Independent Flip,1.0,1418,14.832315,10.46522136812412,10.180299999999999,13.6743,14.6568,6.208321342674893,1.9499411142454162,0,reverse_engineering/snapshots/phase2_shim_ab3\before_r3\20260823_142444\dx11_avtank_fourteam_fire_080_400_facing\presentmon.csv
before,4,dx11_avtank_fourteam_080_400_facing,fourteam,80,DX11,none,Hardware: Independent Flip,1.0,4330,14.7744058,3.4129559584295612,3.29915,3.7538,4.7044,0.2643585896780789,1.8797347806004618,0,reverse_engineering/snapshots/phase2_shim_ab3\before_r4\20260823_142704\dx11_avtank_fourteam_080_400_facing\presentmon.csv
before,4,dx11_avtank_fourteam_fire_080_400_facing,fourteam_fire,80,DX11,none,Composed: Flip,0.6647727272727273,1232,15.051423699999999,12.223264204545455,12.42925,16.2736,18.1655,8.099683901515151,1.9560743506493508,227,reverse_engineering/snapshots/phase2_shim_ab3\before_r4\20260823_142704\dx11_avtank_fourteam_fire_080_400_facing\presentmon.csv
