label,thread,symbol,inclusive_samples,inclusive_percent,total_samples,window_seconds
fourteam_ai_postfix,12132,battlezone98redux.exe!sub_618270,14649,99.6598,14699,20.0
fourteam_ai_postfix,12132,battlezone98redux.exe!sub_618a40,14649,99.6598,14699,20.0
fourteam_ai_postfix,12132,battlezone98redux.exe!sub_619fc0,14647,99.6462,14699,20.0
fourteam_ai_postfix,12132,battlezone98redux.exe!sub_618ff0,14645,99.6326,14699,20.0
fourteam_ai_postfix,12132,battlezone98redux.exe!sub_618b10,14643,99.619,14699,20.0
fourteam_ai_postfix,12132,battlezone98redux.exe!entry,14637,99.5782,14699,20.0
fourteam_ai_postfix,12132,KERNEL32.DLL!BaseThreadInitThunk+0x19,14632,99.5442,14699,20.0
fourteam_ai_postfix,12132,ntdll.dll!___RtlUserThreadStart@8+0x2b,14627,99.5102,14699,20.0
fourteam_ai_postfix,12132,battlezone98redux.exe!sub_618130,14625,99.4966,14699,20.0
fourteam_ai_postfix,12132,ntdll.dll!__RtlUserThreadStart@8+0x1b,14610,99.3945,14699,20.0
fourteam_ai_postfix,12132,OgreMain.dll!?renderOneFrame@Root@Ogre@@QAE_NXZ+0x17,7313,49.7517,14699,20.0
fourteam_ai_postfix,12132,RenderSystem_Direct3D11.dll!?_updateAllRenderTargets@D3D11RenderSystem@Ogre@@UAEX_N@Z+0x3e,7018,47.7447,14699,20.0
fourteam_ai_postfix,12132,OgreMain.dll!?_updateAllRenderTargets@RenderSystem@Ogre@@UAEX_N@Z+0x3d,7017,47.7379,14699,20.0
fourteam_ai_postfix,12132,OgreMain.dll!?_updateAllRenderTargets@Root@Ogre@@QAE_NXZ+0x17,7017,47.7379,14699,20.0
fourteam_ai_postfix,12132,OgreMain.dll!?updateImpl@RenderTarget@Ogre@@MAEXXZ+0x17,6988,47.5406,14699,20.0
fourteam_ai_postfix,12132,OgreMain.dll!?_updateAutoUpdatedViewports@RenderTarget@Ogre@@UAEX_N@Z+0x30,6988,47.5406,14699,20.0
fourteam_ai_postfix,12132,OgreMain.dll!?update@Viewport@Ogre@@QAEXXZ+0x23,6972,47.4318,14699,20.0
fourteam_ai_postfix,12132,OgreMain.dll!?_renderScene@Camera@Ogre@@QAEXPAVViewport@2@_N@Z+0xf3,6968,47.4046,14699,20.0
fourteam_ai_postfix,12132,OgreMain.dll!?updateImpl@RenderTarget@Ogre@@MAEXXZ+0xb,6683,45.4657,14699,20.0
fourteam_ai_postfix,12132,OgreMain.dll!?_beginUpdate@RenderTarget@Ogre@@UAEXXZ+0xb,6682,45.4589,14699,20.0
fourteam_ai_postfix,12132,OgreMain.dll!?preRenderTargetUpdate@CompositorChain@Ogre@@UAEXABURenderTargetEvent@2@@Z+0x6c,6674,45.4044,14699,20.0
fourteam_ai_postfix,12132,OgreMain.dll!?_renderScene@SceneManager@Ogre@@UAEXPAVCamera@2@PAVViewport@2@_N@Z+0x5c0,4397,29.9136,14699,20.0
fourteam_ai_postfix,12132,OgreMain.dll!?renderVisibleObjectsDefaultSequence@SceneManager@Ogre@@MAEXXZ+0xd0,4105,27.9271,14699,20.0
fourteam_ai_postfix,12132,OgreMain.dll!?renderObjects@SceneManager@Ogre@@MAEXABVQueuedRenderableCollection@2@W4OrganisationMode@32@_N2PBV?$HashedVector@PAVLight@Ogre@@@2@@Z+0x45,4086,27.7978,14699,20.0
fourteam_ai_postfix,12132,OgreMain.dll!?acceptVisitor@QueuedRenderableCollection@Ogre@@QBEXPAVQueuedRenderableVisitor@2@W4OrganisationMode@12@@Z+0xf6,3670,24.9677,14699,20.0
fourteam_ai_postfix,12132,OgreMain.dll!?acceptVisitorGrouped@QueuedRenderableCollection@Ogre@@IBEXPAVQueuedRenderableVisitor@2@@Z+0x6a,3569,24.2806,14699,20.0
fourteam_ai_postfix,12132,OgreMain.dll!?visit@SceneMgrQueuedRenderableVisitor@SceneManager@Ogre@@UAEXPAVRenderable@3@@Z+0x35,3552,24.1649,14699,20.0
fourteam_ai_postfix,12132,OgreMain.dll!?_renderQueueGroupObjects@SceneManager@Ogre@@UAEXPAVRenderQueueGroup@2@W4OrganisationMode@QueuedRenderableCollection@2@@Z+0x111,3217,21.8858,14699,20.0
fourteam_ai_postfix,12132,OgreMain.dll!?renderBasicQueueGroupObjects@SceneManager@Ogre@@MAEXPAVRenderQueueGroup@2@W4OrganisationMode@QueuedRenderableCollection@2@@Z+0x8c,2788,18.9673,14699,20.0
fourteam_ai_postfix,12132,battlezone98redux.exe!sub_6175c0,2655,18.0625,14699,20.0
fourteam_ai_postfix,12132,battlezone98redux.exe!sub_6176a0,2655,18.0625,14699,20.0
fourteam_ai_postfix,12132,OgreMain.dll!?_renderScene@SceneManager@Ogre@@UAEXPAVCamera@2@PAVViewport@2@_N@Z+0x3cb,2187,14.8786,14699,20.0
fourteam_ai_postfix,12132,OgreMain.dll!?_findVisibleObjects@SceneManager@Ogre@@UAEXPAVCamera@2@PAUVisibleObjectsBoundsInfo@2@_N@Z+0x3a,2186,14.8718,14699,20.0
fourteam_ai_postfix,12132,OgreMain.dll!?_findVisibleObjects@SceneNode@Ogre@@UAEXPAVCamera@2@PAVRenderQueue@2@PAUVisibleObjectsBoundsInfo@2@_N33@Z+0x89,2145,14.5928,14699,20.0
