label,thread,symbol,module,self_samples,self_percent,total_samples,window_seconds
fourteam_ai_postfix,12132,ntdll.dll!_ZwQueryVirtualMemory@24+0xc,ntdll.dll,530,3.6057,14699,20.0
fourteam_ai_postfix,12132,ntdll.dll!_ZwQueryFullAttributesFile@8+0xc,ntdll.dll,356,2.4219,14699,20.0
fourteam_ai_postfix,12132,battlezone98redux.exe!sub_678950,battlezone98redux.exe,347,2.3607,14699,20.0
fourteam_ai_postfix,12132,battlezone98redux.exe!sub_454cf0,battlezone98redux.exe,160,1.0885,14699,20.0
fourteam_ai_postfix,12132,MSVCR120.dll!memmove+0xc9,MSVCR120.dll,136,0.9252,14699,20.0
fourteam_ai_postfix,12132,battlezone98redux.exe!sub_463fc0,battlezone98redux.exe,120,0.8164,14699,20.0
fourteam_ai_postfix,12132,ntdll.dll!_ZwContinue@8+0xc,ntdll.dll,120,0.8164,14699,20.0
fourteam_ai_postfix,12132,battlezone98redux.exe!sub_461fd0,battlezone98redux.exe,113,0.7688,14699,20.0
fourteam_ai_postfix,12132,battlezone98redux.exe!sub_446360,battlezone98redux.exe,113,0.7688,14699,20.0
fourteam_ai_postfix,12132,battlezone98redux.exe!sub_784180,battlezone98redux.exe,103,0.7007,14699,20.0
fourteam_ai_postfix,12132,battlezone98redux.exe!sub_463240,battlezone98redux.exe,103,0.7007,14699,20.0
fourteam_ai_postfix,12132,battlezone98redux.exe!sub_678cd0,battlezone98redux.exe,96,0.6531,14699,20.0
fourteam_ai_postfix,12132,MSVCR120.dll!floor+0x15,MSVCR120.dll,81,0.5511,14699,20.0
fourteam_ai_postfix,12132,battlezone98redux.exe!get,battlezone98redux.exe,81,0.5511,14699,20.0
fourteam_ai_postfix,12132,battlezone98redux.exe!sub_4620b0,battlezone98redux.exe,79,0.5375,14699,20.0
fourteam_ai_postfix,12132,battlezone98redux.exe!sub_4933e0,battlezone98redux.exe,75,0.5102,14699,20.0
fourteam_ai_postfix,12132,battlezone98redux.exe!sub_81fe60,battlezone98redux.exe,73,0.4966,14699,20.0
fourteam_ai_postfix,12132,battlezone98redux.exe!sub_687340,battlezone98redux.exe,67,0.4558,14699,20.0
fourteam_ai_postfix,12132,win32u.dll!_NtUserPeekMessage@24+0xc,win32u.dll,66,0.449,14699,20.0
fourteam_ai_postfix,12132,battlezone98redux.exe!sub_4401a0,battlezone98redux.exe,64,0.4354,14699,20.0
fourteam_ai_postfix,12132,battlezone98redux.exe!sub_417780,battlezone98redux.exe,64,0.4354,14699,20.0
fourteam_ai_postfix,12132,battlezone98redux.exe!sub_45c4b0,battlezone98redux.exe,63,0.4286,14699,20.0
