label,thread,symbol,inclusive_samples,inclusive_percent,total_samples,window_seconds
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_618270,14633,99.7002,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_618a40,14632,99.6934,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_619fc0,14630,99.6798,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_618ff0,14627,99.6593,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_618b10,14626,99.6525,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!entry,14624,99.6389,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_618130,14615,99.5776,14677,20.008
fourteam_ai_prefix,31736,KERNEL32.DLL!BaseThreadInitThunk+0x19,14601,99.4822,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!___RtlUserThreadStart@8+0x2b,14590,99.4072,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!__RtlUserThreadStart@8+0x1b,14578,99.3255,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_6175c0,6099,41.5548,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_6176a0,6099,41.5548,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_4d4610,5369,36.581,14677,20.008
fourteam_ai_prefix,31736,OgreMain.dll!?renderOneFrame@Root@Ogre@@QAE_NXZ+0x17,5172,35.2388,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_451f80,4977,33.9102,14677,20.008
fourteam_ai_prefix,31736,RenderSystem_Direct3D11.dll!?_updateAllRenderTargets@D3D11RenderSystem@Ogre@@UAEX_N@Z+0x3e,4973,33.8829,14677,20.008
fourteam_ai_prefix,31736,OgreMain.dll!?_updateAllRenderTargets@RenderSystem@Ogre@@UAEX_N@Z+0x3d,4972,33.8761,14677,20.008
fourteam_ai_prefix,31736,OgreMain.dll!?_updateAllRenderTargets@Root@Ogre@@QAE_NXZ+0x17,4972,33.8761,14677,20.008
fourteam_ai_prefix,31736,OgreMain.dll!?updateImpl@RenderTarget@Ogre@@MAEXXZ+0x17,4956,33.7671,14677,20.008
fourteam_ai_prefix,31736,OgreMain.dll!?_updateAutoUpdatedViewports@RenderTarget@Ogre@@UAEX_N@Z+0x30,4955,33.7603,14677,20.008
fourteam_ai_prefix,31736,OgreMain.dll!?update@Viewport@Ogre@@QAEXXZ+0x23,4948,33.7126,14677,20.008
fourteam_ai_prefix,31736,OgreMain.dll!?_renderScene@Camera@Ogre@@QAEXPAVViewport@2@_N@Z+0xf3,4939,33.6513,14677,20.008
fourteam_ai_prefix,31736,OgreMain.dll!?updateImpl@RenderTarget@Ogre@@MAEXXZ+0xb,4770,32.4998,14677,20.008
fourteam_ai_prefix,31736,OgreMain.dll!?_beginUpdate@RenderTarget@Ogre@@UAEXXZ+0xb,4768,32.4862,14677,20.008
fourteam_ai_prefix,31736,OgreMain.dll!?preRenderTargetUpdate@CompositorChain@Ogre@@UAEXABURenderTargetEvent@2@@Z+0x6c,4767,32.4794,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_44e7f0,4515,30.7624,14677,20.008
fourteam_ai_prefix,31736,WINMM.dll@6e1d0000!BZROpenShim::`anonymous namespace'::EmissionLightStateHook+0xd,4395,29.9448,14677,20.008
fourteam_ai_prefix,31736,WINMM.dll@6e1d0000!BZROpenShim::`anonymous namespace'::GetHeadlightOgreApi+0x424,4346,29.611,14677,20.008
fourteam_ai_prefix,31736,KERNEL32.DLL!GetProcAddress+0x14,4343,29.5905,14677,20.008
fourteam_ai_prefix,31736,KERNELBASE.dll!GetProcAddressForCaller+0x4d,4256,28.9978,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!_LdrpLogInternal+0x27,4009,27.3148,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!_LdrpWriteToSnapsBuffer@16+0xc7,3807,25.9385,14677,20.008
fourteam_ai_prefix,31736,OgreMain.dll!?_renderScene@SceneManager@Ogre@@UAEXPAVCamera@2@PAVViewport@2@_N@Z+0x5c0,3119,21.2509,14677,20.008
fourteam_ai_prefix,31736,OgreMain.dll!?renderVisibleObjectsDefaultSequence@SceneManager@Ogre@@MAEXXZ+0xd0,2942,20.045,14677,20.008
fourteam_ai_prefix,31736,OgreMain.dll!?renderObjects@SceneManager@Ogre@@MAEXABVQueuedRenderableCollection@2@W4OrganisationMode@32@_N2PBV?$HashedVector@PAVLight@Ogre@@@2@@Z+0x45,2933,19.9836,14677,20.008
fourteam_ai_prefix,31736,OgreMain.dll!?acceptVisitor@QueuedRenderableCollection@Ogre@@QBEXPAVQueuedRenderableVisitor@2@W4OrganisationMode@12@@Z+0xf6,2631,17.926,14677,20.008
fourteam_ai_prefix,31736,OgreMain.dll!?acceptVisitorGrouped@QueuedRenderableCollection@Ogre@@IBEXPAVQueuedRenderableVisitor@2@@Z+0x6a,2539,17.2992,14677,20.008
fourteam_ai_prefix,31736,OgreMain.dll!?visit@SceneMgrQueuedRenderableVisitor@SceneManager@Ogre@@UAEXPAVRenderable@3@@Z+0x35,2531,17.2447,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!_LdrGetProcedureAddressForCaller@24+0x449,2515,17.1357,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!_LdrpReportError@12+0xfb,2416,16.4611,14677,20.008
fourteam_ai_prefix,31736,OgreMain.dll!?_renderQueueGroupObjects@SceneManager@Ogre@@UAEXPAVRenderQueueGroup@2@W4OrganisationMode@QueuedRenderableCollection@2@@Z+0x111,2238,15.2483,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!_LdrpGenerateSnapsUnicodeStrings@28+0x183,1928,13.1362,14677,20.008
fourteam_ai_prefix,31736,OgreMain.dll!?renderBasicQueueGroupObjects@SceneManager@Ogre@@MAEXPAVRenderQueueGroup@2@W4OrganisationMode@QueuedRenderableCollection@2@@Z+0x8c,1927,13.1294,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!_RtlStringCchVPrintfExA@28+0x19,1923,13.1021,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!RtlStringVPrintfWorkerA+0x1e,1918,13.0681,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!__vsnprintf+0x18,1914,13.0408,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!__vsnprintf_l+0x4c,1910,13.0136,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!_LdrpGenerateSnapsUnicodeStrings@28+0x141,1718,11.7054,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!RtlStringCchPrintfExW+0x65,1706,11.6236,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!RtlStringVPrintfWorkerW+0x1c,1697,11.5623,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!__vsnwprintf+0x18,1693,11.5351,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!__vsnwprintf_l+0x5b,1679,11.4397,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!_LdrGetProcedureAddressForCaller@24+0x37c,1662,11.3238,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!_LdrpResolveProcedureAddress@24+0x9f,1653,11.2625,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!_LdrpGetProcedureAddress@16+0x63,1639,11.1671,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!LdrpNameToOrdinal+0xa4,1540,10.4926,14677,20.008
fourteam_ai_prefix,31736,OgreMain.dll!?_renderScene@SceneManager@Ogre@@UAEXPAVCamera@2@PAVViewport@2@_N@Z+0x3cb,1459,9.9407,14677,20.008
