label,thread,symbol,module,self_samples,self_percent,total_samples,window_seconds
fourteam_ai_prefix,31736,ntdll.dll!_RtlpGetCodePageData@4+0x29,ntdll.dll,534,3.6383,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!_RtlpIsUtf8Process@4+0xe,ntdll.dll,459,3.1273,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!__output_l+0x328,ntdll.dll,329,2.2416,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!_RtlAnsiCharToUnicodeChar@4+0x36,ntdll.dll,294,2.0031,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!_ZwQueryVirtualMemory@24+0xc,ntdll.dll,267,1.8192,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!_ZwQueryFullAttributesFile@8+0xc,ntdll.dll,256,1.7442,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!_RtlAnsiCharToUnicodeChar@4+0x19,ntdll.dll,176,1.1992,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_678950,battlezone98redux.exe,156,1.0629,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!__woutput_l+0x8a1,ntdll.dll,147,1.0016,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_454cf0,battlezone98redux.exe,103,0.7018,14677,20.008
fourteam_ai_prefix,31736,MSVCR120.dll!memmove+0xc9,MSVCR120.dll,99,0.6745,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_463fc0,battlezone98redux.exe,91,0.62,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!_ZwContinue@8+0xc,ntdll.dll,89,0.6064,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_447e70,battlezone98redux.exe,79,0.5383,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!_memset+0x45,ntdll.dll,74,0.5042,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_784180,battlezone98redux.exe,63,0.4292,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_4933e0,battlezone98redux.exe,63,0.4292,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_687340,battlezone98redux.exe,62,0.4224,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_678cd0,battlezone98redux.exe,62,0.4224,14677,20.008
fourteam_ai_prefix,31736,RenderSystem_Direct3D11.dll!?bindGpuProgramParameters@D3D11RenderSystem@Ogre@@UAEXW4GpuProgramType@2@V?$SharedPtr@VGpuProgramParameters@Ogre@@@2@G@Z+0x54a,RenderSystem_Direct3D11.dll,60,0.4088,14677,20.008
fourteam_ai_prefix,31736,WINMM.dll@6e1d0000!BZROpenShim::`anonymous namespace'::CaptureChunkBridgeSnapshot+0x120,WINMM.dll@6e1d0000,58,0.3952,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_461fd0,battlezone98redux.exe,58,0.3952,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_463240,battlezone98redux.exe,57,0.3884,14677,20.008
fourteam_ai_prefix,31736,MSVCR120.dll!memmove+0xc7,MSVCR120.dll,56,0.3815,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_446360,battlezone98redux.exe,56,0.3815,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_4401a0,battlezone98redux.exe,55,0.3747,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!write_string+0x31,ntdll.dll,52,0.3543,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!_ZwCreateFile@44+0xc,ntdll.dll,52,0.3543,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!get,battlezone98redux.exe,51,0.3475,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_81fe60,battlezone98redux.exe,50,0.3407,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!_KiUserExceptionDispatcher@8,ntdll.dll,49,0.3339,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_62e710,battlezone98redux.exe,49,0.3339,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!LdrpNameToOrdinal+0x3c,ntdll.dll,49,0.3339,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_4428b0,battlezone98redux.exe,46,0.3134,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!_ZwOpenFile@24+0xc,ntdll.dll,45,0.3066,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_4f90a0,battlezone98redux.exe,42,0.2862,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!write_char+0x21,ntdll.dll,40,0.2725,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!_RtlInitString@8+0x1b,ntdll.dll,39,0.2657,14677,20.008
fourteam_ai_prefix,31736,win32u.dll!_NtUserPeekMessage@24+0xc,win32u.dll,39,0.2657,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_45c4b0,battlezone98redux.exe,38,0.2589,14677,20.008
fourteam_ai_prefix,31736,MSVCR120.dll!floor+0x15,MSVCR120.dll,37,0.2521,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!__fputwc_nolock+0x2e,ntdll.dll,37,0.2521,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_449910,battlezone98redux.exe,37,0.2521,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_4da060,battlezone98redux.exe,36,0.2453,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_4620b0,battlezone98redux.exe,36,0.2453,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!_RtlAnsiCharToUnicodeChar@4+0x9d,ntdll.dll,36,0.2453,14677,20.008
fourteam_ai_prefix,31736,ntdll.dll!_ZwWriteFile@36+0xc,ntdll.dll,34,0.2317,14677,20.008
fourteam_ai_prefix,31736,OgreMain.dll!?findLightsAffectingFrustum@SceneManager@Ogre@@MAEXPBVCamera@2@@Z+0x119,OgreMain.dll,33,0.2248,14677,20.008
fourteam_ai_prefix,31736,battlezone98redux.exe!sub_465320,battlezone98redux.exe,32,0.218,14677,20.008
