label,thread,symbol,inclusive_samples,inclusive_percent,total_samples,window_seconds
fourteam_fire_postfix,34852,battlezone98redux.exe!sub_618270,14293,99.9231,14304,20.002
fourteam_fire_postfix,34852,battlezone98redux.exe!sub_618a40,14291,99.9091,14304,20.002
fourteam_fire_postfix,34852,battlezone98redux.exe!sub_619fc0,14291,99.9091,14304,20.002
fourteam_fire_postfix,34852,battlezone98redux.exe!sub_618ff0,14290,99.9021,14304,20.002
fourteam_fire_postfix,34852,battlezone98redux.exe!sub_618b10,14286,99.8742,14304,20.002
fourteam_fire_postfix,34852,battlezone98redux.exe!entry,14283,99.8532,14304,20.002
fourteam_fire_postfix,34852,KERNEL32.DLL!BaseThreadInitThunk+0x19,14282,99.8462,14304,20.002
fourteam_fire_postfix,34852,ntdll.dll!___RtlUserThreadStart@8+0x2b,14279,99.8252,14304,20.002
fourteam_fire_postfix,34852,battlezone98redux.exe!sub_618130,14265,99.7273,14304,20.002
fourteam_fire_postfix,34852,ntdll.dll!__RtlUserThreadStart@8+0x1b,14264,99.7204,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?renderOneFrame@Root@Ogre@@QAE_NXZ+0x17,9403,65.7369,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?_updateAllRenderTargets@RenderSystem@Ogre@@UAEX_N@Z+0x3d,9107,63.6675,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?_updateAllRenderTargets@Root@Ogre@@QAE_NXZ+0x17,9107,63.6675,14304,20.002
fourteam_fire_postfix,34852,RenderSystem_Direct3D11.dll!?_updateAllRenderTargets@D3D11RenderSystem@Ogre@@UAEX_N@Z+0x3e,9107,63.6675,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?updateImpl@RenderTarget@Ogre@@MAEXXZ+0x17,9070,63.4088,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?_updateAutoUpdatedViewports@RenderTarget@Ogre@@UAEX_N@Z+0x30,9068,63.3949,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?update@Viewport@Ogre@@QAEXXZ+0x23,9055,63.304,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?_renderScene@Camera@Ogre@@QAEXPAVViewport@2@_N@Z+0xf3,9043,63.2201,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?_beginUpdate@RenderTarget@Ogre@@UAEXXZ+0xb,8842,61.8149,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?updateImpl@RenderTarget@Ogre@@MAEXXZ+0xb,8842,61.8149,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?preRenderTargetUpdate@CompositorChain@Ogre@@UAEXABURenderTargetEvent@2@@Z+0x6c,8836,61.7729,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?_renderScene@SceneManager@Ogre@@UAEXPAVCamera@2@PAVViewport@2@_N@Z+0x5c0,6566,45.9032,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?renderVisibleObjectsDefaultSequence@SceneManager@Ogre@@MAEXXZ+0xd0,6357,44.4421,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?renderObjects@SceneManager@Ogre@@MAEXABVQueuedRenderableCollection@2@W4OrganisationMode@32@_N2PBV?$HashedVector@PAVLight@Ogre@@@2@@Z+0x45,6337,44.3023,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?acceptVisitor@QueuedRenderableCollection@Ogre@@QBEXPAVQueuedRenderableVisitor@2@W4OrganisationMode@12@@Z+0xf6,5933,41.4779,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?acceptVisitorGrouped@QueuedRenderableCollection@Ogre@@IBEXPAVQueuedRenderableVisitor@2@@Z+0x6a,5842,40.8417,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?visit@SceneMgrQueuedRenderableVisitor@SceneManager@Ogre@@UAEXPAVRenderable@3@@Z+0x35,5818,40.6739,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?_renderQueueGroupObjects@SceneManager@Ogre@@UAEXPAVRenderQueueGroup@2@W4OrganisationMode@QueuedRenderableCollection@2@@Z+0x111,5124,35.8221,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?renderBasicQueueGroupObjects@SceneManager@Ogre@@MAEXPAVRenderQueueGroup@2@W4OrganisationMode@QueuedRenderableCollection@2@@Z+0x8c,4711,32.9348,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?renderSingleObject@SceneManager@Ogre@@MAEXPAVRenderable@2@PBVPass@2@_N2PBV?$HashedVector@PAVLight@Ogre@@@2@@Z+0x9a0,2600,18.1767,14304,20.002
fourteam_fire_postfix,34852,battlezone98redux.exe!sub_6175c0,2423,16.9393,14304,20.002
fourteam_fire_postfix,34852,battlezone98redux.exe!sub_6176a0,2422,16.9323,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?_issueRenderOp@SceneManager@Ogre@@UAEXPAVRenderable@2@PBVPass@2@@Z+0x30,2230,15.59,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?_renderScene@SceneManager@Ogre@@UAEXPAVCamera@2@PAVViewport@2@_N@Z+0x246,2005,14.0171,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?queryLights@MovableObject@Ogre@@UBEABV?$HashedVector@PAVLight@Ogre@@@2@XZ+0xc4,1992,13.9262,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?findLights@SceneNode@Ogre@@UBEXAAV?$HashedVector@PAVLight@Ogre@@@2@MI@Z+0x29,1992,13.9262,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?_populateLightList@SceneManager@Ogre@@UAEXPBVSceneNode@2@MAAV?$HashedVector@PAVLight@Ogre@@@2@I@Z+0x2e,1991,13.9192,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?renderSingleObject@SceneManager@Ogre@@MAEXPAVRenderable@2@PBVPass@2@_N2PBV?$HashedVector@PAVLight@Ogre@@@2@@Z+0x322,1985,13.8772,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?prepareShadowTextures@SceneManager@Ogre@@UAEXPAVCamera@2@PAVViewport@2@PBV?$HashedVector@PAVLight@Ogre@@@2@@Z+0x39f,1947,13.6116,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?_renderScene@SceneManager@Ogre@@UAEXPAVCamera@2@PAVViewport@2@_N@Z+0x3cb,1901,13.29,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?_findVisibleObjects@SceneManager@Ogre@@UAEXPAVCamera@2@PAUVisibleObjectsBoundsInfo@2@_N@Z+0x3a,1900,13.283,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?_findVisibleObjects@SceneNode@Ogre@@UAEXPAVCamera@2@PAVRenderQueue@2@PAUVisibleObjectsBoundsInfo@2@_N33@Z+0x89,1822,12.7377,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?_findVisibleObjects@SceneNode@Ogre@@UAEXPAVCamera@2@PAVRenderQueue@2@PAUVisibleObjectsBoundsInfo@2@_N33@Z+0x51,1603,11.2067,14304,20.002
fourteam_fire_postfix,34852,WINMM.dll@6ea10000!BZROpenShim::`anonymous namespace'::ProcessVisibleObjectHook+0x170,1474,10.3048,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?_populateLightList@SceneManager@Ogre@@UAEXABVVector3@2@MAAV?$HashedVector@PAVLight@Ogre@@@2@I@Z+0x140,1438,10.0531,14304,20.002
fourteam_fire_postfix,34852,battlezone98redux.exe!sub_617600,1329,9.2911,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?_issueRenderOp@SceneManager@Ogre@@UAEXPAVRenderable@2@PBVPass@2@@Z+0x73,1327,9.2771,14304,20.002
fourteam_fire_postfix,34852,battlezone98redux.exe!sub_4b6f10,1317,9.2072,14304,20.002
fourteam_fire_postfix,34852,battlezone98redux.exe!sub_4b6db0,1317,9.2072,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?_renderQueueGroupObjects@SceneManager@Ogre@@UAEXPAVRenderQueueGroup@2@W4OrganisationMode@QueuedRenderableCollection@2@@Z+0xb6,1231,8.606,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?renderTextureShadowCasterQueueGroupObjects@SceneManager@Ogre@@MAEXPAVRenderQueueGroup@2@W4OrganisationMode@QueuedRenderableCollection@2@@Z+0x124,1224,8.557,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?renderSingleObject@SceneManager@Ogre@@MAEXPAVRenderable@2@PBVPass@2@_N2PBV?$HashedVector@PAVLight@Ogre@@@2@@Z+0xaf4,1041,7.2777,14304,20.002
fourteam_fire_postfix,34852,battlezone98redux.exe!sub_4d4610,1012,7.0749,14304,20.002
fourteam_fire_postfix,34852,battlezone98redux.exe!sub_451f80,988,6.9072,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?processVisibleObject@RenderQueue@Ogre@@QAEXPAVMovableObject@2@PAVCamera@2@_NPAUVisibleObjectsBoundsInfo@2@@Z+0xb0,986,6.8932,14304,20.002
fourteam_fire_postfix,34852,battlezone98redux.exe!sub_493ec0,852,5.9564,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?updateGpuProgramParameters@SceneManager@Ogre@@MAEXPBVPass@2@@Z+0x62,822,5.7466,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?isInLightRange@Light@Ogre@@QBE_NABVSphere@2@@Z+0x159,775,5.4181,14304,20.002
fourteam_fire_postfix,34852,battlezone98redux.exe!sub_44e880,752,5.2573,14304,20.002
fourteam_fire_postfix,34852,battlezone98redux.exe!sub_618060,747,5.2223,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?updateGpuProgramParameters@SceneManager@Ogre@@MAEXPBVPass@2@@Z+0xdd,623,4.3554,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?angleBetween@Vector3@Ogre@@QBE?AVRadian@2@ABV12@@Z+0xdd,606,4.2366,14304,20.002
fourteam_fire_postfix,34852,OgreMain.dll!?updateGpuProgramParameters@SceneManager@Ogre@@MAEXPBVPass@2@@Z+0x8b,572,3.9989,14304,20.002
fourteam_fire_postfix,34852,battlezone98redux.exe!sub_617fa0,567,3.9639,14304,20.002
fourteam_fire_postfix,34852,battlezone98redux.exe!sub_62bc80,563,3.936,14304,20.002
fourteam_fire_postfix,34852,battlezone98redux.exe!sub_62bd40,559,3.908,14304,20.002
fourteam_fire_postfix,34852,battlezone98redux.exe!sub_4deec0,557,3.894,14304,20.002
fourteam_fire_postfix,34852,battlezone98redux.exe!sub_4ebfd0,555,3.88,14304,20.002
fourteam_fire_postfix,34852,RenderSystem_Direct3D11.dll!?bindGpuProgramParameters@D3D11RenderSystem@Ogre@@UAEXW4GpuProgramType@2@V?$SharedPtr@VGpuProgramParameters@Ogre@@@2@G@Z+0x16a,552,3.8591,14304,20.002
