label,thread,symbol,module,self_samples,self_percent,total_samples,window_seconds
fourteam_fire_prefix,36116,ntdll.dll!_RtlpGetCodePageData@4+0x29,ntdll.dll,775,5.81,13339,20.016
fourteam_fire_prefix,36116,ntdll.dll!_RtlpIsUtf8Process@4+0xe,ntdll.dll,598,4.4831,13339,20.016
fourteam_fire_prefix,36116,ntdll.dll!__output_l+0x328,ntdll.dll,452,3.3886,13339,20.016
fourteam_fire_prefix,36116,ntdll.dll!_RtlAnsiCharToUnicodeChar@4+0x36,ntdll.dll,448,3.3586,13339,20.016
fourteam_fire_prefix,36116,ntdll.dll!_RtlAnsiCharToUnicodeChar@4+0x19,ntdll.dll,234,1.7543,13339,20.016
fourteam_fire_prefix,36116,ntdll.dll!_ZwQueryFullAttributesFile@8+0xc,ntdll.dll,221,1.6568,13339,20.016
fourteam_fire_prefix,36116,ntdll.dll!__woutput_l+0x8a1,ntdll.dll,196,1.4694,13339,20.016
fourteam_fire_prefix,36116,ntdll.dll!_ZwQueryVirtualMemory@24+0xc,ntdll.dll,154,1.1545,13339,20.016
fourteam_fire_prefix,36116,battlezone98redux.exe!sub_454cf0,battlezone98redux.exe,149,1.117,13339,20.016
fourteam_fire_prefix,36116,ntdll.dll!_memset+0x45,ntdll.dll,90,0.6747,13339,20.016
fourteam_fire_prefix,36116,battlezone98redux.exe!sub_678cd0,battlezone98redux.exe,77,0.5773,13339,20.016
fourteam_fire_prefix,36116,battlezone98redux.exe!sub_446360,battlezone98redux.exe,75,0.5623,13339,20.016
fourteam_fire_prefix,36116,ntdll.dll!_RtlInitAnsiString@8+0x1b,ntdll.dll,68,0.5098,13339,20.016
fourteam_fire_prefix,36116,MSVCR120.dll!memmove+0xc9,MSVCR120.dll,68,0.5098,13339,20.016
fourteam_fire_prefix,36116,ntdll.dll!_RtlInitString@8+0x1b,ntdll.dll,61,0.4573,13339,20.016
fourteam_fire_prefix,36116,ntdll.dll!_RtlAbPostRelease@8+0x28,ntdll.dll,51,0.3823,13339,20.016
fourteam_fire_prefix,36116,battlezone98redux.exe!sub_4933e0,battlezone98redux.exe,50,0.3748,13339,20.016
fourteam_fire_prefix,36116,battlezone98redux.exe!sub_81fe60,battlezone98redux.exe,49,0.3673,13339,20.016
fourteam_fire_prefix,36116,battlezone98redux.exe!sub_461fd0,battlezone98redux.exe,47,0.3524,13339,20.016
fourteam_fire_prefix,36116,ntdll.dll!write_string+0x31,ntdll.dll,47,0.3524,13339,20.016
fourteam_fire_prefix,36116,ntdll.dll!__fputwc_nolock+0x2e,ntdll.dll,47,0.3524,13339,20.016
fourteam_fire_prefix,36116,ntdll.dll!_RtlCustomCPToUnicodeN@24+0x6b,ntdll.dll,46,0.3449,13339,20.016
fourteam_fire_prefix,36116,RenderSystem_Direct3D11.dll!?bindGpuProgramParameters@D3D11RenderSystem@Ogre@@UAEXW4GpuProgramType@2@V?$SharedPtr@VGpuProgramParameters@Ogre@@@2@G@Z+0x54a,RenderSystem_Direct3D11.dll,44,0.3299,13339,20.016
fourteam_fire_prefix,36116,MSVCR120.dll!memmove+0xc7,MSVCR120.dll,43,0.3224,13339,20.016
fourteam_fire_prefix,36116,ntdll.dll!write_char+0x35,ntdll.dll,43,0.3224,13339,20.016
fourteam_fire_prefix,36116,ntdll.dll!__output_l+0x11e,ntdll.dll,43,0.3224,13339,20.016
fourteam_fire_prefix,36116,ntdll.dll!__output_l+0xc4,ntdll.dll,42,0.3149,13339,20.016
fourteam_fire_prefix,36116,battlezone98redux.exe!sub_687340,battlezone98redux.exe,41,0.3074,13339,20.016
fourteam_fire_prefix,36116,ntdll.dll!write_char+0x21,ntdll.dll,40,0.2999,13339,20.016
fourteam_fire_prefix,36116,ntdll.dll!__output_l+0x9e,ntdll.dll,40,0.2999,13339,20.016
fourteam_fire_prefix,36116,battlezone98redux.exe!sub_447e70,battlezone98redux.exe,40,0.2999,13339,20.016
fourteam_fire_prefix,36116,ntdll.dll!_RtlUnicodeToMultiByteN@20+0x21,ntdll.dll,39,0.2924,13339,20.016
fourteam_fire_prefix,36116,MSVCR120.dll!floor+0x15,MSVCR120.dll,38,0.2849,13339,20.016
fourteam_fire_prefix,36116,ntdll.dll!write_char+0xc,ntdll.dll,38,0.2849,13339,20.016
fourteam_fire_prefix,36116,ntdll.dll!__output_l+0xd2,ntdll.dll,38,0.2849,13339,20.016
fourteam_fire_prefix,36116,ntdll.dll!LdrpNameToOrdinal+0x3c,ntdll.dll,37,0.2774,13339,20.016
fourteam_fire_prefix,36116,ntdll.dll!__output_l+0x30d,ntdll.dll,36,0.2699,13339,20.016
fourteam_fire_prefix,36116,battlezone98redux.exe!sub_62e710,battlezone98redux.exe,35,0.2624,13339,20.016
fourteam_fire_prefix,36116,ntdll.dll!_RtlCustomCPToUnicodeN@24+0x6f,ntdll.dll,34,0.2549,13339,20.016
fourteam_fire_prefix,36116,battlezone98redux.exe!sub_4428b0,battlezone98redux.exe,33,0.2474,13339,20.016
fourteam_fire_prefix,36116,MSVCR120.dll!__libm_sse2_acosf+0xa6,MSVCR120.dll,32,0.2399,13339,20.016
fourteam_fire_prefix,36116,ntdll.dll!_RtlMultiByteToUnicodeN@20+0x21,ntdll.dll,32,0.2399,13339,20.016
fourteam_fire_prefix,36116,ntdll.dll!LdrpNameToOrdinal+0x36,ntdll.dll,31,0.2324,13339,20.016
