label,thread,symbol,inclusive_samples,inclusive_percent,total_samples,window_seconds
fourteam_move_prefix,3420,battlezone98redux.exe!sub_618270,13863,99.8272,13887,20.0
fourteam_move_prefix,3420,battlezone98redux.exe!sub_618a40,13861,99.8128,13887,20.0
fourteam_move_prefix,3420,battlezone98redux.exe!sub_619fc0,13853,99.7552,13887,20.0
fourteam_move_prefix,3420,battlezone98redux.exe!sub_618ff0,13848,99.7192,13887,20.0
fourteam_move_prefix,3420,battlezone98redux.exe!sub_618b10,13846,99.7048,13887,20.0
fourteam_move_prefix,3420,battlezone98redux.exe!entry,13836,99.6328,13887,20.0
fourteam_move_prefix,3420,battlezone98redux.exe!sub_618130,13834,99.6183,13887,20.0
fourteam_move_prefix,3420,KERNEL32.DLL!BaseThreadInitThunk+0x19,13831,99.5967,13887,20.0
fourteam_move_prefix,3420,ntdll.dll!___RtlUserThreadStart@8+0x2b,13826,99.5607,13887,20.0
fourteam_move_prefix,3420,ntdll.dll!__RtlUserThreadStart@8+0x1b,13804,99.4023,13887,20.0
fourteam_move_prefix,3420,OgreMain.dll!?renderOneFrame@Root@Ogre@@QAE_NXZ+0x17,8887,63.9951,13887,20.0
fourteam_move_prefix,3420,RenderSystem_Direct3D11.dll!?_updateAllRenderTargets@D3D11RenderSystem@Ogre@@UAEX_N@Z+0x3e,8469,60.9851,13887,20.0
fourteam_move_prefix,3420,OgreMain.dll!?_updateAllRenderTargets@Root@Ogre@@QAE_NXZ+0x17,8469,60.9851,13887,20.0
fourteam_move_prefix,3420,OgreMain.dll!?_updateAllRenderTargets@RenderSystem@Ogre@@UAEX_N@Z+0x3d,8467,60.9707,13887,20.0
fourteam_move_prefix,3420,OgreMain.dll!?updateImpl@RenderTarget@Ogre@@MAEXXZ+0x17,8420,60.6322,13887,20.0
fourteam_move_prefix,3420,OgreMain.dll!?_updateAutoUpdatedViewports@RenderTarget@Ogre@@UAEX_N@Z+0x30,8415,60.5962,13887,20.0
fourteam_move_prefix,3420,OgreMain.dll!?update@Viewport@Ogre@@QAEXXZ+0x23,8396,60.4594,13887,20.0
fourteam_move_prefix,3420,OgreMain.dll!?_renderScene@Camera@Ogre@@QAEXPAVViewport@2@_N@Z+0xf3,8375,60.3082,13887,20.0
fourteam_move_prefix,3420,OgreMain.dll!?updateImpl@RenderTarget@Ogre@@MAEXXZ+0xb,8099,58.3207,13887,20.0
fourteam_move_prefix,3420,OgreMain.dll!?_beginUpdate@RenderTarget@Ogre@@UAEXXZ+0xb,8098,58.3135,13887,20.0
fourteam_move_prefix,3420,OgreMain.dll!?preRenderTargetUpdate@CompositorChain@Ogre@@UAEXABURenderTargetEvent@2@@Z+0x6c,8086,58.2271,13887,20.0
fourteam_move_prefix,3420,OgreMain.dll!?_renderScene@SceneManager@Ogre@@UAEXPAVCamera@2@PAVViewport@2@_N@Z+0x5c0,5917,42.6082,13887,20.0
fourteam_move_prefix,3420,OgreMain.dll!?renderVisibleObjectsDefaultSequence@SceneManager@Ogre@@MAEXXZ+0xd0,5640,40.6135,13887,20.0
fourteam_move_prefix,3420,OgreMain.dll!?renderObjects@SceneManager@Ogre@@MAEXABVQueuedRenderableCollection@2@W4OrganisationMode@32@_N2PBV?$HashedVector@PAVLight@Ogre@@@2@@Z+0x45,5619,40.4623,13887,20.0
fourteam_move_prefix,3420,OgreMain.dll!?acceptVisitor@QueuedRenderableCollection@Ogre@@QBEXPAVQueuedRenderableVisitor@2@W4OrganisationMode@12@@Z+0xf6,5395,38.8493,13887,20.0
fourteam_move_prefix,3420,OgreMain.dll!?acceptVisitorGrouped@QueuedRenderableCollection@Ogre@@IBEXPAVQueuedRenderableVisitor@2@@Z+0x6a,5260,37.8772,13887,20.0
fourteam_move_prefix,3420,OgreMain.dll!?visit@SceneMgrQueuedRenderableVisitor@SceneManager@Ogre@@UAEXPAVRenderable@3@@Z+0x35,5237,37.7115,13887,20.0
fourteam_move_prefix,3420,OgreMain.dll!?_renderQueueGroupObjects@SceneManager@Ogre@@UAEXPAVRenderQueueGroup@2@W4OrganisationMode@QueuedRenderableCollection@2@@Z+0x111,3829,27.5725,13887,20.0
fourteam_move_prefix,3420,OgreMain.dll!?renderBasicQueueGroupObjects@SceneManager@Ogre@@MAEXPAVRenderQueueGroup@2@W4OrganisationMode@QueuedRenderableCollection@2@@Z+0x8c,3604,25.9523,13887,20.0
fourteam_move_prefix,3420,OgreMain.dll!?_renderScene@SceneManager@Ogre@@UAEXPAVCamera@2@PAVViewport@2@_N@Z+0x246,2776,19.9899,13887,20.0
fourteam_move_prefix,3420,OgreMain.dll!?prepareShadowTextures@SceneManager@Ogre@@UAEXPAVCamera@2@PAVViewport@2@PBV?$HashedVector@PAVLight@Ogre@@@2@@Z+0x39f,2698,19.4282,13887,20.0
fourteam_move_prefix,3420,OgreMain.dll!?renderSingleObject@SceneManager@Ogre@@MAEXPAVRenderable@2@PBVPass@2@_N2PBV?$HashedVector@PAVLight@Ogre@@@2@@Z+0x9a0,2507,18.0529,13887,20.0
fourteam_move_prefix,3420,OgreMain.dll!?_issueRenderOp@SceneManager@Ogre@@UAEXPAVRenderable@2@PBVPass@2@@Z+0x30,2452,17.6568,13887,20.0
fourteam_move_prefix,3420,OgreMain.dll!?_findVisibleObjects@SceneManager@Ogre@@UAEXPAVCamera@2@PAUVisibleObjectsBoundsInfo@2@_N@Z+0x3a,2022,14.5604,13887,20.0
fourteam_move_prefix,3420,OgreMain.dll!?_renderScene@SceneManager@Ogre@@UAEXPAVCamera@2@PAVViewport@2@_N@Z+0x3cb,2022,14.5604,13887,20.0
fourteam_move_prefix,3420,OgreMain.dll!?_findVisibleObjects@SceneNode@Ogre@@UAEXPAVCamera@2@PAVRenderQueue@2@PAUVisibleObjectsBoundsInfo@2@_N33@Z+0x89,1933,13.9195,13887,20.0
fourteam_move_prefix,3420,battlezone98redux.exe!sub_6175c0,1929,13.8907,13887,20.0
fourteam_move_prefix,3420,battlezone98redux.exe!sub_6176a0,1928,13.8835,13887,20.0
