label,thread,symbol,inclusive_samples,inclusive_percent,total_samples,window_seconds
fourteam_postfix,12092,battlezone98redux.exe!sub_618270,13648,99.7953,13676,20.0
fourteam_postfix,12092,battlezone98redux.exe!sub_618a40,13648,99.7953,13676,20.0
fourteam_postfix,12092,battlezone98redux.exe!sub_619fc0,13643,99.7587,13676,20.0
fourteam_postfix,12092,battlezone98redux.exe!sub_618ff0,13641,99.7441,13676,20.0
fourteam_postfix,12092,battlezone98redux.exe!sub_618b10,13639,99.7295,13676,20.0
fourteam_postfix,12092,battlezone98redux.exe!entry,13632,99.6783,13676,20.0
fourteam_postfix,12092,battlezone98redux.exe!sub_618130,13630,99.6636,13676,20.0
fourteam_postfix,12092,KERNEL32.DLL!BaseThreadInitThunk+0x19,13627,99.6417,13676,20.0
fourteam_postfix,12092,ntdll.dll!___RtlUserThreadStart@8+0x2b,13622,99.6051,13676,20.0
fourteam_postfix,12092,ntdll.dll!__RtlUserThreadStart@8+0x1b,13596,99.415,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?renderOneFrame@Root@Ogre@@QAE_NXZ+0x17,9709,70.993,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?_updateAllRenderTargets@RenderSystem@Ogre@@UAEX_N@Z+0x3d,9333,68.2436,13676,20.0
fourteam_postfix,12092,RenderSystem_Direct3D11.dll!?_updateAllRenderTargets@D3D11RenderSystem@Ogre@@UAEX_N@Z+0x3e,9333,68.2436,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?_updateAllRenderTargets@Root@Ogre@@QAE_NXZ+0x17,9331,68.229,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?_updateAutoUpdatedViewports@RenderTarget@Ogre@@UAEX_N@Z+0x30,9291,67.9365,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?updateImpl@RenderTarget@Ogre@@MAEXXZ+0x17,9291,67.9365,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?update@Viewport@Ogre@@QAEXXZ+0x23,9269,67.7757,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?_renderScene@Camera@Ogre@@QAEXPAVViewport@2@_N@Z+0xf3,9247,67.6148,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?updateImpl@RenderTarget@Ogre@@MAEXXZ+0xb,8958,65.5016,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?_beginUpdate@RenderTarget@Ogre@@UAEXXZ+0xb,8955,65.4797,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?preRenderTargetUpdate@CompositorChain@Ogre@@UAEXABURenderTargetEvent@2@@Z+0x6c,8947,65.4212,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?_renderScene@SceneManager@Ogre@@UAEXPAVCamera@2@PAVViewport@2@_N@Z+0x5c0,6498,47.5139,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?renderVisibleObjectsDefaultSequence@SceneManager@Ogre@@MAEXXZ+0xd0,6209,45.4007,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?renderObjects@SceneManager@Ogre@@MAEXABVQueuedRenderableCollection@2@W4OrganisationMode@32@_N2PBV?$HashedVector@PAVLight@Ogre@@@2@@Z+0x45,6190,45.2618,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?acceptVisitor@QueuedRenderableCollection@Ogre@@QBEXPAVQueuedRenderableVisitor@2@W4OrganisationMode@12@@Z+0xf6,5943,43.4557,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?acceptVisitorGrouped@QueuedRenderableCollection@Ogre@@IBEXPAVQueuedRenderableVisitor@2@@Z+0x6a,5834,42.6587,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?visit@SceneMgrQueuedRenderableVisitor@SceneManager@Ogre@@UAEXPAVRenderable@3@@Z+0x35,5802,42.4247,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?_renderQueueGroupObjects@SceneManager@Ogre@@UAEXPAVRenderQueueGroup@2@W4OrganisationMode@QueuedRenderableCollection@2@@Z+0x111,4237,30.9813,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?renderBasicQueueGroupObjects@SceneManager@Ogre@@MAEXPAVRenderQueueGroup@2@W4OrganisationMode@QueuedRenderableCollection@2@@Z+0x8c,3982,29.1167,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?_renderScene@SceneManager@Ogre@@UAEXPAVCamera@2@PAVViewport@2@_N@Z+0x246,3000,21.9362,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?prepareShadowTextures@SceneManager@Ogre@@UAEXPAVCamera@2@PAVViewport@2@PBV?$HashedVector@PAVLight@Ogre@@@2@@Z+0x39f,2921,21.3586,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?renderSingleObject@SceneManager@Ogre@@MAEXPAVRenderable@2@PBVPass@2@_N2PBV?$HashedVector@PAVLight@Ogre@@@2@@Z+0x9a0,2744,20.0643,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?_issueRenderOp@SceneManager@Ogre@@UAEXPAVRenderable@2@PBVPass@2@@Z+0x30,2619,19.1503,13676,20.0
