label,thread,symbol,inclusive_samples,inclusive_percent,total_samples,window_seconds
fourteam_prefix,36068,battlezone98redux.exe!sub_618270,12552,99.7695,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_618a40,12551,99.7615,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_618ff0,12549,99.7456,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_619fc0,12549,99.7456,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_618b10,12548,99.7377,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!entry,12536,99.6423,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_618130,12532,99.6105,12581,19.999
fourteam_prefix,36068,KERNEL32.DLL!BaseThreadInitThunk+0x19,12530,99.5946,12581,19.999
fourteam_prefix,36068,ntdll.dll!___RtlUserThreadStart@8+0x2b,12527,99.5708,12581,19.999
fourteam_prefix,36068,ntdll.dll!__RtlUserThreadStart@8+0x1b,12495,99.3164,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?renderOneFrame@Root@Ogre@@QAE_NXZ+0x17,8907,70.7972,12581,19.999
fourteam_prefix,36068,RenderSystem_Direct3D11.dll!?_updateAllRenderTargets@D3D11RenderSystem@Ogre@@UAEX_N@Z+0x3e,8538,67.8642,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_updateAllRenderTargets@Root@Ogre@@QAE_NXZ+0x17,8537,67.8563,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_updateAllRenderTargets@RenderSystem@Ogre@@UAEX_N@Z+0x3d,8536,67.8483,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?updateImpl@RenderTarget@Ogre@@MAEXXZ+0x17,8492,67.4986,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_updateAutoUpdatedViewports@RenderTarget@Ogre@@UAEX_N@Z+0x30,8491,67.4907,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?update@Viewport@Ogre@@QAEXXZ+0x23,8473,67.3476,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_renderScene@Camera@Ogre@@QAEXPAVViewport@2@_N@Z+0xf3,8453,67.1886,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?updateImpl@RenderTarget@Ogre@@MAEXXZ+0xb,8126,64.5895,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_beginUpdate@RenderTarget@Ogre@@UAEXXZ+0xb,8124,64.5736,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?preRenderTargetUpdate@CompositorChain@Ogre@@UAEXABURenderTargetEvent@2@@Z+0x6c,8117,64.5179,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_renderScene@SceneManager@Ogre@@UAEXPAVCamera@2@PAVViewport@2@_N@Z+0x5c0,5905,46.9359,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?renderVisibleObjectsDefaultSequence@SceneManager@Ogre@@MAEXXZ+0xd0,5611,44.599,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?renderObjects@SceneManager@Ogre@@MAEXABVQueuedRenderableCollection@2@W4OrganisationMode@32@_N2PBV?$HashedVector@PAVLight@Ogre@@@2@@Z+0x45,5593,44.4559,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?acceptVisitor@QueuedRenderableCollection@Ogre@@QBEXPAVQueuedRenderableVisitor@2@W4OrganisationMode@12@@Z+0xf6,5311,42.2145,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?acceptVisitorGrouped@QueuedRenderableCollection@Ogre@@IBEXPAVQueuedRenderableVisitor@2@@Z+0x6a,5185,41.2129,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?visit@SceneMgrQueuedRenderableVisitor@SceneManager@Ogre@@UAEXPAVRenderable@3@@Z+0x35,5158,40.9983,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_renderQueueGroupObjects@SceneManager@Ogre@@UAEXPAVRenderQueueGroup@2@W4OrganisationMode@QueuedRenderableCollection@2@@Z+0x111,3900,30.9991,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?renderBasicQueueGroupObjects@SceneManager@Ogre@@MAEXPAVRenderQueueGroup@2@W4OrganisationMode@QueuedRenderableCollection@2@@Z+0x8c,3612,28.71,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_renderScene@SceneManager@Ogre@@UAEXPAVCamera@2@PAVViewport@2@_N@Z+0x246,2652,21.0794,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?renderSingleObject@SceneManager@Ogre@@MAEXPAVRenderable@2@PBVPass@2@_N2PBV?$HashedVector@PAVLight@Ogre@@@2@@Z+0x9a0,2557,20.3243,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?prepareShadowTextures@SceneManager@Ogre@@UAEXPAVCamera@2@PAVViewport@2@PBV?$HashedVector@PAVLight@Ogre@@@2@@Z+0x39f,2543,20.213,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_issueRenderOp@SceneManager@Ogre@@UAEXPAVRenderable@2@PBVPass@2@@Z+0x30,2420,19.2354,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_renderScene@SceneManager@Ogre@@UAEXPAVCamera@2@PAVViewport@2@_N@Z+0x3cb,2071,16.4613,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_findVisibleObjects@SceneManager@Ogre@@UAEXPAVCamera@2@PAUVisibleObjectsBoundsInfo@2@_N@Z+0x3a,2070,16.4534,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_findVisibleObjects@SceneNode@Ogre@@UAEXPAVCamera@2@PAVRenderQueue@2@PAUVisibleObjectsBoundsInfo@2@_N33@Z+0x89,1995,15.8572,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_6175c0,1809,14.3788,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_6176a0,1808,14.3709,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_findVisibleObjects@SceneNode@Ogre@@UAEXPAVCamera@2@PAVRenderQueue@2@PAUVisibleObjectsBoundsInfo@2@_N33@Z+0x51,1796,14.2755,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_renderQueueGroupObjects@SceneManager@Ogre@@UAEXPAVRenderQueueGroup@2@W4OrganisationMode@QueuedRenderableCollection@2@@Z+0xb6,1710,13.5919,12581,19.999
fourteam_prefix,36068,WINMM.dll@6dfa0000!BZROpenShim::`anonymous namespace'::ProcessVisibleObjectHook+0x170,1702,13.5283,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?renderTextureShadowCasterQueueGroupObjects@SceneManager@Ogre@@MAEXPAVRenderQueueGroup@2@W4OrganisationMode@QueuedRenderableCollection@2@@Z+0x124,1700,13.5124,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_617600,1692,13.4489,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_4b6f10,1676,13.3217,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_4b6db0,1675,13.3137,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_issueRenderOp@SceneManager@Ogre@@UAEXPAVRenderable@2@PBVPass@2@@Z+0x73,1538,12.2248,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?renderSingleObject@SceneManager@Ogre@@MAEXPAVRenderable@2@PBVPass@2@_N2PBV?$HashedVector@PAVLight@Ogre@@@2@@Z+0xaf4,1492,11.8592,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?processVisibleObject@RenderQueue@Ogre@@QAEXPAVMovableObject@2@PAVCamera@2@_NPAUVisibleObjectsBoundsInfo@2@@Z+0xb0,1242,9.872,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_493ec0,1064,8.4572,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?updateGpuProgramParameters@SceneManager@Ogre@@MAEXPBVPass@2@@Z+0x62,937,7.4477,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?renderSingleObject@SceneManager@Ogre@@MAEXPAVRenderable@2@PBVPass@2@_N2PBV?$HashedVector@PAVLight@Ogre@@@2@@Z+0x322,896,7.1219,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?queryLights@MovableObject@Ogre@@UBEABV?$HashedVector@PAVLight@Ogre@@@2@XZ+0xc4,892,7.0901,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?findLights@SceneNode@Ogre@@UBEXAAV?$HashedVector@PAVLight@Ogre@@@2@MI@Z+0x29,892,7.0901,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_populateLightList@SceneManager@Ogre@@UAEXPBVSceneNode@2@MAAV?$HashedVector@PAVLight@Ogre@@@2@I@Z+0x2e,888,7.0583,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_618060,848,6.7403,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?updateGpuProgramParameters@SceneManager@Ogre@@MAEXPBVPass@2@@Z+0x8b,707,5.6196,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_62bc80,691,5.4924,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_62bd40,688,5.4686,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_4deec0,685,5.4447,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_4ebfd0,680,5.405,12581,19.999
fourteam_prefix,36068,WINMM.dll@6dfa0000!BZROpenShim::`anonymous namespace'::AutoSaveWorldUpdateRenderQueueHook+0x16,670,5.3255,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_populateLightList@SceneManager@Ogre@@UAEXABVVector3@2@MAAV?$HashedVector@PAVLight@Ogre@@@2@I@Z+0x140,669,5.3175,12581,19.999
fourteam_prefix,36068,KERNELBASE.dll!GetFileAttributesExW+0x13,664,5.2778,12581,19.999
fourteam_prefix,36068,WINMM.dll@6dfa0000!__std_fs_get_stats+0x9e,664,5.2778,12581,19.999
fourteam_prefix,36068,ntdll.dll!_ZwQueryFullAttributesFile@8+0xc,644,5.1188,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_4933e0,633,5.0314,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_updateAutoParams@Pass@Ogre@@QBEXPBVAutoParamDataSource@2@G@Z+0x103,601,4.777,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?updateGpuProgramParameters@SceneManager@Ogre@@MAEXPBVPass@2@@Z+0xdd,568,4.5147,12581,19.999
fourteam_prefix,36068,RenderSystem_Direct3D11.dll!?bindGpuProgramParameters@D3D11RenderSystem@Ogre@@UAEXW4GpuProgramType@2@V?$SharedPtr@VGpuProgramParameters@Ogre@@@2@G@Z+0x16a,496,3.9425,12581,19.999
fourteam_prefix,36068,RenderSystem_Direct3D11.dll!?bindGpuProgramParameters@D3D11RenderSystem@Ogre@@UAEXW4GpuProgramType@2@V?$SharedPtr@VGpuProgramParameters@Ogre@@@2@G@Z+0x90,475,3.7755,12581,19.999
fourteam_prefix,36068,WINMM.dll@6dfa0000!std::filesystem::exists+0x3e,459,3.6484,12581,19.999
fourteam_prefix,36068,WINMM.dll@6dfa0000!BZROpenShim::AutoSaveTick+0x10b,459,3.6484,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_497aa0,454,3.6086,12581,19.999
fourteam_prefix,36068,ntdll.dll!_ZwQueryVirtualMemory@24+0xc,444,3.5291,12581,19.999
fourteam_prefix,36068,WINMM.dll@6dfa0000!BZROpenShim::`anonymous namespace'::GetGameObjectActualTeam+0x42,444,3.5291,12581,19.999
fourteam_prefix,36068,WINMM.dll@6dfa0000!BZROpenShim::TargetReticlePopupRecentHitGetterHook+0x3c,440,3.4973,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_442e70,429,3.4099,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_updateRenderQueue@Entity@Ogre@@UAEXPAVRenderQueue@2@@Z+0x1ed,424,3.3702,12581,19.999
