label,thread,symbol,module,self_samples,self_percent,total_samples,window_seconds
fourteam_prefix,36068,ntdll.dll!_ZwQueryFullAttributesFile@8+0xc,ntdll.dll,644,5.1188,12581,19.999
fourteam_prefix,36068,ntdll.dll!_ZwQueryVirtualMemory@24+0xc,ntdll.dll,444,3.5291,12581,19.999
fourteam_prefix,36068,MSVCR120.dll!memmove+0xc9,MSVCR120.dll,172,1.3671,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_461fd0,battlezone98redux.exe,134,1.0651,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_687340,battlezone98redux.exe,133,1.0571,12581,19.999
fourteam_prefix,36068,RenderSystem_Direct3D11.dll!?bindGpuProgramParameters@D3D11RenderSystem@Ogre@@UAEXW4GpuProgramType@2@V?$SharedPtr@VGpuProgramParameters@Ogre@@@2@G@Z+0x54a,RenderSystem_Direct3D11.dll,108,0.8584,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_4933e0,battlezone98redux.exe,107,0.8505,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_446360,battlezone98redux.exe,94,0.7472,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_4428b0,battlezone98redux.exe,93,0.7392,12581,19.999
fourteam_prefix,36068,MSVCR120.dll!floor+0x15,MSVCR120.dll,87,0.6915,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_81fe60,battlezone98redux.exe,85,0.6756,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?isVisible@ShadowRenderable@Ogre@@UBE_NXZ+0x236,OgreMain.dll,82,0.6518,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_493330,battlezone98redux.exe,75,0.5961,12581,19.999
fourteam_prefix,36068,win32u.dll!_NtUserPeekMessage@24+0xc,win32u.dll,66,0.5246,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_62e710,battlezone98redux.exe,65,0.5167,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_4f90a0,battlezone98redux.exe,64,0.5087,12581,19.999
fourteam_prefix,36068,MSVCR120.dll!memmove+0xc7,MSVCR120.dll,61,0.4849,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_440130,battlezone98redux.exe,60,0.4769,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_4461b0,battlezone98redux.exe,56,0.4451,12581,19.999
fourteam_prefix,36068,MSVCR120.dll!floor+0x19,MSVCR120.dll,54,0.4292,12581,19.999
fourteam_prefix,36068,ntdll.dll!_ZwReleaseSemaphore@12+0xc,ntdll.dll,52,0.4133,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_43fb30,battlezone98redux.exe,51,0.4054,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_updateBounds@SceneNode@Ogre@@UAEXXZ+0x19c,OgreMain.dll,48,0.3815,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_820180,battlezone98redux.exe,48,0.3815,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_4f90f0,battlezone98redux.exe,48,0.3815,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_439d00,battlezone98redux.exe,46,0.3656,12581,19.999
fourteam_prefix,36068,d3d11.dll+0x30d82,d3d11.dll,44,0.3497,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?getParameters@GpuProgramUsage@Ogre@@QAE?AV?$SharedPtr@VGpuProgramParameters@Ogre@@@2@XZ+0xe7,OgreMain.dll,44,0.3497,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?getHasInstanceData@VertexBufferBinding@Ogre@@UBE_NXZ+0x5,OgreMain.dll,44,0.3497,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_444ba0,battlezone98redux.exe,43,0.3418,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_findVisibleObjects@SceneNode@Ogre@@UAEXPAVCamera@2@PAVRenderQueue@2@PAUVisibleObjectsBoundsInfo@2@_N33@Z+0x7e,OgreMain.dll,42,0.3338,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?getHasInstanceData@VertexBufferBinding@Ogre@@UBE_NXZ+0x17,OgreMain.dll,42,0.3338,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_62e070,battlezone98redux.exe,41,0.3259,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?lock@HardwareBuffer@Ogre@@UAEPAXIIW4LockOptions@12@W4UploadOptions@12@@Z+0x19c,OgreMain.dll,41,0.3259,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_784180,battlezone98redux.exe,39,0.31,12581,19.999
fourteam_prefix,36068,d3d11.dll!CreateDirect3D11DeviceFromDXGIDevice+0x9f925,d3d11.dll,39,0.31,12581,19.999
fourteam_prefix,36068,MSVCR120.dll!__libm_sse2_acosf+0xa6,MSVCR120.dll,37,0.2941,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_440210,battlezone98redux.exe,36,0.2861,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_4ebfd0,battlezone98redux.exe,35,0.2782,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_4440d0,battlezone98redux.exe,34,0.2702,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?getHasInstanceData@VertexBufferBinding@Ogre@@UBE_NXZ+0x13,OgreMain.dll,34,0.2702,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?isHardwareAnimationEnabled@Entity@Ogre@@QAE_NXZ+0x28,OgreMain.dll,34,0.2702,12581,19.999
fourteam_prefix,36068,d3d11.dll+0x27010,d3d11.dll,34,0.2702,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?isInLightRange@Light@Ogre@@QBE_NABVSphere@2@@Z+0x172,OgreMain.dll,34,0.2702,12581,19.999
fourteam_prefix,36068,RenderSystem_Direct3D11.dll!?_render@D3D11RenderSystem@Ogre@@UAEXABVRenderOperation@2@@Z+0x5b,RenderSystem_Direct3D11.dll,33,0.2623,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_62bf70,battlezone98redux.exe,32,0.2544,12581,19.999
fourteam_prefix,36068,ntdll.dll!_ZwTraceEvent@16+0xc,ntdll.dll,32,0.2544,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_784620,battlezone98redux.exe,32,0.2544,12581,19.999
fourteam_prefix,36068,RenderSystem_Direct3D11.dll!?getILayoutByShader@D3D11VertexDeclaration@Ogre@@IAEPAUID3D11InputLayout@@PAVD3D11HLSLProgram@2@PAVVertexBufferBinding@2@@Z+0x6a,RenderSystem_Direct3D11.dll,32,0.2544,12581,19.999
fourteam_prefix,36068,RenderSystem_Direct3D11.dll!?getILayoutByShader@D3D11VertexDeclaration@Ogre@@IAEPAUID3D11InputLayout@@PAVD3D11HLSLProgram@2@PAVVertexBufferBinding@2@@Z+0x24f,RenderSystem_Direct3D11.dll,31,0.2464,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_60f320,battlezone98redux.exe,31,0.2464,12581,19.999
fourteam_prefix,36068,d3d11.dll!D3D11CoreCreateDevice+0x26530,d3d11.dll,31,0.2464,12581,19.999
fourteam_prefix,36068,MSVCR120.dll!__libm_sse2_acosf+0x4c,MSVCR120.dll,31,0.2464,12581,19.999
fourteam_prefix,36068,d3d11.dll+0x2b4fb,d3d11.dll,29,0.2305,12581,19.999
fourteam_prefix,36068,RenderSystem_Direct3D11.dll!?bindToShader@D3D11VertexDeclaration@Ogre@@QAEXPAVD3D11HLSLProgram@2@PAVVertexBufferBinding@2@@Z+0xa,RenderSystem_Direct3D11.dll,28,0.2226,12581,19.999
fourteam_prefix,36068,RenderSystem_Direct3D11.dll!?getILayoutByShader@D3D11VertexDeclaration@Ogre@@IAEPAUID3D11InputLayout@@PAVD3D11HLSLProgram@2@PAVVertexBufferBinding@2@@Z+0x56,RenderSystem_Direct3D11.dll,27,0.2146,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_81f1e0,battlezone98redux.exe,27,0.2146,12581,19.999
fourteam_prefix,36068,RenderSystem_Direct3D11.dll!?getILayoutByShader@D3D11VertexDeclaration@Ogre@@IAEPAUID3D11InputLayout@@PAVD3D11HLSLProgram@2@PAVVertexBufferBinding@2@@Z+0x52,RenderSystem_Direct3D11.dll,27,0.2146,12581,19.999
fourteam_prefix,36068,RenderSystem_Direct3D11.dll!?_render@D3D11RenderSystem@Ogre@@UAEXABVRenderOperation@2@@Z+0x97,RenderSystem_Direct3D11.dll,27,0.2146,12581,19.999
fourteam_prefix,36068,RenderSystem_Direct3D11.dll+0x3ee0,RenderSystem_Direct3D11.dll,27,0.2146,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_8203f0,battlezone98redux.exe,27,0.2146,12581,19.999
fourteam_prefix,36068,RenderSystem_Direct3D11.dll!?getMonitorSequentialNumberFromSwapChain@MonitorInfo@Ogre@@QAEGPAUIDXGISwapChain@@_N@Z+0x27a7,RenderSystem_Direct3D11.dll,25,0.1987,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?isHardwareAnimationEnabled@Entity@Ogre@@QAE_NXZ+0x43,OgreMain.dll,25,0.1987,12581,19.999
fourteam_prefix,36068,win32u.dll!_NtUserSystemParametersInfo@16+0xc,win32u.dll,25,0.1987,12581,19.999
fourteam_prefix,36068,nvwgf2um.dll!NVENCODEAPI_Thunk+0x2175ea,nvwgf2um.dll,25,0.1987,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_784100,battlezone98redux.exe,24,0.1908,12581,19.999
fourteam_prefix,36068,RenderSystem_Direct3D11.dll!?getD3DVertexBuffer@D3D11HardwareVertexBuffer@Ogre@@QBEPAUID3D11Buffer@@XZ+0x6,RenderSystem_Direct3D11.dll,24,0.1908,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_6111e0,battlezone98redux.exe,23,0.1828,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_findVisibleObjects@SceneNode@Ogre@@UAEXPAVCamera@2@PAVRenderQueue@2@PAUVisibleObjectsBoundsInfo@2@_N33@Z+0x4c,OgreMain.dll,22,0.1749,12581,19.999
fourteam_prefix,36068,ntdll.dll!_ZwReleaseMutant@8+0xc,ntdll.dll,22,0.1749,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_4deaa0,battlezone98redux.exe,21,0.1669,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_445d90,battlezone98redux.exe,21,0.1669,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_81fd40,battlezone98redux.exe,20,0.159,12581,19.999
fourteam_prefix,36068,WINMM.dll@6dfa0000!BZROpenShim::`anonymous namespace'::IsOgreEntityObject+0x44,WINMM.dll@6dfa0000,20,0.159,12581,19.999
fourteam_prefix,36068,RenderSystem_Direct3D11.dll!?getConstantBuffer@D3D11HLSLProgram@Ogre@@QAEPAUID3D11Buffer@@V?$SharedPtr@VGpuProgramParameters@Ogre@@@2@G@Z+0xe7,RenderSystem_Direct3D11.dll,20,0.159,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_440e60,battlezone98redux.exe,20,0.159,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_417910,battlezone98redux.exe,20,0.159,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?addRenderable@RenderQueue@Ogre@@QAEXPAVRenderable@2@EG@Z+0x39,OgreMain.dll,20,0.159,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?touchVertexBufferCopy@HardwareBufferManagerBase@Ogre@@UAEXABVHardwareVertexBufferSharedPtr@2@@Z+0x47,OgreMain.dll,20,0.159,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?getFragmentProgramParameters@Pass@Ogre@@QBE?AV?$SharedPtr@VGpuProgramParameters@Ogre@@@2@XZ+0x86,OgreMain.dll,19,0.151,12581,19.999
fourteam_prefix,36068,OgreMain.dll!??4GpuSharedParametersUsage@Ogre@@QAEAAV01@ABV01@@Z+0x27b5,OgreMain.dll,19,0.151,12581,19.999
fourteam_prefix,36068,d3d11.dll+0x35e90,d3d11.dll,18,0.1431,12581,19.999
fourteam_prefix,36068,RenderSystem_Direct3D11.dll+0x4b38,RenderSystem_Direct3D11.dll,18,0.1431,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_findVisibleObjects@SceneNode@Ogre@@UAEXPAVCamera@2@PAVRenderQueue@2@PAUVisibleObjectsBoundsInfo@2@_N33@Z+0x76,OgreMain.dll,18,0.1431,12581,19.999
fourteam_prefix,36068,win32u.dll!_NtGdiDdDDIGetDeviceState@4+0xc,win32u.dll,18,0.1431,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_442e70,battlezone98redux.exe,18,0.1431,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?ACos@Math@Ogre@@SA?AVRadian@2@M@Z+0x8,OgreMain.dll,18,0.1431,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_440300,battlezone98redux.exe,18,0.1431,12581,19.999
fourteam_prefix,36068,RenderSystem_Direct3D11.dll!?createImpl@D3D11GpuProgramManager@Ogre@@MAEPAVResource@2@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@_K0_NPAVManualResourceLoader@2@W4GpuProgramType@2@0@Z+0x6144,RenderSystem_Direct3D11.dll,18,0.1431,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?getProgram@Pass@Ogre@@IBEABV?$SharedPtr@VGpuProgram@Ogre@@@2@PBQAVGpuProgramUsage@2@@Z+0x44,OgreMain.dll,18,0.1431,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?getDistance@Plane@Ogre@@QBEMABVVector3@2@@Z+0x37,OgreMain.dll,18,0.1431,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?getVertexProgramParameters@Pass@Ogre@@QBE?AV?$SharedPtr@VGpuProgramParameters@Ogre@@@2@XZ+0x127,OgreMain.dll,17,0.1351,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_442f40,battlezone98redux.exe,17,0.1351,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?getProgram@Pass@Ogre@@IBEABV?$SharedPtr@VGpuProgram@Ogre@@@2@PBQAVGpuProgramUsage@2@@Z+0x38,OgreMain.dll,17,0.1351,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_4621a0,battlezone98redux.exe,17,0.1351,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_492d60,battlezone98redux.exe,16,0.1272,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_774f80,battlezone98redux.exe,16,0.1272,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_6116a0,battlezone98redux.exe,16,0.1272,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?getFragmentProgramParameters@Pass@Ogre@@QBE?AV?$SharedPtr@VGpuProgramParameters@Ogre@@@2@XZ+0x7a,OgreMain.dll,15,0.1192,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_45d240,battlezone98redux.exe,15,0.1192,12581,19.999
fourteam_prefix,36068,KERNEL32.DLL!GetCurrentThreadId,KERNEL32.DLL,15,0.1192,12581,19.999
fourteam_prefix,36068,RenderSystem_Direct3D11.dll!?getMonitorSequentialNumberFromSwapChain@MonitorInfo@Ogre@@QAEGPAUIDXGISwapChain@@_N@Z+0x2797,RenderSystem_Direct3D11.dll,15,0.1192,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?isHardwareAnimationEnabled@Entity@Ogre@@QAE_NXZ+0x2c,OgreMain.dll,15,0.1192,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?isInLightRange@Light@Ogre@@QBE_NABVSphere@2@@Z+0x175,OgreMain.dll,15,0.1192,12581,19.999
fourteam_prefix,36068,d3d11.dll!CreateDirect3D11DeviceFromDXGIDevice+0x9da48,d3d11.dll,15,0.1192,12581,19.999
fourteam_prefix,36068,MSVCR120.dll!__libm_sse2_asinf+0x50,MSVCR120.dll,15,0.1192,12581,19.999
fourteam_prefix,36068,ntdll.dll!_ZwWaitForSingleObject@12+0xc,ntdll.dll,14,0.1113,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?touchVertexBufferCopy@HardwareBufferManagerBase@Ogre@@UAEXABVHardwareVertexBufferSharedPtr@2@@Z+0x7e,OgreMain.dll,14,0.1113,12581,19.999
fourteam_prefix,36068,ntdll.dll!_ZwWaitForMultipleObjects@20+0xc,ntdll.dll,14,0.1113,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?clone@Animation@Ogre@@QBEPAV12@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z+0x249,OgreMain.dll,14,0.1113,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?createTechnique@Material@Ogre@@QAEPAVTechnique@2@XZ+0xb03,OgreMain.dll,14,0.1113,12581,19.999
fourteam_prefix,36068,OgreMain.dll+0x3942d,OgreMain.dll,14,0.1113,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_5c1b30,battlezone98redux.exe,14,0.1113,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_4415f0,battlezone98redux.exe,14,0.1113,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!_Vector_iterator<>,battlezone98redux.exe,14,0.1113,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_820570,battlezone98redux.exe,14,0.1113,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?getNumWorldTransforms@SubEntity@Ogre@@UBEGXZ+0xe,OgreMain.dll,14,0.1113,12581,19.999
fourteam_prefix,36068,d3d11.dll+0x2703b,d3d11.dll,14,0.1113,12581,19.999
fourteam_prefix,36068,"battlezone98redux.exe!FID_conflict:_Vector_const_iterator<class_std::_Vector_val<struct_std::_Simple_types<class_std::shared_ptr<struct_Concurrency::details::_Task_impl<struct_std::pair<unsigned_char,class_Concurrency::details::_CancellationTokenState*>_>_>_>_>_>",battlezone98redux.exe,14,0.1113,12581,19.999
