entry_va,entry_rva,name,namespace,signature,calling_convention,return_type,parameter_count,parameter_types,is_thunk,is_external,body_min_va,body_max_va
4198400,4096,FUN_00401000,Global,undefined FUN_00401000(void),unknown,undefined,0,,False,False,4198400,4198412
4198416,4112,FUN_00401010,Global,undefined FUN_00401010(void),unknown,undefined,0,,False,False,4198416,4198428
4198432,4128,FUN_00401020,Global,undefined FUN_00401020(void),unknown,undefined,0,,False,False,4198432,4198446
4198448,4144,FUN_00401030,Global,undefined FUN_00401030(void),unknown,undefined,0,,False,False,4198448,4198460
4198464,4160,FUN_00401040,Global,undefined FUN_00401040(void),unknown,undefined,0,,False,False,4198464,4198491
4198496,4192,FUN_00401060,Global,undefined FUN_00401060(void),unknown,undefined,0,,False,False,4198496,4198510
4198512,4208,FUN_00401070,Global,undefined FUN_00401070(void),unknown,undefined,0,,False,False,4198512,4198526
4198528,4224,FUN_00401080,Global,undefined FUN_00401080(void),unknown,undefined,0,,False,False,4198528,4198542
4198544,4240,FUN_00401090,Global,undefined FUN_00401090(void),unknown,undefined,0,,False,False,4198544,4198558
4198560,4256,FUN_004010a0,Global,undefined FUN_004010a0(void),unknown,undefined,0,,False,False,4198560,4198574
4198576,4272,FUN_004010b0,Global,undefined FUN_004010b0(void),unknown,undefined,0,,False,False,4198576,4198590
4198592,4288,FUN_004010c0,Global,undefined FUN_004010c0(void),unknown,undefined,0,,False,False,4198592,4198606
4198608,4304,FUN_004010d0,Global,undefined FUN_004010d0(void),unknown,undefined,0,,False,False,4198608,4198622
4198624,4320,FUN_004010e0,Global,undefined FUN_004010e0(void),unknown,undefined,0,,False,False,4198624,4198638
4198640,4336,FUN_004010f0,Global,undefined FUN_004010f0(void),unknown,undefined,0,,False,False,4198640,4198654
4198656,4352,FUN_00401100,Global,undefined FUN_00401100(void),unknown,undefined,0,,False,False,4198656,4198670
4198672,4368,FUN_00401110,Global,undefined FUN_00401110(void),unknown,undefined,0,,False,False,4198672,4198686
4198688,4384,FUN_00401120,Global,undefined FUN_00401120(void),unknown,undefined,0,,False,False,4198688,4198715
4198720,4416,FUN_00401140,Global,undefined FUN_00401140(void),unknown,undefined,0,,False,False,4198720,4198747
4198752,4448,FUN_00401160,Global,undefined FUN_00401160(void),unknown,undefined,0,,False,False,4198752,4198779
4198784,4480,FUN_00401180,Global,undefined FUN_00401180(void),unknown,undefined,0,,False,False,4198784,4198801
4198816,4512,FUN_004011a0,Global,undefined FUN_004011a0(void),unknown,undefined,0,,False,False,4198816,4198833
4198848,4544,FUN_004011c0,Global,undefined FUN_004011c0(void),unknown,undefined,0,,False,False,4198848,4198860
4198864,4560,FUN_004011d0,Global,undefined FUN_004011d0(void),unknown,undefined,0,,False,False,4198864,4198876
4198880,4576,FUN_004011e0,Global,undefined FUN_004011e0(void),unknown,undefined,0,,False,False,4198880,4198894
4198896,4592,FUN_004011f0,Global,undefined FUN_004011f0(void),unknown,undefined,0,,False,False,4198896,4198908
4198912,4608,FUN_00401200,Global,undefined FUN_00401200(void),unknown,undefined,0,,False,False,4198912,4198939
4198944,4640,FUN_00401220,Global,undefined FUN_00401220(void),unknown,undefined,0,,False,False,4198944,4198958
4198960,4656,FUN_00401230,Global,undefined FUN_00401230(void),unknown,undefined,0,,False,False,4198960,4198974
4198976,4672,FUN_00401240,Global,undefined FUN_00401240(void),unknown,undefined,0,,False,False,4198976,4198990
4198992,4688,FUN_00401250,Global,undefined FUN_00401250(void),unknown,undefined,0,,False,False,4198992,4199006
4199008,4704,FUN_00401260,Global,undefined FUN_00401260(void),unknown,undefined,0,,False,False,4199008,4199022
4199024,4720,FUN_00401270,Global,undefined FUN_00401270(void),unknown,undefined,0,,False,False,4199024,4199038
4199040,4736,FUN_00401280,Global,undefined FUN_00401280(void),unknown,undefined,0,,False,False,4199040,4199054
4199056,4752,FUN_00401290,Global,undefined FUN_00401290(void),unknown,undefined,0,,False,False,4199056,4199070
4199072,4768,FUN_004012a0,Global,undefined FUN_004012a0(void),unknown,undefined,0,,False,False,4199072,4199086
4199088,4784,FUN_004012b0,Global,undefined FUN_004012b0(void),unknown,undefined,0,,False,False,4199088,4199102
4199104,4800,FUN_004012c0,Global,undefined FUN_004012c0(void),unknown,undefined,0,,False,False,4199104,4199118
4199120,4816,FUN_004012d0,Global,undefined FUN_004012d0(void),unknown,undefined,0,,False,False,4199120,4199134
4199136,4832,FUN_004012e0,Global,undefined FUN_004012e0(void),unknown,undefined,0,,False,False,4199136,4199163
4199168,4864,FUN_00401300,Global,undefined FUN_00401300(void),unknown,undefined,0,,False,False,4199168,4199195
4199200,4896,FUN_00401320,Global,undefined FUN_00401320(void),unknown,undefined,0,,False,False,4199200,4199212
4199216,4912,FUN_00401330,Global,undefined FUN_00401330(void),unknown,undefined,0,,False,False,4199216,4199228
4199232,4928,FUN_00401340,Global,undefined FUN_00401340(void),unknown,undefined,0,,False,False,4199232,4199246
4199248,4944,FUN_00401350,Global,undefined FUN_00401350(void),unknown,undefined,0,,False,False,4199248,4199260
4199264,4960,FUN_00401360,Global,undefined FUN_00401360(void),unknown,undefined,0,,False,False,4199264,4199291
4199296,4992,FUN_00401380,Global,undefined FUN_00401380(void),unknown,undefined,0,,False,False,4199296,4199310
4199312,5008,FUN_00401390,Global,undefined FUN_00401390(void),unknown,undefined,0,,False,False,4199312,4199326
4199328,5024,FUN_004013a0,Global,undefined FUN_004013a0(void),unknown,undefined,0,,False,False,4199328,4199342
4199344,5040,FUN_004013b0,Global,undefined FUN_004013b0(void),unknown,undefined,0,,False,False,4199344,4199358
4199360,5056,FUN_004013c0,Global,undefined FUN_004013c0(void),unknown,undefined,0,,False,False,4199360,4199374
4199376,5072,FUN_004013d0,Global,undefined FUN_004013d0(void),unknown,undefined,0,,False,False,4199376,4199390
4199392,5088,FUN_004013e0,Global,undefined FUN_004013e0(void),unknown,undefined,0,,False,False,4199392,4199406
4199408,5104,FUN_004013f0,Global,undefined FUN_004013f0(void),unknown,undefined,0,,False,False,4199408,4199422
4199424,5120,FUN_00401400,Global,undefined FUN_00401400(void),unknown,undefined,0,,False,False,4199424,4199438
4199440,5136,FUN_00401410,Global,undefined FUN_00401410(void),unknown,undefined,0,,False,False,4199440,4199454
