name,address_va,address_rva,symbol_type,source,namespace
timeBeginPeriod,1,-4194303,Function,IMPORTED,WINMM.DLL
timeEndPeriod,2,-4194302,Function,IMPORTED,WINMM.DLL
joyGetPosEx,3,-4194301,Function,IMPORTED,WINMM.DLL
joyGetDevCapsA,4,-4194300,Function,IMPORTED,WINMM.DLL
joyGetNumDevs,5,-4194299,Function,IMPORTED,WINMM.DLL
mmioGetInfo,6,-4194298,Function,IMPORTED,WINMM.DLL
mmioSeek,7,-4194297,Function,IMPORTED,WINMM.DLL
mmioDescend,8,-4194296,Function,IMPORTED,WINMM.DLL
mmioSetInfo,9,-4194295,Function,IMPORTED,WINMM.DLL
mmioAscend,10,-4194294,Function,IMPORTED,WINMM.DLL
mmioAdvance,11,-4194293,Function,IMPORTED,WINMM.DLL
mmioClose,12,-4194292,Function,IMPORTED,WINMM.DLL
mmioCreateChunk,13,-4194291,Function,IMPORTED,WINMM.DLL
mmioWrite,14,-4194290,Function,IMPORTED,WINMM.DLL
DirectSoundCreate,15,-4194289,Function,IMPORTED,DSOUND.DLL
GetModuleHandleA,16,-4194288,Function,IMPORTED,KERNEL32.DLL
GetSystemDefaultLCID,17,-4194287,Function,IMPORTED,KERNEL32.DLL
FormatMessageA,18,-4194286,Function,IMPORTED,KERNEL32.DLL
Sleep,19,-4194285,Function,IMPORTED,KERNEL32.DLL
PulseEvent,20,-4194284,Function,IMPORTED,KERNEL32.DLL
SetEvent,21,-4194283,Function,IMPORTED,KERNEL32.DLL
InitializeCriticalSection,22,-4194282,Function,IMPORTED,KERNEL32.DLL
CreateEventA,23,-4194281,Function,IMPORTED,KERNEL32.DLL
LeaveCriticalSection,24,-4194280,Function,IMPORTED,KERNEL32.DLL
SetThreadPriority,25,-4194279,Function,IMPORTED,KERNEL32.DLL
EnterCriticalSection,26,-4194278,Function,IMPORTED,KERNEL32.DLL
DeleteCriticalSection,27,-4194277,Function,IMPORTED,KERNEL32.DLL
OutputDebugStringA,28,-4194276,Function,IMPORTED,KERNEL32.DLL
CloseHandle,29,-4194275,Function,IMPORTED,KERNEL32.DLL
RaiseException,30,-4194274,Function,IMPORTED,KERNEL32.DLL
WaitForSingleObjectEx,31,-4194273,Function,IMPORTED,KERNEL32.DLL
GetCurrentThreadId,32,-4194272,Function,IMPORTED,KERNEL32.DLL
GetCurrentThread,33,-4194271,Function,IMPORTED,KERNEL32.DLL
TerminateThread,34,-4194270,Function,IMPORTED,KERNEL32.DLL
SetPriorityClass,35,-4194269,Function,IMPORTED,KERNEL32.DLL
GetCurrentProcess,36,-4194268,Function,IMPORTED,KERNEL32.DLL
GetLastError,37,-4194267,Function,IMPORTED,KERNEL32.DLL
TlsGetValue,38,-4194266,Function,IMPORTED,KERNEL32.DLL
SetWaitableTimer,39,-4194265,Function,IMPORTED,KERNEL32.DLL
GetQueuedCompletionStatus,40,-4194264,Function,IMPORTED,KERNEL32.DLL
LoadLibraryA,41,-4194263,Function,IMPORTED,KERNEL32.DLL
WaitForSingleObject,42,-4194262,Function,IMPORTED,KERNEL32.DLL
SleepEx,43,-4194261,Function,IMPORTED,KERNEL32.DLL
TlsSetValue,44,-4194260,Function,IMPORTED,KERNEL32.DLL
WideCharToMultiByte,45,-4194259,Function,IMPORTED,KERNEL32.DLL
InitializeCriticalSectionAndSpinCount,46,-4194258,Function,IMPORTED,KERNEL32.DLL
GetSystemTimeAsFileTime,47,-4194257,Function,IMPORTED,KERNEL32.DLL
VerifyVersionInfoA,48,-4194256,Function,IMPORTED,KERNEL32.DLL
SetLastError,49,-4194255,Function,IMPORTED,KERNEL32.DLL
QueueUserAPC,50,-4194254,Function,IMPORTED,KERNEL32.DLL
CreateEventW,51,-4194253,Function,IMPORTED,KERNEL32.DLL
PostQueuedCompletionStatus,52,-4194252,Function,IMPORTED,KERNEL32.DLL
WaitForMultipleObjects,53,-4194251,Function,IMPORTED,KERNEL32.DLL
CreateIoCompletionPort,54,-4194250,Function,IMPORTED,KERNEL32.DLL
TlsAlloc,55,-4194249,Function,IMPORTED,KERNEL32.DLL
CreateWaitableTimerA,56,-4194248,Function,IMPORTED,KERNEL32.DLL
TlsFree,57,-4194247,Function,IMPORTED,KERNEL32.DLL
MultiByteToWideChar,58,-4194246,Function,IMPORTED,KERNEL32.DLL
AllocConsole,59,-4194245,Function,IMPORTED,KERNEL32.DLL
