entry_rva,ghidra_name,ghidra_signature,pdb_name,pdb_segment,pdb_offset
26224,FUN_00406670,undefined FUN_00406670(void),_StartMusic,1,22128
26656,FUN_00406820,undefined FUN_00406820(void),_PauseMusic,1,22560
26752,FUN_00406880,undefined FUN_00406880(void),_UnPauseMusic,1,22656
26848,FUN_004068e0,undefined FUN_004068e0(void),_StopMusic,1,22752
27040,FUN_004069a0,undefined FUN_004069a0(void),_CheckCDLooping,1,22944
27408,FUN_00406b10,undefined FUN_00406b10(void),_TestSFX,1,23312
27712,FUN_00406c40,undefined FUN_00406c40(void),_TestVoice,1,23616
28016,FUN_00406d70,undefined FUN_00406d70(void),_QueueCB,1,23920
28736,FUN_00407040,undefined FUN_00407040(void),_KillCBQueue,1,24640
28864,FUN_004070c0,undefined FUN_004070c0(void),_DeadMenDontUseCBs,1,24768
29152,FUN_004071e0,undefined FUN_004071e0(void),??0DirectSound_AudioInterface@@QAE@PAVTheoraVideoClip@@HH@Z,1,25056
29904,FUN_004074d0,undefined FUN_004074d0(void),??_EDirectSound_AudioInterface@@UAEPAXI@Z,1,25808
29952,FUN_00407500,undefined FUN_00407500(void),??1DirectSound_AudioInterface@@UAE@XZ,1,25856
30176,FUN_004075e0,undefined FUN_004075e0(void),?insertData@DirectSound_AudioInterface@@UAEXPAMH@Z,1,26080
30800,FUN_00407850,undefined FUN_00407850(void),?FillBufferWithQuiet@DirectSound_AudioInterface@@AAEXXZ,1,26704
30976,FUN_00407900,undefined FUN_00407900(void),?NotificationThreadProc@DirectSound_AudioInterface@@CGIPAX@Z,1,26880
31536,FUN_00407b30,undefined FUN_00407b30(void),?createInstance@DirectSound_TheoraAudioInterfaceFactory@@UAEPAVTheoraAudioInterface@@PAVTheoraVideoClip@@HH@Z,1,27440
31648,FUN_00407ba0,undefined FUN_00407ba0(void),_CDInitVolume,1,27552
31840,FUN_00407c60,undefined FUN_00407c60(void),_CDInit,1,27744
32096,FUN_00407d60,undefined FUN_00407d60(void),_CDStopAudio,1,28000
32128,FUN_00407d80,undefined FUN_00407d80(void),_CDPlayAudio,1,28032
32208,FUN_00407dd0,undefined FUN_00407dd0(void),_PlayerInit,1,28112
32416,FUN_00407ea0,undefined FUN_00407ea0(void),_PlayerDone,1,28320
32480,FUN_00407ee0,undefined FUN_00407ee0(void),_PlayerState,1,28384
32736,FUN_00407fe0,undefined FUN_00407fe0(void),_PlayerPlayOrPause,1,28640
32928,FUN_004080a0,undefined FUN_004080a0(void),_PlayerStop,1,28832
32992,FUN_004080e0,undefined FUN_004080e0(void),_PlayerDisplayInfo,1,28896
33104,FUN_00408150,undefined FUN_00408150(void),_PlayerUpdate,1,29008
33984,FUN_004084c0,undefined FUN_004084c0(void),_ClampZ,1,29888
34048,FUN_00408500,undefined FUN_00408500(void),_Draw_RadarMesh,1,29952
34544,FUN_004086f0,undefined FUN_004086f0(void),__matherr,1,30448
34560,FUN_00408700,undefined FUN_00408700(void),_Init_D3D_Device,1,30464
38720,FUN_00409740,undefined FUN_00409740(void),?OnLayerChanged@cUI_View@@MAEXXZ,1,34624
44736,FUN_0040aec0,undefined FUN_0040aec0(void),_GetCarBBox,1,40640
49088,FUN_0040bfc0,undefined FUN_0040bfc0(void),_ClearCollision,1,44992
49232,FUN_0040c050,undefined FUN_0040c050(void),_InitCollisions,1,45136
49712,FUN_0040c230,undefined FUN_0040c230(void),_DeleteCollisionEntity,1,45616
49920,FUN_0040c300,undefined FUN_0040c300(void),_DeleteCollisionHandler,1,45824
50080,FUN_0040c3a0,undefined FUN_0040c3a0(void),_CheckEntityCollisions,1,45984
51392,FUN_0040c8c0,undefined FUN_0040c8c0(void),_preclsn,1,47296
51872,FUN_0040caa0,undefined FUN_0040caa0(void),_NextCollidable,1,47776
53584,FUN_0040d150,undefined FUN_0040d150(void),_Cgeom_Create,1,49488
54256,FUN_0040d3f0,undefined FUN_0040d3f0(void),_Cgeom_PointTest,1,50160
55024,FUN_0040d6f0,undefined FUN_0040d6f0(void),_InitEuler,1,50928
55136,FUN_0040d760,undefined FUN_0040d760(void),_WorldVelocity,1,51040
56016,FUN_0040dad0,undefined FUN_0040dad0(void),_DeleteFloorHandler,1,51920
56144,FUN_0040db50,undefined FUN_0040db50(void),_Floor_DeleteEntity,1,52048
56224,FUN_0040dba0,undefined FUN_0040dba0(void),_Floor_GetFloorEx,1,52128
56912,FUN_0040de50,undefined FUN_0040de50(void),_PointEntityCheck,1,52816
61120,FUN_0040eec0,undefined FUN_0040eec0(void),??3BoltRender@@SAXPAX@Z,1,57024
61136,FUN_0040eed0,undefined FUN_0040eed0(void),??3BoltRenderClass@@SAXPAX@Z,1,57040
61152,FUN_0040eee0,undefined FUN_0040eee0(void),??0BoltRender@@QAE@PBVBoltRenderClass@@PAUParticleRenderPointer@@PBUMAT_3D@@@Z,1,57056
61504,FUN_0040f040,undefined FUN_0040f040(void),??_EBoltRender@@UAEPAXI@Z,1,57408
61552,FUN_0040f070,undefined FUN_0040f070(void),??1BoltRender@@UAE@XZ,1,57456
61760,FUN_0040f140,undefined FUN_0040f140(void),?Detach@BoltRender@@UAEXPBUMAT_3D@@M@Z,1,57664
61856,FUN_0040f1a0,undefined FUN_0040f1a0(void),??0BoltRenderClass@@QAE@PBV0@PBD@Z,1,57760
62224,FUN_0040f310,undefined FUN_0040f310(void),??_EBoltRenderClass@@UAEPAXI@Z,1,58128
62384,`dynamic_initializer_for_'STATIC_CREATOR'',void __cdecl `dynamic_initializer_for_'STATIC_CREATOR''(void),?Derive@BoltRenderClass@@UBEPAVParticleRenderClass@@PBD@Z,1,58288
62512,`dynamic_initializer_for_'STATIC_CREATOR'',void __cdecl `dynamic_initializer_for_'STATIC_CREATOR''(void),?Simulate@BoltRenderClass@@UAEXM@Z,1,58416
62640,`dynamic_initializer_for_'STATIC_CREATOR'',void __cdecl `dynamic_initializer_for_'STATIC_CREATOR''(void),?Render@BoltRenderClass@@UAEXPAUCAMERA@@@Z,1,58544
66048,FUN_00410200,undefined FUN_00410200(void),?Hash@@YAIPBDI@Z,1,61952
66144,FUN_00410260,undefined FUN_00410260(void),??_EChunkSimulateClass@@UAEPAXI@Z,1,62048
66192,FUN_00410290,undefined FUN_00410290(void),?Derive@ChunkSimulateClass@@UBEPAVParticleSimulateClass@@PBD@Z,1,62096
66336,FUN_00410320,undefined FUN_00410320(void),?Apply@ChunkSimulateClass@@UAEXM@Z,1,62240
67008,FUN_004105c0,undefined FUN_004105c0(void),??3ColorRenderClass@@SAXPAX@Z,1,62912
67104,FUN_00410620,undefined FUN_00410620(void),??1ParticleRender@@UAE@XZ,1,63008
67152,FUN_00410650,undefined FUN_00410650(void),??0ColorRenderClass@@QAE@PBV0@PBD@Z,1,63056
67728,FUN_00410890,undefined FUN_00410890(void),??_EColorRenderClass@@UAEPAXI@Z,1,63632
67776,FUN_004108c0,undefined FUN_004108c0(void),??1TwirlRenderClass@@UAE@XZ,1,63680
67792,FUN_004108d0,undefined FUN_004108d0(void),?Build@ColorRenderClass@@UBEXPAUParticleRenderPointer@@PBUMAT_3D@@@Z,1,63696
67856,FUN_00410910,undefined FUN_00410910(void),?Derive@ColorRenderClass@@UBEPAVParticleRenderClass@@PBD@Z,1,63760
67984,FUN_00410990,undefined FUN_00410990(void),?Simulate@ColorRenderClass@@UAEXM@Z,1,63888
68080,FUN_004109f0,undefined FUN_004109f0(void),??3DustSimulateClass@@SAXPAX@Z,1,63984
