entry_va,entry_rva,name,legacy_name,pdb_advisory_name,name_source,legacy_namespace,confidence,score,margin,methods,signature,legacy_signature,legacy_entry_rva,shared_strings,redux_decomp,legacy_decomp
4198400,4096,FUN_00401000,,,,,,,,,undefined FUN_00401000(void),,,,,
4198416,4112,FUN_00401010,,,,,,,,,undefined FUN_00401010(void),,,,,
4198432,4128,FUN_00401020,,,,,,,,,undefined FUN_00401020(void),,,,,
4198448,4144,FUN_00401030,,,,,,,,,undefined FUN_00401030(void),,,,,
4198464,4160,FUN_00401040,,,,,,,,,undefined FUN_00401040(void),,,,,
4198496,4192,FUN_00401060,,,,,,,,,undefined FUN_00401060(void),,,,,
4198512,4208,FUN_00401070,,,,,,,,,undefined FUN_00401070(void),,,,,
4198528,4224,FUN_00401080,,,,,,,,,undefined FUN_00401080(void),,,,,
4198544,4240,FUN_00401090,,,,,,,,,undefined FUN_00401090(void),,,,,
4198560,4256,FUN_004010a0,,,,,,,,,undefined FUN_004010a0(void),,,,,
4198576,4272,FUN_004010b0,,,,,,,,,undefined FUN_004010b0(void),,,,,
4198592,4288,FUN_004010c0,,,,,,,,,undefined FUN_004010c0(void),,,,,
4198608,4304,FUN_004010d0,,,,,,,,,undefined FUN_004010d0(void),,,,,
4198624,4320,FUN_004010e0,,,,,,,,,undefined FUN_004010e0(void),,,,,
4198640,4336,FUN_004010f0,,,,,,,,,undefined FUN_004010f0(void),,,,,
4198656,4352,FUN_00401100,,,,,,,,,undefined FUN_00401100(void),,,,,
4198672,4368,FUN_00401110,,,,,,,,,undefined FUN_00401110(void),,,,,
4198688,4384,FUN_00401120,,,,,,,,,undefined FUN_00401120(void),,,,,
4198720,4416,FUN_00401140,,,,,,,,,undefined FUN_00401140(void),,,,,
4198752,4448,FUN_00401160,,,,,,,,,undefined FUN_00401160(void),,,,,
4198784,4480,FUN_00401180,,,,,,,,,undefined FUN_00401180(void),,,,,
4198816,4512,FUN_004011a0,,,,,,,,,undefined FUN_004011a0(void),,,,,
4198848,4544,FUN_004011c0,,,,,,,,,undefined FUN_004011c0(void),,,,,
4198864,4560,FUN_004011d0,,,,,,,,,undefined FUN_004011d0(void),,,,,
4198880,4576,FUN_004011e0,,,,,,,,,undefined FUN_004011e0(void),,,,,
4198896,4592,FUN_004011f0,,,,,,,,,undefined FUN_004011f0(void),,,,,
4198912,4608,FUN_00401200,,,,,,,,,undefined FUN_00401200(void),,,,,
4198944,4640,FUN_00401220,,,,,,,,,undefined FUN_00401220(void),,,,,
4198960,4656,FUN_00401230,,,,,,,,,undefined FUN_00401230(void),,,,,
4198976,4672,FUN_00401240,,,,,,,,,undefined FUN_00401240(void),,,,,
4198992,4688,FUN_00401250,,,,,,,,,undefined FUN_00401250(void),,,,,
4199008,4704,FUN_00401260,,,,,,,,,undefined FUN_00401260(void),,,,,
4199024,4720,FUN_00401270,,,,,,,,,undefined FUN_00401270(void),,,,,
4199040,4736,FUN_00401280,,,,,,,,,undefined FUN_00401280(void),,,,,
4199056,4752,FUN_00401290,,,,,,,,,undefined FUN_00401290(void),,,,,
4199072,4768,FUN_004012a0,,,,,,,,,undefined FUN_004012a0(void),,,,,
4199088,4784,FUN_004012b0,,,,,,,,,undefined FUN_004012b0(void),,,,,
4199104,4800,FUN_004012c0,,,,,,,,,undefined FUN_004012c0(void),,,,,
4199120,4816,FUN_004012d0,,,,,,,,,undefined FUN_004012d0(void),,,,,
4199136,4832,FUN_004012e0,,,,,,,,,undefined FUN_004012e0(void),,,,,
4199168,4864,FUN_00401300,,,,,,,,,undefined FUN_00401300(void),,,,,
4199200,4896,FUN_00401320,,,,,,,,,undefined FUN_00401320(void),,,,,
4199216,4912,FUN_00401330,,,,,,,,,undefined FUN_00401330(void),,,,,
4199232,4928,FUN_00401340,,,,,,,,,undefined FUN_00401340(void),,,,,
4199248,4944,FUN_00401350,,,,,,,,,undefined FUN_00401350(void),,,,,
4199264,4960,FUN_00401360,,,,,,,,,undefined FUN_00401360(void),,,,,
4199296,4992,FUN_00401380,,,,,,,,,undefined FUN_00401380(void),,,,,
4199312,5008,FUN_00401390,,,,,,,,,undefined FUN_00401390(void),,,,,
4199328,5024,FUN_004013a0,,,,,,,,,undefined FUN_004013a0(void),,,,,
4199344,5040,FUN_004013b0,,,,,,,,,undefined FUN_004013b0(void),,,,,
