kind,symtype,name,segment,offset,rva
data,0,??_C@_08ICFENAAC@?$CF02d?4ogg?$AA@,2,14296,2316248
data,0,??_C@_08FAOAONGJ@ping?4wav?$AA@,2,14308,2316260
data,0,??_C@_0N@KDJJDIGA@avconsv9?4wav?$AA@,2,14320,2316272
data,0,__imp__sprintf,2,1360,2303312
data,0,__imp__log2,2,1364,2303316
data,0,_MusicStartedFromShell,3,150676,2768020
data,0,_MusicStarted,3,150680,2768024
data,0,_MusicPaused,3,150684,2768028
data,0,_MusicOggIdx,3,32,2617376
data,0,_CDTrackNum,3,36,2617380
data,0,??_C@_08DALHMMC@STOPCBXX?$AA@,2,14336,2316288
data,0,??_C@_09CNMMAFEI@cmike?4wav?$AA@,2,14348,2316300
data,0,__imp__free,2,1348,2303300
data,0,__imp__strncpy,2,1352,2303304
data,0,__imp__malloc,2,1356,2303308
data,0,__imp__stricmp,2,1308,2303260
data,0,_NoMoreCB,3,150688,2768032
data,0,??_C@_0EG@PIDLBDGB@Buffer?5Overrun?3?5?$CFld?5Input?0?5?$CFld?5P@,2,14360,2316312
data,0,??_C@_0CI@PCCPPCBB@Buffer?5underrun?3?5?$CFld?5Input?0?5?$CFld?5@,2,14432,2316384
data,0,??_R2DirectSound_AudioInterface@@8,2,168408,2470360
data,0,??_R2TheoraAudioInterface@@8,2,168420,2470372
data,0,??_R2DirectSound_TheoraAudioInterfaceFactory@@8,2,168428,2470380
data,0,??_R2TheoraAudioInterfaceFactory@@8,2,168440,2470392
data,0,??_R1A@?0A@EA@DirectSound_AudioInterface@@8,2,168448,2470400
data,0,??_R1A@?0A@EA@TheoraAudioInterface@@8,2,168476,2470428
data,0,??_R1A@?0A@EA@DirectSound_TheoraAudioInterfaceFactory@@8,2,168504,2470456
data,0,??_R1A@?0A@EA@TheoraAudioInterfaceFactory@@8,2,168532,2470484
data,0,??_R3TheoraAudioInterface@@8,2,168560,2470512
data,0,??_R0?AVTheoraAudioInterface@@@8,3,123156,2740500
data,0,??_R3DirectSound_AudioInterface@@8,2,168576,2470528
data,0,??_R0?AVDirectSound_AudioInterface@@@8,3,123192,2740536
data,0,??_R3TheoraAudioInterfaceFactory@@8,2,168592,2470544
