module_name,object_name,stream,symbol_size,source_file_count,range_section,range_offset,range_size,flags
* CIL *,,13,68,0,-1,0,-1,0
E:\BattleZoneTest\build\obj\Release\battlezone\audio.obj,E:\BattleZoneTest\build\obj\Release\battlezone\audio.obj,14,5424,19,1,22944,355,0
E:\BattleZoneTest\build\obj\Release\battlezone\cb.obj,E:\BattleZoneTest\build\obj\Release\battlezone\cb.obj,15,3120,12,1,24768,145,0
E:\BattleZoneTest\build\obj\Release\battlezone\directsound_theoraaudiointerface.obj,E:\BattleZoneTest\build\obj\Release\battlezone\directsound_theoraaudiointerface.obj,16,7588,14,1,25056,752,0
E:\BattleZoneTest\build\obj\Release\battlezone\redbook.obj,E:\BattleZoneTest\build\obj\Release\battlezone\redbook.obj,17,5388,11,1,27744,241,0
E:\BattleZoneTest\build\obj\Release\battlezone\d3dapp.obj,E:\BattleZoneTest\build\obj\Release\battlezone\d3dapp.obj,18,140,168,-1,0,-1,0
E:\BattleZoneTest\build\obj\Release\battlezone\D3ddebug.obj,E:\BattleZoneTest\build\obj\Release\battlezone\D3ddebug.obj,19,140,175,-1,0,-1,0
E:\BattleZoneTest\build\obj\Release\battlezone\D3dpoly.obj,E:\BattleZoneTest\build\obj\Release\battlezone\D3dpoly.obj,20,1384,182,1,29888,52,0
E:\BattleZoneTest\build\obj\Release\battlezone\D3drendr.obj,E:\BattleZoneTest\build\obj\Release\battlezone\D3drendr.obj,21,14268,197,1,32192,55,0
E:\BattleZoneTest\build\obj\Release\battlezone\carclsn.obj,E:\BattleZoneTest\build\obj\Release\battlezone\carclsn.obj,22,11616,13,1,38992,1639,0
E:\BattleZoneTest\build\obj\Release\battlezone\Clsn.obj,E:\BattleZoneTest\build\obj\Release\battlezone\Clsn.obj,23,8016,25,1,45248,354,0
E:\BattleZoneTest\build\obj\Release\battlezone\clsngeom.obj,E:\BattleZoneTest\build\obj\Release\battlezone\clsngeom.obj,24,3180,7,1,49488,663,0
E:\BattleZoneTest\build\obj\Release\battlezone\Dynamics.obj,E:\BattleZoneTest\build\obj\Release\battlezone\Dynamics.obj,25,1708,8,1,50928,99,0
E:\BattleZoneTest\build\obj\Release\battlezone\floor.obj,E:\BattleZoneTest\build\obj\Release\battlezone\floor.obj,26,2356,11,1,51920,64,0
E:\BattleZoneTest\build\obj\Release\battlezone\pntclsn.obj,E:\BattleZoneTest\build\obj\Release\battlezone\pntclsn.obj,27,6876,10,1,56144,872,0
E:\BattleZoneTest\build\obj\Release\battlezone\BoltRenderClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\BoltRenderClass.obj,28,11744,46,1,57056,342,0
E:\BattleZoneTest\build\obj\Release\battlezone\ChunkSimulateClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\ChunkSimulateClass.obj,29,2620,8,1,62032,12,0
E:\BattleZoneTest\build\obj\Release\battlezone\ColorRenderClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\ColorRenderClass.obj,30,4136,12,1,63056,567,0
E:\BattleZoneTest\build\obj\Release\battlezone\DustSimulateClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\DustSimulateClass.obj,31,2744,12,1,63984,12,0
E:\BattleZoneTest\build\obj\Release\battlezone\EmberSimulateClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\EmberSimulateClass.obj,32,2484,8,1,64672,12,0
E:\BattleZoneTest\build\obj\Release\battlezone\EmitRenderClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\EmitRenderClass.obj,33,6700,11,1,65488,135,0
E:\BattleZoneTest\build\obj\Release\battlezone\forcfeed.obj,E:\BattleZoneTest\build\obj\Release\battlezone\forcfeed.obj,34,648,9,1,68448,54,0
E:\BattleZoneTest\build\obj\Release\battlezone\Iforceld.obj,E:\BattleZoneTest\build\obj\Release\battlezone\Iforceld.obj,35,728,8,1,68512,760,0
E:\BattleZoneTest\build\obj\Release\battlezone\LightRenderClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\LightRenderClass.obj,36,6892,19,1,69312,525,0
E:\BattleZoneTest\build\obj\Release\battlezone\MultiRenderClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\MultiRenderClass.obj,37,7268,14,1,73072,26,0
E:\BattleZoneTest\build\obj\Release\battlezone\ParticleRenderClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\ParticleRenderClass.obj,38,29212,22,1,77408,40,0
E:\BattleZoneTest\build\obj\Release\battlezone\ParticleSimulateClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\ParticleSimulateClass.obj,39,28500,25,1,80240,98,0
E:\BattleZoneTest\build\obj\Release\battlezone\ParticleSpraySimulateClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\ParticleSpraySimulateClass.obj,40,2628,11,1,80368,12,0
E:\BattleZoneTest\build\obj\Release\battlezone\ParticleSystem.obj,E:\BattleZoneTest\build\obj\Release\battlezone\ParticleSystem.obj,41,3976,41,1,2304,21,0
E:\BattleZoneTest\build\obj\Release\battlezone\PlanarRenderClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\PlanarRenderClass.obj,42,8016,47,1,81760,189,0
E:\BattleZoneTest\build\obj\Release\battlezone\SmokeSimulateClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\SmokeSimulateClass.obj,43,2208,7,1,84000,12,0
E:\BattleZoneTest\build\obj\Release\battlezone\SpriteRenderClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\SpriteRenderClass.obj,44,7096,45,1,84352,254,0
E:\BattleZoneTest\build\obj\Release\battlezone\TrailRenderClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\TrailRenderClass.obj,45,12912,45,1,86624,299,0
E:\BattleZoneTest\build\obj\Release\battlezone\TwirlRenderClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\TwirlRenderClass.obj,46,7500,46,1,91824,326,0
E:\BattleZoneTest\build\obj\Release\battlezone\TwirlTrailRenderClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\TwirlTrailRenderClass.obj,47,17740,52,1,94240,114,0
E:\BattleZoneTest\build\obj\Release\battlezone\ActionMode.obj,E:\BattleZoneTest\build\obj\Release\battlezone\ActionMode.obj,48,1112,10,1,101536,99,0
E:\BattleZoneTest\build\obj\Release\battlezone\adialup.obj,E:\BattleZoneTest\build\obj\Release\battlezone\adialup.obj,49,140,143,-1,0,-1,0
E:\BattleZoneTest\build\obj\Release\battlezone\AdjustVar.obj,E:\BattleZoneTest\build\obj\Release\battlezone\AdjustVar.obj,50,144,4,-1,0,-1,0
E:\BattleZoneTest\build\obj\Release\battlezone\AiCommon.obj,E:\BattleZoneTest\build\obj\Release\battlezone\AiCommon.obj,51,256,313,-1,0,-1,0
E:\BattleZoneTest\build\obj\Release\battlezone\AIController.obj,E:\BattleZoneTest\build\obj\Release\battlezone\AIController.obj,52,1484,22,1,101792,18,0
E:\BattleZoneTest\build\obj\Release\battlezone\AiMission.obj,E:\BattleZoneTest\build\obj\Release\battlezone\AiMission.obj,53,24132,329,1,106304,32,0
E:\BattleZoneTest\build\obj\Release\battlezone\AiPath.obj,E:\BattleZoneTest\build\obj\Release\battlezone\AiPath.obj,54,8524,12,1,106704,194,0
E:\BattleZoneTest\build\obj\Release\battlezone\AiProcess.obj,E:\BattleZoneTest\build\obj\Release\battlezone\AiProcess.obj,55,4096,12,1,108864,170,0
E:\BattleZoneTest\build\obj\Release\battlezone\AISchedMission.obj,E:\BattleZoneTest\build\obj\Release\battlezone\AISchedMission.obj,56,2108,5,1,109792,40,0
E:\BattleZoneTest\build\obj\Release\battlezone\AiTask.obj,E:\BattleZoneTest\build\obj\Release\battlezone\AiTask.obj,57,6420,12,1,109856,219,0
E:\BattleZoneTest\build\obj\Release\battlezone\AiUtil.obj,E:\BattleZoneTest\build\obj\Release\battlezone\AiUtil.obj,58,86256,73,1,141344,42,0
E:\BattleZoneTest\build\obj\Release\battlezone\allie.obj,E:\BattleZoneTest\build\obj\Release\battlezone\allie.obj,59,2128,199,1,143600,71,0
E:\BattleZoneTest\build\obj\Release\battlezone\AmmoPowerup.obj,E:\BattleZoneTest\build\obj\Release\battlezone\AmmoPowerup.obj,60,3976,10,1,144096,75,0
E:\BattleZoneTest\build\obj\Release\battlezone\AmmoPowerupClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\AmmoPowerupClass.obj,61,3020,11,1,144816,202,0
E:\BattleZoneTest\build\obj\Release\battlezone\AnchorRocket.obj,E:\BattleZoneTest\build\obj\Release\battlezone\AnchorRocket.obj,62,5288,20,1,145376,288,0
E:\BattleZoneTest\build\obj\Release\battlezone\AnimBuilding.obj,E:\BattleZoneTest\build\obj\Release\battlezone\AnimBuilding.obj,63,3556,11,1,146992,181,0
E:\BattleZoneTest\build\obj\Release\battlezone\AnimSprite.obj,E:\BattleZoneTest\build\obj\Release\battlezone\AnimSprite.obj,64,32488,1150,1,149056,81,0
E:\BattleZoneTest\build\obj\Release\battlezone\AOI.obj,E:\BattleZoneTest\build\obj\Release\battlezone\AOI.obj,65,10820,11,1,151712,141,0
E:\BattleZoneTest\build\obj\Release\battlezone\APC.obj,E:\BattleZoneTest\build\obj\Release\battlezone\APC.obj,66,8388,29,1,153696,165,0
E:\BattleZoneTest\build\obj\Release\battlezone\APCClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\APCClass.obj,67,3032,17,1,157968,610,0
E:\BattleZoneTest\build\obj\Release\battlezone\APCProcess.obj,E:\BattleZoneTest\build\obj\Release\battlezone\APCProcess.obj,68,9524,25,1,160736,139,0
E:\BattleZoneTest\build\obj\Release\battlezone\ApproachAction.obj,E:\BattleZoneTest\build\obj\Release\battlezone\ApproachAction.obj,69,148,9,-1,0,-1,0
E:\BattleZoneTest\build\obj\Release\battlezone\Armory.obj,E:\BattleZoneTest\build\obj\Release\battlezone\Armory.obj,70,7324,35,1,161824,489,0
E:\BattleZoneTest\build\obj\Release\battlezone\ArmoryClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\ArmoryClass.obj,71,6244,22,1,165872,990,0
E:\BattleZoneTest\build\obj\Release\battlezone\ArmoryProcess.obj,E:\BattleZoneTest\build\obj\Release\battlezone\ArmoryProcess.obj,72,11492,33,1,167200,102,0
E:\BattleZoneTest\build\obj\Release\battlezone\Artifact.obj,E:\BattleZoneTest\build\obj\Release\battlezone\Artifact.obj,73,768,10,1,172080,112,0
E:\BattleZoneTest\build\obj\Release\battlezone\ArtifactClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\ArtifactClass.obj,74,1864,7,1,4560,69,0
E:\BattleZoneTest\build\obj\Release\battlezone\ArtilleryProcess.obj,E:\BattleZoneTest\build\obj\Release\battlezone\ArtilleryProcess.obj,75,10800,32,1,172448,82,0
E:\BattleZoneTest\build\obj\Release\battlezone\AtomicAction.obj,E:\BattleZoneTest\build\obj\Release\battlezone\AtomicAction.obj,76,1964,7,1,176896,723,0
E:\BattleZoneTest\build\obj\Release\battlezone\Attach.obj,E:\BattleZoneTest\build\obj\Release\battlezone\Attach.obj,77,4060,8,1,177696,141,0
E:\BattleZoneTest\build\obj\Release\battlezone\AttackGroup.obj,E:\BattleZoneTest\build\obj\Release\battlezone\AttackGroup.obj,78,10312,15,1,4704,26,0
E:\BattleZoneTest\build\obj\Release\battlezone\AttackTask.obj,E:\BattleZoneTest\build\obj\Release\battlezone\AttackTask.obj,79,11448,23,1,179600,218,0
E:\BattleZoneTest\build\obj\Release\battlezone\AudioMessage.obj,E:\BattleZoneTest\build\obj\Release\battlezone\AudioMessage.obj,80,11424,21,1,184080,76,0
E:\BattleZoneTest\build\obj\Release\battlezone\AudioSys.obj,E:\BattleZoneTest\build\obj\Release\battlezone\AudioSys.obj,81,15148,22,1,192144,436,0
E:\BattleZoneTest\build\obj\Release\battlezone\Barracks.obj,E:\BattleZoneTest\build\obj\Release\battlezone\Barracks.obj,82,3340,21,1,194912,110,0
E:\BattleZoneTest\build\obj\Release\battlezone\BarracksClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\BarracksClass.obj,83,3020,11,1,196288,403,0
E:\BattleZoneTest\build\obj\Release\battlezone\Beam.obj,E:\BattleZoneTest\build\obj\Release\battlezone\Beam.obj,84,8704,28,1,197072,422,0
E:\BattleZoneTest\build\obj\Release\battlezone\BeamGun.obj,E:\BattleZoneTest\build\obj\Release\battlezone\BeamGun.obj,85,4092,16,1,201296,90,0
E:\BattleZoneTest\build\obj\Release\battlezone\BeamGunClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\BeamGunClass.obj,86,2004,8,1,202528,130,0
E:\BattleZoneTest\build\obj\Release\battlezone\BettyVoice.obj,E:\BattleZoneTest\build\obj\Release\battlezone\BettyVoice.obj,87,4148,20,1,4944,32,0
E:\BattleZoneTest\build\obj\Release\battlezone\Bolt.obj,E:\BattleZoneTest\build\obj\Release\battlezone\Bolt.obj,88,7228,23,1,204480,462,0
E:\BattleZoneTest\build\obj\Release\battlezone\BounceBomb.obj,E:\BattleZoneTest\build\obj\Release\battlezone\BounceBomb.obj,89,6328,32,1,208176,252,0
E:\BattleZoneTest\build\obj\Release\battlezone\Building.obj,E:\BattleZoneTest\build\obj\Release\battlezone\Building.obj,90,9476,30,1,210544,18,0
E:\BattleZoneTest\build\obj\Release\battlezone\BuildingClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\BuildingClass.obj,91,4048,9,1,215056,213,0
E:\BattleZoneTest\build\obj\Release\battlezone\Bullet.obj,E:\BattleZoneTest\build\obj\Release\battlezone\Bullet.obj,92,6344,18,1,217808,799,0
E:\BattleZoneTest\build\obj\Release\battlezone\BulletClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\BulletClass.obj,93,1888,7,1,218608,50,0
E:\BattleZoneTest\build\obj\Release\battlezone\Cache.obj,E:\BattleZoneTest\build\obj\Release\battlezone\Cache.obj,94,5324,13,1,219712,106,0
E:\BattleZoneTest\build\obj\Release\battlezone\CameraPod.obj,E:\BattleZoneTest\build\obj\Release\battlezone\CameraPod.obj,95,1844,14,1,221024,301,0
