kind,symtype,name,segment,offset,rva
function,2,@__security_check_cookie@4,1,2222869,2226965
function,2,_atexit,1,2223125,2227221
function,2,___report_rangecheckfailure,1,2223532,2227628
function,2,??1MemoryPool@@QAE@XZ,1,2221616,2225712
function,2,??0MemoryPool@@QAE@PBDH@Z,1,2220864,2224960
function,2,?Free@MemoryPool@@QAEXPAX@Z,1,2222336,2226432
function,2,?Allocate@MemoryPool@@QAEPAXI@Z,1,2221904,2226000
function,2,??_M@YGXPAXIHP6EX0@Z@Z,1,2223850,2227946
function,2,??_L@YGXPAXIHP6EX0@Z1@Z,1,2223752,2227848
function,2,__purecall,1,2224056,2228152
function,2,?generic_category@system@boost@@YAABVerror_category@12@XZ,1,2229280,2233376
function,2,?system_category@system@boost@@YAABVerror_category@12@XZ,1,2230512,2234608
function,2,??0exception@std@@QAE@ABV01@@Z,1,2224068,2228164
function,2,?what@exception@std@@UBEPBDXZ,1,2224062,2228158
function,2,_lua_pcall,1,2154036,2158132
function,2,_lua_rawseti,1,2154975,2159071
function,2,_luaL_newmetatable,1,2151168,2155264
function,2,_lua_objlen,1,2153955,2158051
function,2,_lua_remove,1,2155073,2159169
function,2,_luaL_openlibs,1,2157360,2161456
function,2,_luaL_newstate,1,2151256,2155352
function,2,_lua_setfield,1,2155434,2159530
function,2,_lua_atpanic,1,2152473,2156569
function,2,_lua_close,1,2156861,2160957
function,2,_lua_rawset,1,2154876,2158972
function,2,_lua_createtable,1,2152755,2156851
function,2,_lua_next,1,2153904,2158000
function,2,_luaL_optlstring,1,2151629,2155725
function,2,_lua_replace,1,2155136,2159232
function,2,_lua_tonumber,1,2156130,2160226
function,2,_luaL_checknumber,1,2149681,2153777
function,2,_lua_pushnumber,1,2154496,2158592
function,2,_luaL_optnumber,1,2151710,2155806
function,2,_lua_pushlstring,1,2154416,2158512
function,2,_lua_tointeger,1,2155961,2160057
function,2,_lua_isstring,1,2153629,2157725
function,2,_lua_isnumber,1,2153581,2157677
function,2,_lua_toboolean,1,2155920,2160016
function,2,_luaL_optinteger,1,2151589,2155685
function,2,_luaL_checkinteger,1,2149572,2153668
function,2,_lua_pushinteger,1,2154354,2158450
function,2,_lua_type,1,2156305,2160401
function,2,_lua_pushboolean,1,2154141,2158237
function,2,_lua_newuserdata,1,2153838,2157934
function,2,_luaL_checkudata,1,2150007,2154103
function,2,_luaL_checklstring,1,2149633,2153729
function,2,_lua_setmetatable,1,2155543,2159639
function,2,_lua_pushnil,1,2154477,2158573
function,2,_lua_pushlightuserdata,1,2154389,2158485
function,2,_luaL_loadbuffer,1,2150679,2154775
function,2,_luaL_error,1,2150113,2154209
function,2,_lua_tolstring,1,2156024,2160120
function,2,_lua_call,1,2152493,2156589
function,2,_lua_gettop,1,2153374,2157470
function,2,_lua_rawequal,1,2154705,2158801
function,2,_lua_touserdata,1,2156262,2160358
function,2,_lua_settop,1,2155726,2159822
function,2,_lua_getfield,1,2153172,2157268
