name,address_va,address_rva,symbol_type,source,namespace
timeBeginPeriod,1,-4194303,Label,IMPORTED,WINMM.DLL
timeEndPeriod,2,-4194302,Label,IMPORTED,WINMM.DLL
joyGetPosEx,3,-4194301,Function,IMPORTED,WINMM.DLL
joyGetDevCapsA,4,-4194300,Function,IMPORTED,WINMM.DLL
joyGetNumDevs,5,-4194299,Function,IMPORTED,WINMM.DLL
mmioGetInfo,6,-4194298,Label,IMPORTED,WINMM.DLL
mmioSeek,7,-4194297,Label,IMPORTED,WINMM.DLL
mmioDescend,8,-4194296,Label,IMPORTED,WINMM.DLL
mmioSetInfo,9,-4194295,Label,IMPORTED,WINMM.DLL
mmioAscend,10,-4194294,Label,IMPORTED,WINMM.DLL
mmioAdvance,11,-4194293,Label,IMPORTED,WINMM.DLL
mmioClose,12,-4194292,Label,IMPORTED,WINMM.DLL
mmioCreateChunk,13,-4194291,Label,IMPORTED,WINMM.DLL
mmioWrite,14,-4194290,Label,IMPORTED,WINMM.DLL
DirectSoundCreate,15,-4194289,Function,IMPORTED,DSOUND.DLL
GetModuleHandleA,16,-4194288,Label,IMPORTED,KERNEL32.DLL
GetSystemDefaultLCID,17,-4194287,Label,IMPORTED,KERNEL32.DLL
FormatMessageA,18,-4194286,Label,IMPORTED,KERNEL32.DLL
Sleep,19,-4194285,Label,IMPORTED,KERNEL32.DLL
PulseEvent,20,-4194284,Label,IMPORTED,KERNEL32.DLL
SetEvent,21,-4194283,Label,IMPORTED,KERNEL32.DLL
InitializeCriticalSection,22,-4194282,Label,IMPORTED,KERNEL32.DLL
CreateEventA,23,-4194281,Label,IMPORTED,KERNEL32.DLL
LeaveCriticalSection,24,-4194280,Label,IMPORTED,KERNEL32.DLL
SetThreadPriority,25,-4194279,Label,IMPORTED,KERNEL32.DLL
EnterCriticalSection,26,-4194278,Label,IMPORTED,KERNEL32.DLL
DeleteCriticalSection,27,-4194277,Label,IMPORTED,KERNEL32.DLL
OutputDebugStringA,28,-4194276,Label,IMPORTED,KERNEL32.DLL
CloseHandle,29,-4194275,Label,IMPORTED,KERNEL32.DLL
RaiseException,30,-4194274,Label,IMPORTED,KERNEL32.DLL
WaitForSingleObjectEx,31,-4194273,Label,IMPORTED,KERNEL32.DLL
GetCurrentThreadId,32,-4194272,Function,IMPORTED,KERNEL32.DLL
GetCurrentThread,33,-4194271,Function,IMPORTED,KERNEL32.DLL
TerminateThread,34,-4194270,Label,IMPORTED,KERNEL32.DLL
SetPriorityClass,35,-4194269,Label,IMPORTED,KERNEL32.DLL
GetCurrentProcess,36,-4194268,Function,IMPORTED,KERNEL32.DLL
GetLastError,37,-4194267,Function,IMPORTED,KERNEL32.DLL
TlsGetValue,38,-4194266,Function,IMPORTED,KERNEL32.DLL
SetWaitableTimer,39,-4194265,Label,IMPORTED,KERNEL32.DLL
GetQueuedCompletionStatus,40,-4194264,Label,IMPORTED,KERNEL32.DLL
LoadLibraryA,41,-4194263,Label,IMPORTED,KERNEL32.DLL
WaitForSingleObject,42,-4194262,Label,IMPORTED,KERNEL32.DLL
SleepEx,43,-4194261,Label,IMPORTED,KERNEL32.DLL
TlsSetValue,44,-4194260,Label,IMPORTED,KERNEL32.DLL
WideCharToMultiByte,45,-4194259,Label,IMPORTED,KERNEL32.DLL
InitializeCriticalSectionAndSpinCount,46,-4194258,Label,IMPORTED,KERNEL32.DLL
GetSystemTimeAsFileTime,47,-4194257,Label,IMPORTED,KERNEL32.DLL
VerifyVersionInfoA,48,-4194256,Function,IMPORTED,KERNEL32.DLL
SetLastError,49,-4194255,Label,IMPORTED,KERNEL32.DLL
QueueUserAPC,50,-4194254,Label,IMPORTED,KERNEL32.DLL
CreateEventW,51,-4194253,Label,IMPORTED,KERNEL32.DLL
PostQueuedCompletionStatus,52,-4194252,Label,IMPORTED,KERNEL32.DLL
WaitForMultipleObjects,53,-4194251,Label,IMPORTED,KERNEL32.DLL
CreateIoCompletionPort,54,-4194250,Label,IMPORTED,KERNEL32.DLL
TlsAlloc,55,-4194249,Label,IMPORTED,KERNEL32.DLL
CreateWaitableTimerA,56,-4194248,Function,IMPORTED,KERNEL32.DLL
TlsFree,57,-4194247,Label,IMPORTED,KERNEL32.DLL
MultiByteToWideChar,58,-4194246,Label,IMPORTED,KERNEL32.DLL
AllocConsole,59,-4194245,Label,IMPORTED,KERNEL32.DLL
SetConsoleTextAttribute,60,-4194244,Label,IMPORTED,KERNEL32.DLL
SetConsoleActiveScreenBuffer,61,-4194243,Label,IMPORTED,KERNEL32.DLL
SetConsoleScreenBufferSize,62,-4194242,Label,IMPORTED,KERNEL32.DLL
GetConsoleWindow,63,-4194241,Label,IMPORTED,KERNEL32.DLL
SetConsoleTitleA,64,-4194240,Label,IMPORTED,KERNEL32.DLL
GetStdHandle,65,-4194239,Label,IMPORTED,KERNEL32.DLL
WriteConsoleA,66,-4194238,Label,IMPORTED,KERNEL32.DLL
GetConsoleScreenBufferInfo,67,-4194237,Label,IMPORTED,KERNEL32.DLL
SetConsoleCtrlHandler,68,-4194236,Label,IMPORTED,KERNEL32.DLL
SetConsoleWindowInfo,69,-4194235,Label,IMPORTED,KERNEL32.DLL
VerSetConditionMask,70,-4194234,Label,IMPORTED,KERNEL32.DLL
GetModuleFileNameA,71,-4194233,Label,IMPORTED,KERNEL32.DLL
LocalFree,72,-4194232,Label,IMPORTED,KERNEL32.DLL
EncodePointer,73,-4194231,Label,IMPORTED,KERNEL32.DLL
DecodePointer,74,-4194230,Label,IMPORTED,KERNEL32.DLL
FreeLibrary,75,-4194229,Label,IMPORTED,KERNEL32.DLL
IsDebuggerPresent,76,-4194228,Label,IMPORTED,KERNEL32.DLL
IsProcessorFeaturePresent,77,-4194227,Label,IMPORTED,KERNEL32.DLL
QueryPerformanceCounter,78,-4194226,Label,IMPORTED,KERNEL32.DLL
AreFileApisANSI,79,-4194225,Label,IMPORTED,KERNEL32.DLL
MoveFileExW,80,-4194224,Label,IMPORTED,KERNEL32.DLL
DeviceIoControl,81,-4194223,Function,IMPORTED,KERNEL32.DLL
RemoveDirectoryW,82,-4194222,Label,IMPORTED,KERNEL32.DLL
GetFileAttributesExW,83,-4194221,Label,IMPORTED,KERNEL32.DLL
GetFileAttributesW,84,-4194220,Label,IMPORTED,KERNEL32.DLL
FindNextFileW,85,-4194219,Label,IMPORTED,KERNEL32.DLL
FindFirstFileW,86,-4194218,Label,IMPORTED,KERNEL32.DLL
FindClose,87,-4194217,Label,IMPORTED,KERNEL32.DLL
DeleteFileW,88,-4194216,Label,IMPORTED,KERNEL32.DLL
CreateFileW,89,-4194215,Label,IMPORTED,KERNEL32.DLL
CreateDirectoryW,90,-4194214,Label,IMPORTED,KERNEL32.DLL
GetCurrentProcessId,91,-4194213,Function,IMPORTED,KERNEL32.DLL
GetProcAddress,92,-4194212,Function,IMPORTED,KERNEL32.DLL
GetRawInputData,93,-4194211,Label,IMPORTED,USER32.DLL
GetKeyState,94,-4194210,Function,IMPORTED,USER32.DLL
AttachThreadInput,95,-4194209,Label,IMPORTED,USER32.DLL
